Time,stacey_abrams
2022-01-01,3.0
2022-01-02,6.0
2022-01-03,3.0
2022-01-04,3.0
2022-01-05,8.0
2022-01-06,4.0
2022-01-07,3.0
2022-01-08,5.0
2022-01-09,4.0
2022-01-10,4.0
2022-01-11,20.0
2022-01-12,17.0
2022-01-13,11.0
2022-01-14,7.0
2022-01-15,6.0
2022-01-16,3.0
2022-01-17,5.0
2022-01-18,4.0
2022-01-19,3.0
2022-01-20,5.0
2022-01-21,4.0
2022-01-22,3.0
2022-01-23,2.0
2022-01-24,3.0
2022-01-25,3.0
2022-01-26,7.0
2022-01-27,13.0
2022-01-28,10.0
2022-01-29,5.0
2022-01-30,5.0
2022-01-31,4.0
2022-02-01,9.0
2022-02-02,4.0
2022-02-03,3.0
2022-02-04,4.0
2022-02-05,3.0
2022-02-06,19.0
2022-02-07,60.0
2022-02-08,46.0
2022-02-09,29.0
2022-02-10,15.0
2022-02-11,8.0
2022-02-12,6.0
2022-02-13,7.0
2022-02-14,4.0
2022-02-15,4.0
2022-02-16,4.0
2022-02-17,4.0
2022-02-18,4.0
2022-02-19,4.0
2022-02-20,3.0
2022-02-21,4.0
2022-02-22,3.0
2022-02-23,3.0
2022-02-24,4.0
2022-02-25,5.0
2022-02-26,4.0
2022-02-27,3.0
2022-02-28,3.0
2022-03-01,3.0
2022-03-02,4.0
2022-03-03,6.0
2022-03-04,8.0
2022-03-05,13.0
2022-03-06,4.0
2022-03-07,2.0
2022-03-08,4.0
2022-03-09,4.0
2022-03-10,3.0
2022-03-11,3.0
2022-03-12,2.0
2022-03-13,3.0
2022-03-14,3.0
2022-03-15,5.0
2022-03-16,5.0
2022-03-17,17.0
2022-03-18,52.0
2022-03-19,28.0
2022-03-20,19.0
2022-03-21,10.0
2022-03-22,9.0
2022-03-23,9.0
2022-03-24,8.0
2022-03-25,6.0
2022-03-26,6.0
2022-03-27,9.0
2022-03-28,5.0
2022-03-29,5.0
2022-03-30,4.0
2022-03-31,5.0
2022-04-01,3.0
2022-04-02,4.0
2022-04-03,4.0
2022-04-04,3.0
2022-04-05,10.0
2022-04-06,8.0
2022-04-07,6.0
