Time,chris paul
2024-08-18,13
2024-08-19,13
2024-08-20,10
2024-08-21,10
2024-08-22,10
2024-08-23,11
2024-08-24,8
2024-08-25,11
2024-08-26,8
2024-08-27,10
2024-08-28,11
2024-08-29,10
2024-08-30,12
2024-08-31,10
2024-09-01,12
2024-09-02,9
2024-09-03,14
2024-09-04,12
2024-09-05,10
2024-09-06,9
2024-09-07,11
2024-09-08,10
2024-09-09,10
2024-09-10,11
2024-09-11,8
2024-09-12,10
2024-09-13,9
2024-09-14,9
2024-09-15,14
2024-09-16,11
2024-09-17,12
2024-09-18,9
2024-09-19,10
2024-09-20,10
2024-09-21,10
2024-09-22,11
2024-09-23,9
2024-09-24,12
2024-09-25,10
2024-09-26,12
2024-09-27,9
2024-09-28,11
2024-09-29,13
2024-09-30,25
2024-10-01,30
2024-10-02,23
2024-10-03,15
2024-10-04,14
2024-10-05,15
2024-10-06,12
2024-10-07,13
2024-10-08,11
2024-10-09,14
2024-10-10,25
2024-10-11,13
2024-10-12,15
2024-10-13,19
2024-10-14,12
2024-10-15,15
2024-10-16,16
2024-10-17,11
2024-10-18,16
2024-10-19,14
2024-10-20,14
2024-10-21,15
2024-10-22,15
2024-10-23,18
2024-10-24,44
2024-10-25,52
2024-10-26,34
2024-10-27,37
2024-10-28,30
2024-10-29,26
2024-10-30,30
2024-10-31,54
2024-11-01,32
2024-11-02,32
2024-11-03,35
2024-11-04,24
2024-11-05,32
2024-11-06,24
2024-11-07,51
2024-11-08,33
2024-11-09,68
2024-11-10,25
2024-11-11,25
2024-11-12,26
2024-11-13,26
2024-11-14,30
2024-11-15,53
2024-11-16,85
2024-11-17,36
2024-11-18,16
2024-11-19,33
2024-11-20,55
2024-11-21,39
2024-11-22,37
2024-11-23,23
2024-11-24,30
2024-11-25,14
2024-11-26,35
2024-11-27,50
2024-11-28,29
2024-11-29,17
2024-11-30,13
2024-12-01,20
2024-12-02,26
2024-12-03,29
2024-12-04,32
2024-12-05,18
2024-12-06,26
2024-12-07,17
2024-12-08,15
2024-12-09,38
2024-12-10,25
2024-12-11,17
2024-12-12,15
2024-12-13,21
2024-12-14,49
2024-12-15,31
2024-12-16,21
2024-12-17,14
2024-12-18,16
2024-12-19,24
2024-12-20,25
2024-12-21,19
2024-12-22,19
2024-12-23,25
2024-12-24,37
2024-12-25,100
2024-12-26,25
2024-12-27,32
2024-12-28,28
2024-12-29,27
2024-12-30,31
2024-12-31,37
2025-01-01,30
2025-01-02,15
2025-01-03,21
2025-01-04,32
2025-01-05,24
2025-01-06,25
2025-01-07,22
2025-01-08,26
2025-01-09,42
2025-01-10,11
2025-01-11,12
2025-01-12,16
2025-01-13,19
2025-01-14,36
2025-01-15,30
2025-01-16,27
2025-01-17,21
2025-01-18,33
2025-01-19,33
2025-01-20,12
2025-01-21,11
2025-01-22,13
2025-01-23,45
2025-01-24,17
2025-01-25,48
2025-01-26,14
2025-01-27,15
2025-01-28,15
2025-01-29,23
2025-01-30,23
2025-01-31,22
2025-02-01,49
2025-02-02,48
2025-02-03,58
2025-02-04,36
2025-02-05,26
2025-02-06,40
2025-02-07,41
2025-02-08,50
2025-02-09,29
2025-02-10,39
2025-02-11,24
2025-02-12,34
2025-02-13,31
2025-02-14,18
2025-02-15,16
2025-02-16,80
2025-02-17,41
2025-02-18,23
2025-02-19,19
2025-02-20,33
2025-02-21,51
2025-02-22,35
2025-02-23,29
2025-02-24,24
2025-02-25,17
2025-02-26,28
2025-02-27,34
2025-02-28,21
2025-03-01,28
2025-03-02,32
2025-03-03,29
2025-03-04,27
2025-03-05,20
2025-03-06,15
2025-03-07,19
2025-03-08,23
2025-03-09,28
2025-03-10,20
2025-03-11,19
2025-03-12,16
2025-03-13,15
2025-03-14,18
2025-03-15,23
2025-03-16,21
2025-03-17,18
2025-03-18,27
2025-03-19,16
2025-03-20,16
2025-03-21,21
2025-03-22,16
2025-03-23,32
2025-03-24,15
2025-03-25,26
2025-03-26,19
2025-03-27,23
2025-03-28,22
2025-03-29,21
2025-03-30,41
2025-03-31,25
2025-04-01,23
2025-04-02,22
2025-04-03,20
2025-04-04,27
2025-04-05,24
2025-04-06,24
2025-04-07,19
2025-04-08,23
2025-04-09,31
2025-04-10,30
2025-04-11,18
2025-04-12,20
2025-04-13,30
2025-04-14,31
2025-04-15,21
2025-04-16,17
2025-04-17,16
2025-04-18,16
2025-04-19,17
2025-04-20,18
2025-04-21,16
2025-04-22,16
2025-04-23,15
2025-04-24,16
2025-04-25,17
2025-04-26,60
2025-04-27,27
2025-04-28,20
2025-04-29,18
2025-04-30,18
2025-05-01,18
2025-05-02,23
2025-05-03,17
2025-05-04,17
2025-05-05,18
2025-05-06,19
2025-05-07,18
2025-05-08,15
2025-05-09,14
2025-05-10,17
2025-05-11,17
2025-05-12,17
2025-05-13,20
2025-05-14,18
