Time,everything everywhere all at once
2022-01-01,0
2022-01-02,0
2022-01-03,0
2022-01-04,0
2022-01-05,0
2022-01-06,0
2022-01-07,0
2022-01-08,0
2022-01-09,0
2022-01-10,0
2022-01-11,0
2022-01-12,0
2022-01-13,0
2022-01-14,0
2022-01-15,0
2022-01-16,0
2022-01-17,0
2022-01-18,0
2022-01-19,0
2022-01-20,0
2022-01-21,0
2022-01-22,0
2022-01-23,0
2022-01-24,1
2022-01-25,0
2022-01-26,0
2022-01-27,0
2022-01-28,0
2022-01-29,0
2022-01-30,0
2022-01-31,0
2022-02-01,0
2022-02-02,0
2022-02-03,0
2022-02-04,0
2022-02-05,0
2022-02-06,0
2022-02-07,0
2022-02-08,0
2022-02-09,0
2022-02-10,0
2022-02-11,0
2022-02-12,0
2022-02-13,0
2022-02-14,0
2022-02-15,0
2022-02-16,0
2022-02-17,0
2022-02-18,0
2022-02-19,1
2022-02-20,1
2022-02-21,0
2022-02-22,0
2022-02-23,1
2022-02-24,1
2022-02-25,1
2022-02-26,1
2022-02-27,1
2022-02-28,1
2022-03-01,1
2022-03-02,1
2022-03-03,1
2022-03-04,1
2022-03-05,1
2022-03-06,1
2022-03-07,1
2022-03-08,1
2022-03-09,1
2022-03-10,1
2022-03-11,2
2022-03-12,7
2022-03-13,5
2022-03-14,3
2022-03-15,3
2022-03-16,3
2022-03-17,4
2022-03-18,5
2022-03-19,5
2022-03-20,5
2022-03-21,5
2022-03-22,5
2022-03-23,7
2022-03-24,8
2022-03-25,17
2022-03-26,20
2022-03-27,15
2022-03-28,10
2022-03-29,9
2022-03-30,14
2022-03-31,18
2022-04-01,20
2022-04-02,28
2022-04-03,38
2022-04-04,26
2022-04-05,28
2022-04-06,24
2022-04-07,30
2022-04-08,51
2022-04-09,88
2022-04-10,83
2022-04-11,54
2022-04-12,43
2022-04-13,46
2022-04-14,55
2022-04-15,72
2022-04-16,100
2022-04-17,98
2022-04-18,67
2022-04-19,67
2022-04-20,61
2022-04-21,59
2022-04-22,75
2022-04-23,96
2022-04-24,87
2022-04-25,56
2022-04-26,44
2022-04-27,39
2022-04-28,35
2022-04-29,45
2022-04-30,72
2022-05-01,75
2022-05-02,46
2022-05-03,32
2022-05-04,29
2022-05-05,29
2022-05-06,35
2022-05-07,61
2022-05-08,62
2022-05-09,37
2022-05-10,30
2022-05-11,27
2022-05-12,29
2022-05-13,35
2022-05-14,52
2022-05-15,50
2022-05-16,32
2022-05-17,33
2022-05-18,36
2022-05-19,38
2022-05-20,46
2022-05-21,65
2022-05-22,69
2022-05-23,45
2022-05-24,36
2022-05-25,32
2022-05-26,31
2022-05-27,35
2022-05-28,45
2022-05-29,48
2022-05-30,47
2022-05-31,31
2022-06-01,26
2022-06-02,24
2022-06-03,28
2022-06-04,42
2022-06-05,39
2022-06-06,28
2022-06-07,28
2022-06-08,31
2022-06-09,28
2022-06-10,29
2022-06-11,38
2022-06-12,43
2022-06-13,29
2022-06-14,24
2022-06-15,23
2022-06-16,21
2022-06-17,22
2022-06-18,31
2022-06-19,39
2022-06-20,27
2022-06-21,21
2022-06-22,19
2022-06-23,17
2022-06-24,17
2022-06-25,23
2022-06-26,26
2022-06-27,19
2022-06-28,15
2022-06-29,16
2022-06-30,16
2022-07-01,17
2022-07-02,22
2022-07-03,26
2022-07-04,26
2022-07-05,20
2022-07-06,20
2022-07-07,19
2022-07-08,21
2022-07-09,28
2022-07-10,33
2022-07-11,21
2022-07-12,16
2022-07-13,14
2022-07-14,13
2022-07-15,15
2022-07-16,24
2022-07-17,26
2022-07-18,17
2022-07-19,13
2022-07-20,13
2022-07-21,13
2022-07-22,15
2022-07-23,20
2022-07-24,23
2022-07-25,16
2022-07-26,13
2022-07-27,12
2022-07-28,13
2022-07-29,20
2022-07-30,28
2022-07-31,34
2022-08-01,24
2022-08-02,18
2022-08-03,17
2022-08-04,15
2022-08-05,14
2022-08-06,20
2022-08-07,24
2022-08-08,15
2022-08-09,12
2022-08-10,10
2022-08-11,9
2022-08-12,10
2022-08-13,14
2022-08-14,15
2022-08-15,10
2022-08-16,8
2022-08-17,7
2022-08-18,8
2022-08-19,9
2022-08-20,13
2022-08-21,15
2022-08-22,10
2022-08-23,8
2022-08-24,8
2022-08-25,7
2022-08-26,8
2022-08-27,11
2022-08-28,12
2022-08-29,7
2022-08-30,6
2022-08-31,6
2022-09-01,5
2022-09-02,7
2022-09-03,10
2022-09-04,12
2022-09-05,12
2022-09-06,9
2022-09-07,7
2022-09-08,6
2022-09-09,6
2022-09-10,10
2022-09-11,13
2022-09-12,7
2022-09-13,6
2022-09-14,6
2022-09-15,6
2022-09-16,6
2022-09-17,10
2022-09-18,11
2022-09-19,7
2022-09-20,5
2022-09-21,6
2022-09-22,5
2022-09-23,6
2022-09-24,9
2022-09-25,8
2022-09-26,6
2022-09-27,5
