Time,ashley johnson
2022-01-01,25
2022-01-02,30
2022-01-03,26
2022-01-04,32
2022-01-05,21
2022-01-06,18
2022-01-07,42
2022-01-08,33
2022-01-09,38
2022-01-10,21
2022-01-11,28
2022-01-12,31
2022-01-13,29
2022-01-14,30
2022-01-15,37
2022-01-16,28
2022-01-17,25
2022-01-18,28
2022-01-19,27
2022-01-20,32
2022-01-21,43
2022-01-22,28
2022-01-23,40
2022-01-24,37
2022-01-25,33
2022-01-26,22
2022-01-27,16
2022-01-28,48
2022-01-29,74
2022-01-30,63
2022-01-31,42
2022-02-01,45
2022-02-02,51
2022-02-03,38
2022-02-04,65
2022-02-05,60
2022-02-06,55
2022-02-07,51
2022-02-08,36
2022-02-09,43
2022-02-10,36
2022-02-11,51
2022-02-12,59
2022-02-13,47
2022-02-14,34
2022-02-15,31
2022-02-16,40
2022-02-17,100
2022-02-18,73
2022-02-19,72
2022-02-20,49
2022-02-21,58
2022-02-22,46
2022-02-23,51
2022-02-24,31
2022-02-25,45
2022-02-26,43
2022-02-27,47
2022-02-28,48
2022-03-01,36
2022-03-02,36
2022-03-03,37
2022-03-04,44
2022-03-05,36
2022-03-06,34
2022-03-07,31
2022-03-08,29
2022-03-09,33
2022-03-10,36
2022-03-11,40
2022-03-12,36
2022-03-13,31
2022-03-14,28
2022-03-15,34
2022-03-16,33
2022-03-17,23
2022-03-18,35
2022-03-19,35
2022-03-20,26
2022-03-21,31
2022-03-22,28
2022-03-23,32
2022-03-24,26
2022-03-25,22
2022-03-26,41
2022-03-27,28
2022-03-28,35
2022-03-29,25
2022-03-30,29
2022-03-31,28
2022-04-01,27
2022-04-02,39
2022-04-03,28
2022-04-04,33
2022-04-05,32
2022-04-06,33
2022-04-07,30
2022-04-08,30
2022-04-09,34
2022-04-10,29
2022-04-11,37
2022-04-12,40
2022-04-13,19
2022-04-14,25
2022-04-15,29
2022-04-16,25
2022-04-17,47
2022-04-18,31
2022-04-19,26
2022-04-20,30
2022-04-21,26
2022-04-22,39
2022-04-23,34
2022-04-24,36
2022-04-25,34
2022-04-26,23
2022-04-27,24
2022-04-28,23
2022-04-29,33
2022-04-30,29
2022-05-01,52
2022-05-02,38
2022-05-03,43
2022-05-04,40
2022-05-05,27
2022-05-06,35
2022-05-07,35
2022-05-08,31
2022-05-09,34
2022-05-10,19
2022-05-11,28
2022-05-12,29
2022-05-13,31
2022-05-14,27
2022-05-15,49
2022-05-16,46
2022-05-17,27
2022-05-18,28
2022-05-19,28
2022-05-20,27
2022-05-21,22
2022-05-22,24
2022-05-23,34
2022-05-24,29
2022-05-25,27
2022-05-26,21
2022-05-27,22
2022-05-28,30
2022-05-29,31
2022-05-30,34
2022-05-31,34
2022-06-01,21
2022-06-02,18
2022-06-03,29
2022-06-04,30
2022-06-05,28
2022-06-06,29
2022-06-07,19
2022-06-08,28
2022-06-09,79
2022-06-10,63
2022-06-11,43
2022-06-12,36
2022-06-13,34
2022-06-14,31
2022-06-15,29
2022-06-16,33
2022-06-17,28
2022-06-18,29
2022-06-19,33
2022-06-20,20
2022-06-21,36
2022-06-22,30
2022-06-23,38
2022-06-24,24
2022-06-25,27
2022-06-26,34
2022-06-27,44
2022-06-28,44
2022-06-29,34
2022-06-30,29
2022-07-01,35
2022-07-02,20
2022-07-03,27
2022-07-04,28
2022-07-05,30
2022-07-06,38
2022-07-07,31
2022-07-08,31
2022-07-09,42
2022-07-10,50
2022-07-11,21
2022-07-12,30
2022-07-13,24
2022-07-14,22
2022-07-15,19
2022-07-16,27
2022-07-17,28
2022-07-18,29
2022-07-19,34
2022-07-20,26
2022-07-21,28
2022-07-22,28
2022-07-23,35
2022-07-24,19
2022-07-25,27
2022-07-26,18
2022-07-27,23
2022-07-28,24
2022-07-29,34
2022-07-30,34
2022-07-31,31
2022-08-01,33
2022-08-02,26
2022-08-03,31
2022-08-04,26
2022-08-05,35
2022-08-06,28
2022-08-07,20
2022-08-08,37
2022-08-09,38
2022-08-10,34
2022-08-11,15
2022-08-12,25
2022-08-13,31
2022-08-14,24
2022-08-15,33
2022-08-16,33
2022-08-17,25
2022-08-18,26
2022-08-19,25
2022-08-20,27
2022-08-21,30
2022-08-22,40
2022-08-23,30
2022-08-24,19
2022-08-25,30
2022-08-26,30
2022-08-27,24
2022-08-28,34
2022-08-29,28
2022-08-30,29
2022-08-31,34
2022-09-01,18
2022-09-02,35
2022-09-03,29
2022-09-04,38
2022-09-05,43
2022-09-06,30
2022-09-07,26
2022-09-08,21
2022-09-09,25
2022-09-10,29
2022-09-11,28
2022-09-12,24
2022-09-13,27
2022-09-14,22
2022-09-15,17
2022-09-16,26
2022-09-17,29
2022-09-18,27
2022-09-19,24
2022-09-20,23
2022-09-21,24
2022-09-22,24
2022-09-23,23
2022-09-24,29
2022-09-25,27
2022-09-26,28
2022-09-27,44
