Time,ashley johnson
2025-12-11,87
2025-12-12,58
2025-12-13,86
2025-12-14,71
2025-12-15,56
2025-12-16,54
2025-12-17,81
2025-12-18,73
2025-12-19,50
2025-12-20,61
2025-12-21,63
2025-12-22,46
2025-12-23,77
2025-12-24,54
2025-12-25,58
2025-12-26,39
2025-12-27,63
2025-12-28,82
2025-12-29,46
2025-12-30,79
2025-12-31,94
2026-01-01,37
2026-01-02,58
2026-01-03,76
2026-01-04,65
2026-01-05,55
2026-01-06,65
2026-01-07,49
2026-01-08,60
2026-01-09,34
2026-01-10,41
2026-01-11,57
2026-01-12,55
2026-01-13,47
2026-01-14,53
2026-01-15,51
2026-01-16,52
2026-01-17,59
2026-01-18,53
2026-01-19,53
2026-01-20,63
2026-01-21,54
2026-01-22,47
2026-01-23,58
2026-01-24,65
2026-01-25,56
2026-01-26,64
2026-01-27,62
2026-01-28,52
2026-01-29,70
2026-01-30,62
2026-01-31,53
2026-02-01,58
2026-02-02,50
2026-02-03,59
2026-02-04,49
2026-02-05,48
2026-02-06,53
2026-02-07,55
2026-02-08,72
2026-02-09,45
2026-02-10,42
2026-02-11,42
2026-02-12,49
2026-02-13,47
2026-02-14,48
2026-02-15,47
2026-02-16,58
2026-02-17,47
2026-02-18,45
2026-02-19,68
2026-02-20,68
2026-02-21,48
2026-02-22,83
2026-02-23,53
2026-02-24,47
2026-02-25,63
2026-02-26,82
2026-02-27,54
2026-02-28,56
2026-03-01,72
2026-03-02,47
2026-03-03,46
2026-03-04,36
2026-03-05,49
2026-03-06,57
2026-03-07,51
2026-03-08,52
2026-03-09,60
2026-03-10,45
2026-03-11,32
2026-03-12,50
2026-03-13,48
2026-03-14,61
2026-03-15,37
2026-03-16,56
2026-03-17,36
2026-03-18,47
2026-03-19,49
2026-03-20,39
2026-03-21,46
2026-03-22,68
2026-03-23,40
2026-03-24,51
2026-03-25,68
2026-03-26,67
2026-03-27,61
2026-03-28,75
2026-03-29,49
2026-03-30,74
2026-03-31,64
2026-04-01,65
2026-04-02,83
2026-04-03,47
2026-04-04,95
2026-04-05,82
2026-04-06,73
2026-04-07,90
2026-04-08,76
2026-04-09,73
2026-04-10,91
2026-04-11,90
2026-04-12,83
2026-04-13,70
2026-04-14,70
2026-04-15,76
2026-04-16,84
2026-04-17,100
2026-04-18,97
2026-04-19,74
2026-04-20,76
2026-04-21,60
2026-04-22,80
2026-04-23,65
2026-04-24,61
2026-04-25,83
2026-04-26,68
2026-04-27,71
2026-04-28,72
2026-04-29,50
2026-04-30,82
2026-05-01,61
2026-05-02,78
2026-05-03,52
2026-05-04,53
2026-05-05,45
2026-05-06,64
2026-05-07,64
2026-05-08,54
2026-05-09,74
2026-05-10,89
2026-05-11,71
2026-05-12,72
2026-05-13,64
2026-05-14,76
2026-05-15,66
2026-05-16,62
2026-05-17,66
2026-05-18,48
2026-05-19,47
2026-05-20,52
2026-05-21,50
2026-05-22,41
2026-05-23,56
2026-05-24,66
2026-05-25,72
2026-05-26,72
2026-05-27,58
2026-05-28,49
2026-05-29,62
2026-05-30,44
2026-05-31,60
