Time,bing
2022-01-01,77.0
2022-01-02,76.0
2022-01-03,80.0
2022-01-04,100.0
2022-01-05,86.0
2022-01-06,72.0
2022-01-07,76.0
2022-01-08,74.0
2022-01-09,78.0
2022-01-10,76.0
2022-01-11,81.0
2022-01-12,80.0
2022-01-13,77.0
2022-01-14,68.0
2022-01-15,74.0
2022-01-16,67.0
2022-01-17,67.0
2022-01-18,72.0
2022-01-19,73.0
2022-01-20,67.0
2022-01-21,84.0
2022-01-22,71.0
2022-01-23,74.0
2022-01-24,86.0
2022-01-25,65.0
2022-01-26,74.0
2022-01-27,71.0
2022-01-28,75.0
2022-01-29,76.0
2022-01-30,73.0
2022-01-31,75.0
2022-02-01,75.0
2022-02-02,75.0
2022-02-03,72.0
2022-02-04,72.0
2022-02-05,74.0
2022-02-06,75.0
2022-02-07,74.0
2022-02-08,76.0
2022-02-09,73.0
2022-02-10,68.0
2022-02-11,81.0
2022-02-12,75.0
2022-02-13,69.0
2022-02-14,66.0
2022-02-15,73.0
2022-02-16,69.0
2022-02-17,69.0
2022-02-18,69.0
2022-02-19,72.0
2022-02-20,76.0
2022-02-21,80.0
2022-02-22,70.0
2022-02-23,71.0
2022-02-24,69.0
2022-02-25,63.0
2022-02-26,69.0
2022-02-27,67.0
2022-02-28,67.0
2022-03-01,65.0
2022-03-02,64.0
2022-03-03,68.0
2022-03-04,68.0
2022-03-05,62.0
2022-03-06,66.0
2022-03-07,67.0
2022-03-08,71.0
2022-03-09,68.0
2022-03-10,74.0
2022-03-11,68.0
2022-03-12,63.0
2022-03-13,63.0
2022-03-14,67.0
2022-03-15,67.0
2022-03-16,64.0
2022-03-17,65.0
2022-03-18,71.0
2022-03-19,63.0
2022-03-20,67.0
2022-03-21,67.0
2022-03-22,65.0
2022-03-23,69.0
2022-03-24,64.0
2022-03-25,71.0
2022-03-26,69.0
2022-03-27,66.0
2022-03-28,68.0
2022-03-29,72.0
2022-03-30,64.0
2022-03-31,75.0
2022-04-01,69.0
2022-04-02,66.0
2022-04-03,64.0
2022-04-04,72.0
2022-04-05,70.0
2022-04-06,69.0
2022-04-07,67.0
2022-04-08,77.0
2022-04-09,69.0
2022-04-10,67.0
2022-04-11,73.0
2022-04-12,79.0
2022-04-13,78.0
2022-04-14,73.0
2022-04-15,72.0
2022-04-16,66.0
2022-04-17,66.0
2022-04-18,69.0
2022-04-19,78.0
2022-04-20,71.0
2022-04-21,69.0
2022-04-22,75.0
2022-04-23,65.0
2022-04-24,65.0
2022-04-25,72.0
2022-04-26,71.0
2022-04-27,69.0
2022-04-28,71.0
2022-04-29,70.0
2022-04-30,64.0
2022-05-01,66.0
2022-05-02,71.0
2022-05-03,68.0
2022-05-04,65.0
2022-05-05,71.0
2022-05-06,72.0
2022-05-07,63.0
2022-05-08,65.0
2022-05-09,71.0
2022-05-10,71.0
