Time,sydney_sweeney
2022-01-01,3.0
2022-01-02,4.0
2022-01-03,3.0
2022-01-04,6.0
2022-01-05,4.0
2022-01-06,5.0
2022-01-07,8.0
2022-01-08,8.0
2022-01-09,10.0
2022-01-10,27.0
2022-01-11,34.0
2022-01-12,26.0
2022-01-13,25.0
2022-01-14,15.0
2022-01-15,24.0
2022-01-16,20.0
2022-01-17,37.0
2022-01-18,29.0
2022-01-19,26.0
2022-01-20,19.0
2022-01-21,18.0
2022-01-22,16.0
2022-01-23,17.0
2022-01-24,25.0
2022-01-25,19.0
2022-01-26,38.0
2022-01-27,49.0
2022-01-28,35.0
2022-01-29,24.0
2022-01-30,24.0
2022-01-31,33.0
2022-02-01,31.0
2022-02-02,22.0
2022-02-03,21.0
2022-02-04,18.0
2022-02-05,19.0
2022-02-06,18.0
2022-02-07,29.0
2022-02-08,31.0
2022-02-09,27.0
2022-02-10,17.0
2022-02-11,21.0
2022-02-12,23.0
2022-02-13,23.0
2022-02-14,21.0
2022-02-15,24.0
2022-02-16,33.0
2022-02-17,31.0
2022-02-18,20.0
2022-02-19,18.0
2022-02-20,19.0
2022-02-21,29.0
2022-02-22,27.0
2022-02-23,23.0
2022-02-24,19.0
2022-02-25,17.0
2022-02-26,17.0
2022-02-27,17.0
2022-02-28,27.0
2022-03-01,30.0
2022-03-02,49.0
2022-03-03,41.0
2022-03-04,26.0
2022-03-05,21.0
2022-03-06,19.0
2022-03-07,17.0
2022-03-08,16.0
2022-03-09,15.0
2022-03-10,15.0
2022-03-11,12.0
2022-03-12,12.0
2022-03-13,11.0
2022-03-14,10.0
2022-03-15,11.0
2022-03-16,16.0
2022-03-17,17.0
2022-03-18,12.0
2022-03-19,11.0
2022-03-20,9.0
2022-03-21,7.0
2022-03-22,9.0
2022-03-23,7.0
2022-03-24,7.0
2022-03-25,6.0
2022-03-26,7.0
2022-03-27,7.0
2022-03-28,9.0
2022-03-29,9.0
2022-03-30,8.0
2022-03-31,16.0
2022-04-01,32.0
2022-04-02,20.0
2022-04-03,16.0
2022-04-04,12.0
2022-04-05,10.0
2022-04-06,12.0
2022-04-07,10.0
2022-04-08,8.0
2022-04-09,7.0
2022-04-10,8.0
2022-04-11,7.0
2022-04-12,5.0
2022-04-13,5.0
2022-04-14,7.0
2022-04-15,8.0
2022-04-16,8.0
2022-04-17,8.0
2022-04-18,7.0
2022-04-19,6.0
2022-04-20,6.0
2022-04-21,6.0
2022-04-22,6.0
2022-04-23,6.0
2022-04-24,6.0
2022-04-25,5.0
2022-04-26,5.0
2022-04-27,5.0
2022-04-28,5.0
2022-04-29,5.0
2022-04-30,5.0
2022-05-01,5.0
2022-05-02,4.0
2022-05-03,15.0
2022-05-04,17.0
2022-05-05,14.0
2022-05-06,9.0
2022-05-07,9.0
2022-05-08,8.0
2022-05-09,6.0
2022-05-10,5.0
2022-05-11,4.0
2022-05-12,4.0
2022-05-13,4.0
2022-05-14,5.0
2022-05-15,6.0
2022-05-16,5.0
2022-05-17,4.0
2022-05-18,5.0
2022-05-19,5.0
2022-05-20,5.0
2022-05-21,5.0
2022-05-22,5.0
2022-05-23,4.0
2022-05-24,5.0
2022-05-25,4.0
2022-05-26,3.0
2022-05-27,5.0
2022-05-28,6.0
2022-05-29,5.0
2022-05-30,5.0
2022-05-31,5.0
2022-06-01,4.0
2022-06-02,9.0
2022-06-03,5.0
2022-06-04,5.0
2022-06-05,6.0
2022-06-06,23.0
2022-06-07,18.0
2022-06-08,11.0
2022-06-09,10.0
2022-06-10,10.0
2022-06-11,8.0
2022-06-12,8.0
2022-06-13,7.0
2022-06-14,6.0
2022-06-15,6.0
2022-06-16,6.0
2022-06-17,6.0
2022-06-18,6.0
2022-06-19,6.0
2022-06-20,6.0
2022-06-21,9.0
2022-06-22,10.0
2022-06-23,6.0
2022-06-24,5.0
2022-06-25,5.0
2022-06-26,5.0
2022-06-27,5.0
2022-06-28,5.0
2022-06-29,4.0
2022-06-30,4.0
2022-07-01,4.0
2022-07-02,5.0
2022-07-03,4.0
2022-07-04,7.0
2022-07-05,5.0
2022-07-06,6.0
2022-07-07,6.0
2022-07-08,6.0
2022-07-09,6.0
2022-07-10,4.0
2022-07-11,5.0
2022-07-12,12.0
2022-07-13,17.0
2022-07-14,9.0
2022-07-15,7.0
2022-07-16,6.0
2022-07-17,6.0
2022-07-18,5.0
2022-07-19,3.0
2022-07-20,4.0
2022-07-21,4.0
2022-07-22,5.0
2022-07-23,51.0
2022-07-24,17.0
2022-07-25,15.0
2022-07-26,9.0
2022-07-27,29.0
2022-07-28,71.0
2022-07-29,55.0
2022-07-30,42.0
2022-07-31,25.0
2022-08-01,29.0
2022-08-02,19.0
2022-08-03,16.0
2022-08-04,9.0
2022-08-05,9.0
2022-08-06,7.0
2022-08-07,7.0
2022-08-08,7.0
2022-08-09,6.0
2022-08-10,7.0
2022-08-11,5.0
2022-08-12,6.0
2022-08-13,6.0
2022-08-14,10.0
2022-08-15,9.0
2022-08-16,7.0
2022-08-17,5.0
2022-08-18,4.0
2022-08-19,4.0
2022-08-20,4.0
2022-08-21,7.0
2022-08-22,5.0
2022-08-23,11.0
2022-08-24,5.0
2022-08-25,4.0
2022-08-26,4.0
2022-08-27,13.0
2022-08-28,100.0
2022-08-29,79.13963963963965
2022-08-30,37.130630630630634
2022-08-31,19.909909909909913
2022-09-01,11.445945945945947
2022-09-02,7.963963963963964
2022-09-03,8.36036036036036
2022-09-04,8.86036036036036
2022-09-05,7.963963963963964
2022-09-06,6.671171171171172
2022-09-07,5.274774774774775
2022-09-08,4.878378378378379
2022-09-09,4.878378378378379
2022-09-10,5.274774774774775
2022-09-11,5.274774774774775
2022-09-12,6.671171171171172
2022-09-13,17.22072072072072
2022-09-14,11.04954954954955
2022-09-15,7.067567567567568
2022-09-16,6.171171171171172
2022-09-17,6.171171171171172
2022-09-18,5.274774774774775
2022-09-19,4.878378378378379
2022-09-20,9.256756756756758
2022-09-21,6.671171171171172
2022-09-22,5.274774774774775
2022-09-23,4.878378378378379
2022-09-24,7.963963963963964
2022-09-25,8.86036036036036
2022-09-26,6.671171171171172
2022-09-27,5.274774774774775
