Time,robert blake
2023-04-26,26
2023-04-27,20
2023-04-28,17
2023-04-29,19
2023-04-30,12
2023-05-01,18
2023-05-02,42
2023-05-03,15
2023-05-04,11
2023-05-05,11
2023-05-06,18
2023-05-07,12
2023-05-08,14
2023-05-09,0
2023-05-10,16
2023-05-11,10
2023-05-12,11
2023-05-13,11
2023-05-14,16
2023-05-15,9
2023-05-16,9
2023-05-17,12
2023-05-18,8
2023-05-19,11
2023-05-20,20
2023-05-21,16
2023-05-22,10
2023-05-23,48
2023-05-24,19
2023-05-25,15
2023-05-26,15
2023-05-27,8
2023-05-28,21
2023-05-29,10
2023-05-30,12
2023-05-31,8
2023-06-01,16
2023-06-02,10
2023-06-03,12
2023-06-04,12
2023-06-05,50
2023-06-06,16
2023-06-07,12
2023-06-08,10
2023-06-09,14
2023-06-10,8
2023-06-11,13
2023-06-12,13
2023-06-13,9
2023-06-14,10
2023-06-15,14
2023-06-16,16
2023-06-17,14
2023-06-18,17
2023-06-19,13
2023-06-20,11
2023-06-21,13
2023-06-22,9
2023-06-23,14
2023-06-24,14
2023-06-25,18
2023-06-26,13
2023-06-27,11
2023-06-28,14
2023-06-29,9
2023-06-30,14
2023-07-01,13
2023-07-02,16
2023-07-03,14
2023-07-04,14
2023-07-05,15
2023-07-06,16
2023-07-07,12
2023-07-08,13
2023-07-09,8
2023-07-10,17
2023-07-11,13
2023-07-12,16
2023-07-13,12
2023-07-14,18
2023-07-15,11
2023-07-16,22
2023-07-17,13
2023-07-18,15
2023-07-19,15
2023-07-20,14
2023-07-21,14
2023-07-22,10
2023-07-23,14
2023-07-24,14
2023-07-25,16
2023-07-26,19
2023-07-27,14
2023-07-28,16
2023-07-29,18
2023-07-30,13
2023-07-31,16
2023-08-01,16
2023-08-02,14
2023-08-03,13
2023-08-04,14
2023-08-05,11
2023-08-06,100
2023-08-07,11
2023-08-08,13
2023-08-09,11
2023-08-10,11
2023-08-11,11
2023-08-12,13
2023-08-13,23
2023-08-14,12
2023-08-15,10
2023-08-16,17
2023-08-17,11
2023-08-18,14
2023-08-19,13
2023-08-20,15
2023-08-21,7
2023-08-22,9
2023-08-23,9
2023-08-24,15
2023-08-25,23
2023-08-26,11
2023-08-27,10
2023-08-28,16
2023-08-29,15
2023-08-30,14
2023-08-31,9
2023-09-01,14
2023-09-02,11
2023-09-03,17
2023-09-04,12
2023-09-05,7
2023-09-06,14
2023-09-07,13
2023-09-08,12
2023-09-09,23
2023-09-10,20
2023-09-11,15
2023-09-12,6
2023-09-13,15
2023-09-14,25
2023-09-15,14
2023-09-16,14
2023-09-17,14
2023-09-18,17
2023-09-19,12
2023-09-20,18
2023-09-21,12
2023-09-22,14
2023-09-23,10
2023-09-24,20
2023-09-25,15
2023-09-26,19
2023-09-27,20
2023-09-28,13
2023-09-29,10
2023-09-30,20
2023-10-01,16
2023-10-02,20
2023-10-03,15
2023-10-04,7
2023-10-05,11
2023-10-06,9
2023-10-07,14
2023-10-08,14
2023-10-09,12
2023-10-10,13
2023-10-11,11
2023-10-12,8
2023-10-13,15
2023-10-14,24
2023-10-15,26
2023-10-16,16
2023-10-17,15
2023-10-18,12
2023-10-19,15
2023-10-20,38
2023-10-21,15
2023-10-22,13
2023-10-23,13
2023-10-24,15
2023-10-25,9
2023-10-26,18
2023-10-27,8
2023-10-28,44
2023-10-29,17
2023-10-30,17
2023-10-31,15
2023-11-01,13
2023-11-02,13
2023-11-03,10
2023-11-04,7
2023-11-05,13
2023-11-06,10
2023-11-07,11
2023-11-08,10
2023-11-09,9
2023-11-10,11
2023-11-11,14
2023-11-12,15
2023-11-13,12
2023-11-14,11
2023-11-15,9
2023-11-16,17
2023-11-17,11
2023-11-18,14
2023-11-19,9
2023-11-20,9
2023-11-21,28
2023-11-22,11
2023-11-23,15
2023-11-24,15
2023-11-25,13
2023-11-26,14
2023-11-27,9
2023-11-28,12
2023-11-29,9
2023-11-30,9
2023-12-01,12
2023-12-02,13
2023-12-03,8
2023-12-04,12
2023-12-05,12
2023-12-06,11
2023-12-07,11
2023-12-08,11
2023-12-09,12
2023-12-10,15
2023-12-11,10
2023-12-12,10
2023-12-13,11
2023-12-14,12
2023-12-15,12
2023-12-16,15
2023-12-17,18
2023-12-18,18
2023-12-19,17
2023-12-20,19
2023-12-21,13
2023-12-22,20
2023-12-23,14
2023-12-24,18
2023-12-25,16
2023-12-26,18
2023-12-27,15
2023-12-28,24
2023-12-29,39
2023-12-30,53
2023-12-31,70
2024-01-01,42
2024-01-02,25
2024-01-03,18
2024-01-04,12
2024-01-05,21
2024-01-06,16
2024-01-07,11
2024-01-08,18
2024-01-09,20
2024-01-10,14
2024-01-11,22
2024-01-12,16
2024-01-13,16
2024-01-14,20
2024-01-15,60
2024-01-16,14
2024-01-17,12
2024-01-18,13
2024-01-19,8
2024-01-20,12
