Time,dr strange
2023-04-26,43
2023-04-27,51
2023-04-28,46
2023-04-29,100
2023-04-30,78
2023-05-01,57
2023-05-02,48
2023-05-03,51
2023-05-04,47
2023-05-05,60
2023-05-06,65
2023-05-07,65
2023-05-08,65
2023-05-09,53
2023-05-10,52
2023-05-11,55
2023-05-12,47
2023-05-13,54
2023-05-14,65
2023-05-15,55
2023-05-16,60
2023-05-17,50
2023-05-18,58
2023-05-19,50
2023-05-20,80
2023-05-21,88
2023-05-22,70
2023-05-23,47
2023-05-24,58
2023-05-25,55
2023-05-26,54
2023-05-27,80
2023-05-28,84
2023-05-29,86
2023-05-30,59
2023-05-31,59
2023-06-01,62
2023-06-02,50
2023-06-03,69
2023-06-04,82
2023-06-05,73
2023-06-06,54
2023-06-07,52
2023-06-08,57
2023-06-09,61
2023-06-10,74
2023-06-11,72
2023-06-12,58
2023-06-13,58
2023-06-14,62
2023-06-15,57
2023-06-16,59
2023-06-17,72
2023-06-18,85
2023-06-19,68
2023-06-20,61
2023-06-21,55
2023-06-22,40
2023-06-23,64
2023-06-24,63
2023-06-25,73
2023-06-26,61
2023-06-27,55
2023-06-28,52
2023-06-29,61
2023-06-30,50
2023-07-01,64
2023-07-02,61
2023-07-03,78
2023-07-04,71
2023-07-05,56
2023-07-06,59
2023-07-07,57
2023-07-08,61
2023-07-09,60
2023-07-10,54
2023-07-11,46
2023-07-12,56
2023-07-13,57
2023-07-14,66
2023-07-15,69
2023-07-16,68
2023-07-17,55
2023-07-18,54
2023-07-19,55
2023-07-20,50
2023-07-21,54
2023-07-22,59
2023-07-23,65
2023-07-24,51
2023-07-25,48
2023-07-26,86
2023-07-27,45
2023-07-28,56
2023-07-29,66
2023-07-30,62
2023-07-31,53
2023-08-01,49
2023-08-02,55
2023-08-03,57
2023-08-04,50
2023-08-05,54
2023-08-06,62
2023-08-07,59
2023-08-08,52
2023-08-09,45
2023-08-10,44
2023-08-11,48
2023-08-12,46
2023-08-13,67
2023-08-14,58
2023-08-15,72
2023-08-16,91
2023-08-17,57
2023-08-18,44
2023-08-19,59
2023-08-20,58
2023-08-21,64
2023-08-22,49
2023-08-23,43
2023-08-24,41
2023-08-25,46
2023-08-26,59
2023-08-27,56
2023-08-28,45
2023-08-29,44
2023-08-30,48
2023-08-31,46
2023-09-01,39
2023-09-02,59
2023-09-03,58
2023-09-04,58
2023-09-05,46
2023-09-06,32
2023-09-07,35
2023-09-08,43
2023-09-09,71
2023-09-10,56
2023-09-11,57
2023-09-12,47
2023-09-13,42
2023-09-14,39
2023-09-15,35
2023-09-16,54
2023-09-17,48
2023-09-18,48
2023-09-19,43
2023-09-20,39
2023-09-21,42
2023-09-22,42
2023-09-23,53
2023-09-24,53
2023-09-25,47
2023-09-26,35
2023-09-27,61
2023-09-28,52
2023-09-29,40
2023-09-30,69
2023-10-01,63
2023-10-02,44
2023-10-03,43
2023-10-04,49
2023-10-05,53
2023-10-06,50
2023-10-07,46
2023-10-08,72
2023-10-09,57
2023-10-10,42
2023-10-11,69
2023-10-12,54
2023-10-13,46
2023-10-14,66
2023-10-15,64
2023-10-16,51
2023-10-17,47
2023-10-18,46
2023-10-19,49
2023-10-20,49
2023-10-21,69
2023-10-22,57
2023-10-23,52
2023-10-24,56
2023-10-25,69
2023-10-26,60
2023-10-27,62
2023-10-28,70
2023-10-29,59
2023-10-30,49
2023-10-31,62
2023-11-01,63
2023-11-02,50
2023-11-03,49
2023-11-04,65
2023-11-05,65
2023-11-06,48
2023-11-07,56
2023-11-08,48
2023-11-09,57
2023-11-10,69
2023-11-11,86
2023-11-12,79
2023-11-13,64
2023-11-14,55
2023-11-15,72
2023-11-16,71
2023-11-17,60
2023-11-18,68
2023-11-19,61
2023-11-20,55
2023-11-21,48
2023-11-22,77
2023-11-23,57
2023-11-24,62
2023-11-25,78
2023-11-26,74
2023-11-27,54
2023-11-28,62
2023-11-29,58
2023-11-30,53
2023-12-01,50
2023-12-02,52
2023-12-03,55
2023-12-04,59
2023-12-05,50
2023-12-06,59
2023-12-07,47
2023-12-08,56
2023-12-09,73
2023-12-10,84
2023-12-11,57
2023-12-12,54
2023-12-13,51
2023-12-14,48
2023-12-15,48
2023-12-16,68
2023-12-17,69
2023-12-18,51
2023-12-19,51
2023-12-20,45
2023-12-21,47
2023-12-22,60
2023-12-23,64
2023-12-24,54
2023-12-25,72
2023-12-26,62
2023-12-27,48
2023-12-28,61
2023-12-29,59
2023-12-30,88
2023-12-31,80
2024-01-01,75
2024-01-02,55
2024-01-03,55
2024-01-04,48
2024-01-05,53
2024-01-06,58
2024-01-07,58
2024-01-08,56
2024-01-09,57
2024-01-10,50
2024-01-11,59
2024-01-12,50
2024-01-13,67
2024-01-14,57
2024-01-15,65
2024-01-16,46
2024-01-17,42
2024-01-18,48
2024-01-19,45
2024-01-20,54
