Time,credit one
2025-04-15,77
2025-04-16,76
2025-04-17,71
2025-04-18,73
2025-04-19,59
2025-04-20,49
2025-04-21,70
2025-04-22,75
2025-04-23,75
2025-04-24,74
2025-04-25,77
2025-04-26,58
2025-04-27,54
2025-04-28,68
2025-04-29,75
2025-04-30,71
2025-05-01,78
2025-05-02,79
2025-05-03,69
2025-05-04,62
2025-05-05,72
2025-05-06,74
2025-05-07,71
2025-05-08,71
2025-05-09,75
2025-05-10,66
2025-05-11,53
2025-05-12,74
2025-05-13,77
2025-05-14,75
2025-05-15,73
2025-05-16,72
2025-05-17,67
2025-05-18,61
2025-05-19,81
2025-05-20,80
2025-05-21,75
2025-05-22,70
2025-05-23,78
2025-05-24,65
2025-05-25,58
2025-05-26,82
2025-05-27,84
2025-05-28,85
2025-05-29,81
2025-05-30,76
2025-05-31,69
2025-06-01,65
2025-06-02,85
2025-06-03,79
2025-06-04,82
2025-06-05,80
2025-06-06,77
2025-06-07,68
2025-06-08,56
2025-06-09,71
2025-06-10,72
2025-06-11,77
2025-06-12,79
2025-06-13,75
2025-06-14,64
2025-06-15,56
2025-06-16,95
2025-06-17,80
2025-06-18,80
2025-06-19,70
2025-06-20,77
2025-06-21,69
2025-06-22,57
2025-06-23,81
2025-06-24,80
2025-06-25,72
2025-06-26,75
2025-06-27,93
2025-06-28,70
2025-06-29,62
2025-06-30,76
2025-07-01,86
2025-07-02,84
2025-07-03,87
2025-07-04,63
2025-07-05,64
2025-07-06,65
2025-07-07,85
2025-07-08,82
2025-07-09,78
2025-07-10,92
2025-07-11,89
2025-07-12,69
2025-07-13,65
2025-07-14,83
2025-07-15,83
2025-07-16,88
2025-07-17,91
2025-07-18,88
2025-07-19,80
2025-07-20,70
2025-07-21,83
2025-07-22,82
2025-07-23,82
2025-07-24,86
2025-07-25,85
2025-07-26,72
2025-07-27,71
2025-07-28,82
2025-07-29,83
2025-07-30,98
2025-07-31,86
2025-08-01,100
2025-08-02,75
2025-08-03,69
2025-08-04,76
2025-08-05,84
2025-08-06,81
2025-08-07,88
2025-08-08,87
2025-08-09,73
2025-08-10,71
2025-08-11,81
2025-08-12,82
2025-08-13,81
2025-08-14,81
2025-08-15,86
2025-08-16,71
2025-08-17,64
2025-08-18,77
2025-08-19,80
2025-08-20,77
2025-08-21,80
2025-08-22,73
2025-08-23,69
2025-08-24,61
2025-08-25,81
2025-08-26,72
2025-08-27,78
2025-08-28,80
2025-08-29,80
2025-08-30,68
2025-08-31,61
2025-09-01,69
2025-09-02,81
2025-09-03,81
2025-09-04,76
2025-09-05,77
2025-09-06,66
2025-09-07,60
2025-09-08,79
2025-09-09,77
2025-09-10,73
2025-09-11,76
2025-09-12,78
2025-09-13,73
2025-09-14,59
2025-09-15,80
2025-09-16,78
2025-09-17,78
2025-09-18,84
2025-09-19,82
2025-09-20,72
2025-09-21,62
2025-09-22,77
2025-09-23,82
2025-09-24,79
2025-09-25,78
2025-09-26,83
2025-09-27,78
2025-09-28,64
2025-09-29,82
2025-09-30,89
2025-10-01,89
2025-10-02,85
2025-10-03,84
2025-10-04,69
2025-10-05,58
2025-10-06,80
2025-10-07,79
2025-10-08,82
2025-10-09,82
2025-10-10,81
2025-10-11,69
2025-10-12,57
2025-10-13,75
2025-10-14,79
2025-10-15,86
2025-10-16,76
2025-10-17,78
2025-10-18,66
2025-10-19,57
2025-10-20,80
2025-10-21,74
2025-10-22,76
2025-10-23,80
2025-10-24,79
2025-10-25,57
2025-10-26,60
2025-10-27,72
2025-10-28,76
2025-10-29,77
2025-10-30,75
2025-10-31,78
2025-11-01,73
2025-11-02,67
2025-11-03,84
2025-11-04,84
2025-11-05,77
2025-11-06,86
2025-11-07,85
2025-11-08,78
2025-11-09,67
2025-11-10,80
2025-11-11,81
2025-11-12,82
2025-11-13,87
2025-11-14,83
2025-11-15,74
2025-11-16,67
2025-11-17,83
2025-11-18,89
2025-11-19,90
2025-11-20,88
2025-11-21,88
2025-11-22,74
2025-11-23,64
2025-11-24,78
2025-11-25,81
2025-11-26,82
2025-11-27,58
2025-11-28,80
2025-11-29,77
2025-11-30,73
2025-12-01,92
2025-12-02,93
2025-12-03,88
2025-12-04,89
2025-12-05,86
2025-12-06,80
2025-12-07,71
2025-12-08,81
2025-12-09,86
2025-12-10,83
2025-12-11,83
2025-12-12,89
2025-12-13,74
2025-12-14,65
2025-12-15,84
2025-12-16,86
2025-12-17,94
2025-12-18,86
2025-12-19,83
2025-12-20,81
2025-12-21,67
2025-12-22,78
2025-12-23,77
2025-12-24,71
2025-12-25,49
2025-12-26,76
2025-12-27,78
2025-12-28,69
2025-12-29,82
2025-12-30,90
2025-12-31,84
2026-01-01,71
2026-01-02,85
2026-01-03,81
2026-01-04,70
2026-01-05,84
2026-01-06,82
2026-01-07,79
2026-01-08,81
2026-01-09,82
