Time,chat
2023-04-26,100
2023-04-27,91
2023-04-28,85
2023-04-29,70
2023-04-30,74
2023-05-01,88
2023-05-02,96
2023-05-03,97
2023-05-04,93
2023-05-05,85
2023-05-06,66
2023-05-07,69
2023-05-08,91
2023-05-09,92
2023-05-10,91
2023-05-11,88
2023-05-12,84
2023-05-13,62
2023-05-14,65
2023-05-15,82
2023-05-16,87
2023-05-17,91
2023-05-18,89
2023-05-19,85
2023-05-20,64
2023-05-21,63
2023-05-22,76
2023-05-23,80
2023-05-24,85
2023-05-25,77
2023-05-26,70
2023-05-27,55
2023-05-28,56
2023-05-29,62
2023-05-30,73
2023-05-31,74
2023-06-01,74
2023-06-02,71
2023-06-03,60
2023-06-04,57
2023-06-05,69
2023-06-06,72
2023-06-07,75
2023-06-08,70
2023-06-09,69
2023-06-10,55
2023-06-11,55
2023-06-12,71
2023-06-13,71
2023-06-14,71
2023-06-15,69
2023-06-16,64
2023-06-17,55
2023-06-18,55
2023-06-19,65
2023-06-20,71
2023-06-21,72
2023-06-22,64
2023-06-23,63
2023-06-24,52
2023-06-25,54
2023-06-26,66
2023-06-27,68
2023-06-28,65
2023-06-29,64
2023-06-30,60
2023-07-01,50
2023-07-02,51
2023-07-03,55
2023-07-04,50
2023-07-05,59
2023-07-06,69
2023-07-07,64
2023-07-08,54
2023-07-09,53
2023-07-10,67
2023-07-11,70
2023-07-12,64
2023-07-13,65
2023-07-14,61
2023-07-15,51
2023-07-16,51
2023-07-17,62
2023-07-18,63
2023-07-19,63
2023-07-20,62
2023-07-21,62
2023-07-22,50
2023-07-23,50
2023-07-24,62
2023-07-25,64
2023-07-26,64
2023-07-27,62
2023-07-28,57
2023-07-29,49
2023-07-30,47
2023-07-31,62
2023-08-01,62
2023-08-02,61
2023-08-03,63
2023-08-04,57
2023-08-05,47
2023-08-06,49
2023-08-07,59
2023-08-08,62
2023-08-09,60
2023-08-10,59
2023-08-11,58
2023-08-12,46
2023-08-13,49
2023-08-14,60
2023-08-15,60
2023-08-16,66
2023-08-17,60
2023-08-18,57
2023-08-19,47
2023-08-20,48
2023-08-21,63
2023-08-22,67
2023-08-23,67
2023-08-24,75
2023-08-25,62
2023-08-26,52
2023-08-27,55
2023-08-28,66
2023-08-29,73
2023-08-30,66
2023-08-31,72
2023-09-01,61
2023-09-02,49
2023-09-03,53
2023-09-04,58
2023-09-05,72
2023-09-06,72
2023-09-07,73
2023-09-08,67
2023-09-09,52
2023-09-10,59
2023-09-11,77
2023-09-12,78
2023-09-13,75
2023-09-14,75
2023-09-15,69
2023-09-16,54
2023-09-17,58
2023-09-18,78
2023-09-19,75
2023-09-20,78
2023-09-21,78
2023-09-22,71
2023-09-23,55
2023-09-24,59
2023-09-25,86
2023-09-26,88
2023-09-27,80
2023-09-28,80
2023-09-29,74
2023-09-30,53
2023-10-01,59
2023-10-02,77
2023-10-03,82
2023-10-04,82
2023-10-05,83
2023-10-06,76
2023-10-07,54
2023-10-08,58
2023-10-09,73
2023-10-10,78
2023-10-11,81
2023-10-12,81
2023-10-13,69
2023-10-14,54
2023-10-15,60
2023-10-16,80
2023-10-17,80
2023-10-18,78
2023-10-19,79
2023-10-20,70
2023-10-21,53
2023-10-22,62
2023-10-23,77
2023-10-24,83
2023-10-25,81
2023-10-26,80
2023-10-27,75
2023-10-28,52
2023-10-29,58
2023-10-30,83
2023-10-31,80
2023-11-01,78
2023-11-02,79
2023-11-03,72
2023-11-04,57
2023-11-05,60
2023-11-06,82
2023-11-07,83
2023-11-08,91
2023-11-09,87
2023-11-10,76
2023-11-11,58
2023-11-12,64
2023-11-13,83
2023-11-14,83
2023-11-15,82
2023-11-16,86
2023-11-17,77
2023-11-18,58
2023-11-19,58
2023-11-20,78
2023-11-21,80
2023-11-22,69
2023-11-23,51
2023-11-24,50
2023-11-25,48
2023-11-26,59
2023-11-27,76
2023-11-28,91
2023-11-29,87
2023-11-30,86
2023-12-01,83
2023-12-02,63
2023-12-03,66
2023-12-04,90
2023-12-05,88
2023-12-06,87
2023-12-07,90
2023-12-08,82
2023-12-09,64
2023-12-10,63
2023-12-11,83
2023-12-12,86
2023-12-13,83
2023-12-14,85
2023-12-15,75
2023-12-16,54
2023-12-17,53
2023-12-18,69
2023-12-19,73
2023-12-20,69
2023-12-21,66
2023-12-22,58
2023-12-23,50
2023-12-24,45
2023-12-25,46
2023-12-26,56
2023-12-27,57
2023-12-28,58
2023-12-29,55
2023-12-30,47
2023-12-31,48
2024-01-01,50
2024-01-02,63
2024-01-03,68
2024-01-04,70
2024-01-05,64
2024-01-06,53
2024-01-07,51
2024-01-08,68
2024-01-09,71
2024-01-10,75
2024-01-11,77
2024-01-12,71
2024-01-13,53
2024-01-14,53
2024-01-15,66
2024-01-16,73
2024-01-17,80
2024-01-18,83
2024-01-19,75
2024-01-20,58
