Time,google docs
2023-04-26,94
2023-04-27,91
2023-04-28,78
2023-04-29,37
2023-04-30,48
2023-05-01,99
2023-05-02,100
2023-05-03,95
2023-05-04,93
2023-05-05,78
2023-05-06,32
2023-05-07,36
2023-05-08,91
2023-05-09,90
2023-05-10,87
2023-05-11,87
2023-05-12,72
2023-05-13,30
2023-05-14,30
2023-05-15,87
2023-05-16,83
2023-05-17,77
2023-05-18,80
2023-05-19,71
2023-05-20,24
2023-05-21,30
2023-05-22,72
2023-05-23,68
2023-05-24,68
2023-05-25,65
2023-05-26,49
2023-05-27,21
2023-05-28,20
2023-05-29,25
2023-05-30,55
2023-05-31,56
2023-06-01,53
2023-06-02,46
2023-06-03,22
2023-06-04,23
2023-06-05,47
2023-06-06,50
2023-06-07,48
2023-06-08,43
2023-06-09,37
2023-06-10,20
2023-06-11,21
2023-06-12,41
2023-06-13,38
2023-06-14,38
2023-06-15,36
2023-06-16,30
2023-06-17,18
2023-06-18,19
2023-06-19,28
2023-06-20,33
2023-06-21,33
2023-06-22,30
2023-06-23,30
2023-06-24,19
2023-06-25,19
2023-06-26,35
2023-06-27,33
2023-06-28,34
2023-06-29,33
2023-06-30,27
2023-07-01,17
2023-07-02,18
2023-07-03,25
2023-07-04,20
2023-07-05,31
2023-07-06,33
2023-07-07,30
2023-07-08,19
2023-07-09,19
2023-07-10,30
2023-07-11,31
2023-07-12,31
2023-07-13,31
2023-07-14,26
2023-07-15,18
2023-07-16,18
2023-07-17,30
2023-07-18,25
2023-07-19,25
2023-07-20,23
2023-07-21,20
2023-07-22,15
2023-07-23,15
2023-07-24,25
2023-07-25,25
2023-07-26,25
2023-07-27,23
2023-07-28,20
2023-07-29,15
2023-07-30,16
2023-07-31,23
2023-08-01,26
2023-08-02,25
2023-08-03,27
2023-08-04,22
2023-08-05,15
2023-08-06,16
2023-08-07,28
2023-08-08,28
2023-08-09,32
2023-08-10,32
2023-08-11,30
2023-08-12,15
2023-08-13,17
2023-08-14,37
2023-08-15,40
2023-08-16,41
2023-08-17,46
2023-08-18,41
2023-08-19,17
2023-08-20,20
2023-08-21,52
2023-08-22,56
2023-08-23,62
2023-08-24,59
2023-08-25,53
2023-08-26,19
2023-08-27,23
2023-08-28,70
2023-08-29,70
2023-08-30,71
2023-08-31,69
2023-09-01,58
2023-09-02,18
2023-09-03,21
2023-09-04,32
2023-09-05,74
2023-09-06,81
2023-09-07,78
2023-09-08,71
2023-09-09,23
2023-09-10,30
2023-09-11,87
2023-09-12,87
2023-09-13,90
2023-09-14,90
2023-09-15,66
2023-09-16,23
2023-09-17,32
2023-09-18,85
2023-09-19,88
2023-09-20,85
2023-09-21,85
2023-09-22,74
2023-09-23,24
2023-09-24,31
2023-09-25,79
2023-09-26,85
2023-09-27,88
2023-09-28,86
2023-09-29,73
2023-09-30,25
2023-10-01,32
2023-10-02,84
2023-10-03,86
2023-10-04,84
2023-10-05,83
2023-10-06,70
2023-10-07,24
2023-10-08,28
2023-10-09,69
2023-10-10,76
2023-10-11,79
2023-10-12,81
2023-10-13,63
2023-10-14,23
2023-10-15,31
2023-10-16,77
2023-10-17,83
2023-10-18,81
2023-10-19,78
2023-10-20,66
2023-10-21,23
2023-10-22,32
2023-10-23,82
2023-10-24,82
2023-10-25,78
2023-10-26,80
2023-10-27,64
2023-10-28,22
2023-10-29,29
2023-10-30,81
2023-10-31,78
2023-11-01,73
2023-11-02,77
2023-11-03,67
2023-11-04,24
2023-11-05,28
2023-11-06,81
2023-11-07,76
2023-11-08,77
2023-11-09,71
2023-11-10,50
2023-11-11,23
2023-11-12,29
2023-11-13,76
2023-11-14,80
2023-11-15,79
2023-11-16,76
2023-11-17,63
2023-11-18,22
2023-11-19,24
2023-11-20,58
2023-11-21,49
2023-11-22,29
2023-11-23,17
2023-11-24,17
2023-11-25,19
2023-11-26,26
2023-11-27,71
2023-11-28,77
2023-11-29,77
2023-11-30,80
2023-12-01,73
2023-12-02,30
2023-12-03,34
2023-12-04,86
2023-12-05,84
2023-12-06,85
2023-12-07,83
2023-12-08,85
2023-12-09,39
2023-12-10,42
2023-12-11,88
2023-12-12,86
2023-12-13,82
2023-12-14,67
2023-12-15,58
2023-12-16,21
2023-12-17,20
2023-12-18,48
2023-12-19,46
2023-12-20,41
2023-12-21,34
2023-12-22,19
2023-12-23,14
2023-12-24,11
2023-12-25,10
2023-12-26,14
2023-12-27,16
2023-12-28,15
2023-12-29,15
2023-12-30,13
2023-12-31,13
2024-01-01,14
2024-01-02,28
2024-01-03,36
2024-01-04,41
2024-01-05,38
2024-01-06,18
2024-01-07,18
2024-01-08,51
2024-01-09,51
2024-01-10,56
2024-01-11,60
2024-01-12,51
2024-01-13,19
2024-01-14,18
2024-01-15,26
2024-01-16,50
2024-01-17,60
2024-01-18,62
2024-01-19,53
2024-01-20,21
