Time,xrp price
2022-01-01,47
2022-01-02,39
2022-01-03,42
2022-01-04,49
2022-01-05,47
2022-01-06,45
2022-01-07,45
2022-01-08,40
2022-01-09,31
2022-01-10,36
2022-01-11,40
2022-01-12,42
2022-01-13,39
2022-01-14,34
2022-01-15,36
2022-01-16,29
2022-01-17,32
2022-01-18,32
2022-01-19,32
2022-01-20,31
2022-01-21,60
2022-01-22,59
2022-01-23,44
2022-01-24,69
2022-01-25,44
2022-01-26,49
2022-01-27,37
2022-01-28,37
2022-01-29,34
2022-01-30,32
2022-01-31,35
2022-02-01,36
2022-02-02,34
2022-02-03,37
2022-02-04,30
2022-02-05,38
2022-02-06,35
2022-02-07,66
2022-02-08,84
2022-02-09,68
2022-02-10,52
2022-02-11,50
2022-02-12,39
2022-02-13,39
2022-02-14,39
2022-02-15,46
2022-02-16,47
2022-02-17,45
2022-02-18,43
2022-02-19,48
2022-02-20,47
2022-02-21,43
2022-02-22,50
2022-02-23,44
2022-02-24,51
2022-02-25,48
2022-02-26,37
2022-02-27,43
2022-02-28,50
2022-03-01,51
2022-03-02,42
2022-03-03,39
2022-03-04,46
2022-03-05,34
2022-03-06,36
2022-03-07,43
2022-03-08,43
2022-03-09,48
2022-03-10,43
2022-03-11,45
2022-03-12,59
2022-03-13,49
2022-03-14,50
2022-03-15,46
2022-03-16,40
2022-03-17,41
2022-03-18,40
2022-03-19,41
2022-03-20,37
2022-03-21,52
2022-03-22,57
2022-03-23,52
2022-03-24,54
2022-03-25,39
2022-03-26,40
2022-03-27,42
2022-03-28,54
2022-03-29,45
2022-03-30,45
2022-03-31,38
2022-04-01,43
2022-04-02,38
2022-04-03,37
2022-04-04,39
2022-04-05,41
2022-04-06,40
2022-04-07,36
2022-04-08,32
2022-04-09,32
2022-04-10,30
2022-04-11,34
2022-04-12,38
2022-04-13,42
2022-04-14,44
2022-04-15,48
2022-04-16,40
2022-04-17,32
2022-04-18,39
2022-04-19,35
2022-04-20,33
2022-04-21,31
2022-04-22,29
2022-04-23,24
2022-04-24,33
2022-04-25,35
2022-04-26,35
2022-04-27,29
2022-04-28,32
2022-04-29,34
2022-04-30,29
2022-05-01,29
2022-05-02,28
2022-05-03,30
2022-05-04,32
2022-05-05,32
2022-05-06,31
2022-05-07,26
2022-05-08,29
2022-05-09,42
2022-05-10,52
2022-05-11,62
2022-05-12,80
2022-05-13,72
2022-05-14,49
2022-05-15,34
2022-05-16,36
2022-05-17,40
2022-05-18,39
2022-05-19,45
2022-05-20,34
2022-05-21,32
2022-05-22,29
2022-05-23,33
2022-05-24,33
2022-05-25,30
2022-05-26,31
2022-05-27,33
2022-05-28,24
2022-05-29,24
2022-05-30,30
2022-05-31,40
2022-06-01,32
2022-06-02,29
2022-06-03,26
2022-06-04,25
2022-06-05,27
2022-06-06,32
2022-06-07,30
2022-06-08,23
2022-06-09,28
2022-06-10,32
2022-06-11,28
2022-06-12,40
2022-06-13,67
2022-06-14,57
2022-06-15,51
2022-06-16,43
2022-06-17,39
2022-06-18,44
2022-06-19,46
2022-06-20,38
2022-06-21,37
2022-06-22,32
2022-06-23,26
2022-06-24,38
2022-06-25,30
2022-06-26,27
2022-06-27,31
2022-06-28,26
2022-06-29,28
2022-06-30,31
2022-07-01,26
2022-07-02,29
2022-07-03,28
2022-07-04,25
2022-07-05,28
2022-07-06,23
2022-07-07,33
2022-07-08,31
2022-07-09,27
2022-07-10,28
2022-07-11,30
2022-07-12,27
2022-07-13,28
2022-07-14,35
2022-07-15,25
2022-07-16,26
2022-07-17,30
2022-07-18,37
2022-07-19,41
2022-07-20,38
2022-07-21,26
2022-07-22,27
2022-07-23,18
2022-07-24,23
2022-07-25,28
2022-07-26,24
2022-07-27,33
2022-07-28,37
2022-07-29,29
2022-07-30,30
2022-07-31,31
2022-08-01,37
2022-08-02,26
2022-08-03,24
2022-08-04,22
2022-08-05,28
2022-08-06,26
2022-08-07,19
2022-08-08,33
2022-08-09,25
2022-08-10,29
2022-08-11,25
2022-08-12,23
2022-08-13,21
2022-08-14,21
2022-08-15,22
2022-08-16,28
2022-08-17,27
2022-08-18,23
2022-08-19,29
2022-08-20,20
2022-08-21,21
2022-08-22,24
2022-08-23,20
2022-08-24,21
2022-08-25,21
2022-08-26,27
2022-08-27,21
2022-08-28,21
2022-08-29,22
2022-08-30,27
2022-08-31,24
2022-09-01,23
2022-09-02,16
2022-09-03,15
2022-09-04,20
2022-09-05,18
2022-09-06,27
2022-09-07,19
2022-09-08,23
2022-09-09,26
2022-09-10,22
2022-09-11,22
2022-09-12,20
2022-09-13,23
2022-09-14,26
2022-09-15,27
2022-09-16,26
2022-09-17,32
2022-09-18,35
2022-09-19,42
2022-09-20,51
2022-09-21,52
2022-09-22,67
2022-09-23,100
2022-09-24,77
2022-09-25,55
2022-09-26,56
2022-09-27,48
