Time,schoology
2023-12-22,15
2023-12-23,7
2023-12-24,6
2023-12-25,5
2023-12-26,6
2023-12-27,6
2023-12-28,6
2023-12-29,5
2023-12-30,5
2023-12-31,6
2024-01-01,9
2024-01-02,22
2024-01-03,29
2024-01-04,38
2024-01-05,33
2024-01-06,12
2024-01-07,15
2024-01-08,81
2024-01-09,64
2024-01-10,74
2024-01-11,77
2024-01-12,67
2024-01-13,15
2024-01-14,10
2024-01-15,16
2024-01-16,63
2024-01-17,68
2024-01-18,69
2024-01-19,63
2024-01-20,16
2024-01-21,15
2024-01-22,69
2024-01-23,71
2024-01-24,69
2024-01-25,74
2024-01-26,70
2024-01-27,14
2024-01-28,15
2024-01-29,63
2024-01-30,73
2024-01-31,68
2024-02-01,66
2024-02-02,67
2024-02-03,15
2024-02-04,16
2024-02-05,66
2024-02-06,62
2024-02-07,70
2024-02-08,67
2024-02-09,63
2024-02-10,16
2024-02-11,14
2024-02-12,62
2024-02-13,66
2024-02-14,65
2024-02-15,64
2024-02-16,59
2024-02-17,12
2024-02-18,12
2024-02-19,21
2024-02-20,65
2024-02-21,63
2024-02-22,60
2024-02-23,60
2024-02-24,15
2024-02-25,13
2024-02-26,63
2024-02-27,68
2024-02-28,67
2024-02-29,64
2024-03-01,63
2024-03-02,15
2024-03-03,15
2024-03-04,69
2024-03-05,65
2024-03-06,61
2024-03-07,66
2024-03-08,63
2024-03-09,15
2024-03-10,13
2024-03-11,57
2024-03-12,54
2024-03-13,58
2024-03-14,57
2024-03-15,51
2024-03-16,13
2024-03-17,14
2024-03-18,68
2024-03-19,65
2024-03-20,68
2024-03-21,67
2024-03-22,57
2024-03-23,12
2024-03-24,12
2024-03-25,32
2024-03-26,31
2024-03-27,31
2024-03-28,29
2024-03-29,13
2024-03-30,8
2024-03-31,10
2024-04-01,30
2024-04-02,60
2024-04-03,55
2024-04-04,57
2024-04-05,58
2024-04-06,13
2024-04-07,13
2024-04-08,58
2024-04-09,59
2024-04-10,54
2024-04-11,57
2024-04-12,62
2024-04-13,12
2024-04-14,13
2024-04-15,65
2024-04-16,59
2024-04-17,60
2024-04-18,60
2024-04-19,58
2024-04-20,13
2024-04-21,14
2024-04-22,72
2024-04-23,62
2024-04-24,43
2024-04-25,65
2024-04-26,56
2024-04-27,13
2024-04-28,13
2024-04-29,66
2024-04-30,60
2024-05-01,61
2024-05-02,59
2024-05-03,58
2024-05-04,13
2024-05-05,13
2024-05-06,63
2024-05-07,58
2024-05-08,55
2024-05-09,61
2024-05-10,53
2024-05-11,12
2024-05-12,12
2024-05-13,62
2024-05-14,54
2024-05-15,58
2024-05-16,58
2024-05-17,55
2024-05-18,13
2024-05-19,13
2024-05-20,59
2024-05-21,57
2024-05-22,57
2024-05-23,57
2024-05-24,47
2024-05-25,13
2024-05-26,8
2024-05-27,12
2024-05-28,59
2024-05-29,54
2024-05-30,52
2024-05-31,45
2024-06-01,13
2024-06-02,12
2024-06-03,46
2024-06-04,41
2024-06-05,42
2024-06-06,36
2024-06-07,28
2024-06-08,10
2024-06-09,9
2024-06-10,25
2024-06-11,19
2024-06-12,15
2024-06-13,12
2024-06-14,9
2024-06-15,5
2024-06-16,5
2024-06-17,9
2024-06-18,7
2024-06-19,6
2024-06-20,11
2024-06-21,10
2024-06-22,5
2024-06-23,4
2024-06-24,10
2024-06-25,10
2024-06-26,8
2024-06-27,8
2024-06-28,6
2024-06-29,3
2024-06-30,3
2024-07-01,8
2024-07-02,7
2024-07-03,7
2024-07-04,5
2024-07-05,4
2024-07-06,4
2024-07-07,4
2024-07-08,9
2024-07-09,8
2024-07-10,8
2024-07-11,8
2024-07-12,8
2024-07-13,4
2024-07-14,3
2024-07-15,8
2024-07-16,10
2024-07-17,12
2024-07-18,13
2024-07-19,12
2024-07-20,14
2024-07-21,9
2024-07-22,11
2024-07-23,13
2024-07-24,11
2024-07-25,13
2024-07-26,11
2024-07-27,10
2024-07-28,8
2024-07-29,13
2024-07-30,13
2024-07-31,15
2024-08-01,18
2024-08-02,16
2024-08-03,8
2024-08-04,11
2024-08-05,25
2024-08-06,27
2024-08-07,34
2024-08-08,35
2024-08-09,45
2024-08-10,25
2024-08-11,26
2024-08-12,72
2024-08-13,78
2024-08-14,74
2024-08-15,94
2024-08-16,74
2024-08-17,21
2024-08-18,24
2024-08-19,83
2024-08-20,85
2024-08-21,92
2024-08-22,88
2024-08-23,91
2024-08-24,21
2024-08-25,22
2024-08-26,94
2024-08-27,95
2024-08-28,96
2024-08-29,84
2024-08-30,54
2024-08-31,17
2024-09-01,13
2024-09-02,23
2024-09-03,94
2024-09-04,92
2024-09-05,92
2024-09-06,89
2024-09-07,23
2024-09-08,24
2024-09-09,100
2024-09-10,89
2024-09-11,82
2024-09-12,87
2024-09-13,86
2024-09-14,20
2024-09-15,19
2024-09-16,87
