Time,schoology
2025-12-11,89
2025-12-12,88
2025-12-13,27
2025-12-14,23
2025-12-15,92
2025-12-16,90
2025-12-17,95
2025-12-18,86
2025-12-19,60
2025-12-20,16
2025-12-21,12
2025-12-22,17
2025-12-23,11
2025-12-24,7
2025-12-25,7
2025-12-26,7
2025-12-27,7
2025-12-28,6
2025-12-29,8
2025-12-30,7
2025-12-31,6
2026-01-01,7
2026-01-02,9
2026-01-03,12
2026-01-04,14
2026-01-05,47
2026-01-06,47
2026-01-07,57
2026-01-08,54
2026-01-09,55
2026-01-10,17
2026-01-11,21
2026-01-12,100
2026-01-13,97
2026-01-14,90
2026-01-15,89
2026-01-16,85
2026-01-17,20
2026-01-18,14
2026-01-19,21
2026-01-20,92
2026-01-21,96
2026-01-22,88
2026-01-23,91
2026-01-24,21
2026-01-25,19
2026-01-26,80
2026-01-27,91
2026-01-28,88
2026-01-29,88
2026-01-30,78
2026-01-31,23
2026-02-01,20
2026-02-02,86
2026-02-03,84
2026-02-04,81
2026-02-05,82
2026-02-06,78
2026-02-07,20
2026-02-08,17
2026-02-09,72
2026-02-10,87
2026-02-11,86
2026-02-12,87
2026-02-13,72
2026-02-14,17
2026-02-15,13
2026-02-16,23
2026-02-17,69
2026-02-18,85
2026-02-19,78
2026-02-20,78
2026-02-21,17
2026-02-22,16
2026-02-23,84
2026-02-24,79
2026-02-25,76
2026-02-26,81
2026-02-27,74
2026-02-28,20
2026-03-01,17
2026-03-02,79
2026-03-03,85
2026-03-04,80
2026-03-05,80
2026-03-06,79
2026-03-07,21
2026-03-08,19
2026-03-09,77
2026-03-10,76
2026-03-11,76
2026-03-12,78
2026-03-13,71
2026-03-14,20
2026-03-15,19
2026-03-16,76
2026-03-17,79
2026-03-18,76
2026-03-19,74
2026-03-20,66
2026-03-21,17
2026-03-22,17
2026-03-23,78
2026-03-24,75
2026-03-25,79
2026-03-26,69
2026-03-27,38
2026-03-28,13
2026-03-29,13
2026-03-30,37
2026-03-31,35
2026-04-01,31
2026-04-02,25
2026-04-03,16
2026-04-04,10
2026-04-05,12
2026-04-06,64
2026-04-07,63
2026-04-08,66
2026-04-09,68
2026-04-10,70
2026-04-11,16
2026-04-12,16
2026-04-13,79
2026-04-14,73
2026-04-15,71
2026-04-16,73
2026-04-17,66
2026-04-18,16
2026-04-19,15
2026-04-20,77
2026-04-21,72
2026-04-22,72
2026-04-23,72
2026-04-24,38
2026-04-25,15
2026-04-26,16
2026-04-27,75
2026-04-28,72
2026-04-29,71
2026-04-30,70
2026-05-01,65
2026-05-02,17
2026-05-03,15
2026-05-04,69
2026-05-05,67
2026-05-06,66
2026-05-07,68
2026-05-08,64
2026-05-09,16
2026-05-10,17
2026-05-11,73
2026-05-12,70
2026-05-13,72
2026-05-14,71
2026-05-15,63
2026-05-16,17
2026-05-17,18
2026-05-18,73
2026-05-19,76
2026-05-20,77
2026-05-21,76
2026-05-22,67
2026-05-23,15
2026-05-24,13
2026-05-25,16
2026-05-26,70
2026-05-27,66
2026-05-28,67
2026-05-29,64
2026-05-30,17
2026-05-31,16
