Time,schoology
2025-04-15,22
2025-04-16,23
2025-04-17,21
2025-04-18,11
2025-04-19,6
2025-04-20,8
2025-04-21,42
2025-04-22,46
2025-04-23,46
2025-04-24,28
2025-04-25,43
2025-04-26,10
2025-04-27,10
2025-04-28,49
2025-04-29,46
2025-04-30,46
2025-05-01,48
2025-05-02,44
2025-05-03,11
2025-05-04,12
2025-05-05,44
2025-05-06,45
2025-05-07,43
2025-05-08,45
2025-05-09,43
2025-05-10,10
2025-05-11,10
2025-05-12,47
2025-05-13,47
2025-05-14,47
2025-05-15,47
2025-05-16,43
2025-05-17,11
2025-05-18,11
2025-05-19,49
2025-05-20,49
2025-05-21,47
2025-05-22,47
2025-05-23,38
2025-05-24,10
2025-05-25,8
2025-05-26,10
2025-05-27,48
2025-05-28,45
2025-05-29,43
2025-05-30,39
2025-05-31,11
2025-06-01,10
2025-06-02,37
2025-06-03,37
2025-06-04,31
2025-06-05,28
2025-06-06,24
2025-06-07,8
2025-06-08,7
2025-06-09,21
2025-06-10,17
2025-06-11,13
2025-06-12,10
2025-06-13,7
2025-06-14,4
2025-06-15,4
2025-06-16,9
2025-06-17,10
2025-06-18,8
2025-06-19,5
2025-06-20,6
2025-06-21,4
2025-06-22,3
2025-06-23,7
2025-06-24,7
2025-06-25,6
2025-06-26,6
2025-06-27,5
2025-06-28,3
2025-06-29,3
2025-06-30,6
2025-07-01,6
2025-07-02,6
2025-07-03,5
2025-07-04,3
2025-07-05,2
2025-07-06,3
2025-07-07,7
2025-07-08,6
2025-07-09,6
2025-07-10,7
2025-07-11,7
2025-07-12,4
2025-07-13,3
2025-07-14,8
2025-07-15,7
2025-07-16,6
2025-07-17,6
2025-07-18,6
2025-07-19,4
2025-07-20,4
2025-07-21,7
2025-07-22,7
2025-07-23,9
2025-07-24,18
2025-07-25,11
2025-07-26,7
2025-07-27,6
2025-07-28,9
2025-07-29,16
2025-07-30,19
2025-07-31,14
2025-08-01,14
2025-08-02,9
2025-08-03,10
2025-08-04,18
2025-08-05,19
2025-08-06,23
2025-08-07,29
2025-08-08,29
2025-08-09,14
2025-08-10,14
2025-08-11,43
2025-08-12,46
2025-08-13,53
2025-08-14,74
2025-08-15,57
2025-08-16,19
2025-08-17,21
2025-08-18,65
2025-08-19,65
2025-08-20,74
2025-08-21,71
2025-08-22,79
2025-08-23,18
2025-08-24,19
2025-08-25,76
2025-08-26,74
2025-08-27,76
2025-08-28,73
2025-08-29,42
2025-08-30,14
2025-08-31,12
2025-09-01,18
2025-09-02,81
2025-09-03,80
2025-09-04,75
2025-09-05,69
2025-09-06,17
2025-09-07,18
2025-09-08,70
2025-09-09,68
2025-09-10,61
2025-09-11,67
2025-09-12,66
2025-09-13,16
2025-09-14,16
2025-09-15,66
2025-09-16,64
2025-09-17,63
2025-09-18,71
2025-09-19,64
2025-09-20,16
2025-09-21,15
2025-09-22,60
2025-09-23,40
2025-09-24,69
2025-09-25,66
2025-09-26,65
2025-09-27,15
2025-09-28,15
2025-09-29,63
2025-09-30,65
2025-10-01,63
2025-10-02,39
2025-10-03,62
2025-10-04,15
2025-10-05,16
2025-10-06,61
2025-10-07,58
2025-10-08,58
2025-10-09,59
2025-10-10,55
2025-10-11,14
2025-10-12,13
2025-10-13,59
2025-10-14,54
2025-10-15,63
2025-10-16,53
2025-10-17,54
2025-10-18,14
2025-10-19,13
2025-10-20,100
2025-10-21,58
2025-10-22,58
2025-10-23,60
2025-10-24,60
2025-10-25,13
2025-10-26,14
2025-10-27,55
2025-10-28,58
2025-10-29,56
2025-10-30,58
2025-10-31,48
2025-11-01,12
2025-11-02,11
2025-11-03,52
2025-11-04,52
2025-11-05,56
2025-11-06,55
2025-11-07,52
2025-11-08,12
2025-11-09,12
2025-11-10,51
2025-11-11,27
2025-11-12,54
2025-11-13,57
2025-11-14,55
2025-11-15,13
2025-11-16,13
2025-11-17,54
2025-11-18,60
2025-11-19,57
2025-11-20,59
2025-11-21,53
2025-11-22,13
2025-11-23,10
2025-11-24,21
2025-11-25,17
2025-11-26,11
2025-11-27,7
2025-11-28,6
2025-11-29,8
2025-11-30,13
2025-12-01,57
2025-12-02,54
2025-12-03,59
2025-12-04,55
2025-12-05,49
2025-12-06,13
2025-12-07,13
2025-12-08,55
2025-12-09,54
2025-12-10,56
2025-12-11,55
2025-12-12,54
2025-12-13,17
2025-12-14,14
2025-12-15,56
2025-12-16,56
2025-12-17,59
2025-12-18,53
2025-12-19,37
2025-12-20,10
2025-12-21,7
2025-12-22,10
2025-12-23,7
2025-12-24,4
2025-12-25,4
2025-12-26,5
2025-12-27,4
2025-12-28,4
2025-12-29,5
2025-12-30,4
2025-12-31,4
2026-01-01,4
2026-01-02,6
2026-01-03,7
2026-01-04,8
2026-01-05,29
2026-01-06,29
2026-01-07,35
2026-01-08,33
2026-01-09,34
