Time,dicks sporting good
2023-12-22,33
2023-12-23,36
2023-12-24,31
2023-12-25,15
2023-12-26,22
2023-12-27,20
2023-12-28,18
2023-12-29,20
2023-12-30,21
2023-12-31,18
2024-01-01,19
2024-01-02,15
2024-01-03,14
2024-01-04,16
2024-01-05,16
2024-01-06,19
2024-01-07,19
2024-01-08,13
2024-01-09,12
2024-01-10,13
2024-01-11,12
2024-01-12,13
2024-01-13,16
2024-01-14,15
2024-01-15,13
2024-01-16,12
2024-01-17,11
2024-01-18,10
2024-01-19,10
2024-01-20,17
2024-01-21,14
2024-01-22,10
2024-01-23,9
2024-01-24,9
2024-01-25,9
2024-01-26,11
2024-01-27,14
2024-01-28,14
2024-01-29,10
2024-01-30,11
2024-01-31,10
2024-02-01,10
2024-02-02,10
2024-02-03,15
2024-02-04,14
2024-02-05,9
2024-02-06,8
2024-02-07,9
2024-02-08,11
2024-02-09,10
2024-02-10,15
2024-02-11,12
2024-02-12,8
2024-02-13,11
2024-02-14,10
2024-02-15,11
2024-02-16,12
2024-02-17,18
2024-02-18,16
2024-02-19,13
2024-02-20,10
2024-02-21,10
2024-02-22,11
2024-02-23,12
2024-02-24,20
2024-02-25,18
2024-02-26,11
2024-02-27,11
2024-02-28,10
2024-02-29,11
2024-03-01,12
2024-03-02,18
2024-03-03,19
2024-03-04,12
2024-03-05,11
2024-03-06,10
2024-03-07,11
2024-03-08,11
2024-03-09,18
2024-03-10,16
2024-03-11,11
2024-03-12,10
2024-03-13,11
2024-03-14,10
2024-03-15,13
2024-03-16,18
2024-03-17,18
2024-03-18,11
2024-03-19,11
2024-03-20,12
2024-03-21,11
2024-03-22,13
2024-03-23,17
2024-03-24,17
2024-03-25,11
2024-03-26,11
2024-03-27,12
2024-03-28,11
2024-03-29,16
2024-03-30,17
2024-03-31,15
2024-04-01,12
2024-04-02,10
2024-04-03,10
2024-04-04,11
2024-04-05,12
2024-04-06,16
2024-04-07,13
2024-04-08,10
2024-04-09,10
2024-04-10,12
2024-04-11,11
2024-04-12,12
2024-04-13,16
2024-04-14,16
2024-04-15,9
2024-04-16,11
2024-04-17,10
2024-04-18,11
2024-04-19,13
2024-04-20,16
2024-04-21,17
2024-04-22,10
2024-04-23,10
2024-04-24,12
2024-04-25,10
2024-04-26,12
2024-04-27,15
2024-04-28,16
2024-04-29,10
2024-04-30,10
2024-05-01,10
2024-05-02,12
2024-05-03,11
2024-05-04,17
2024-05-05,16
2024-05-06,11
2024-05-07,9
2024-05-08,10
2024-05-09,11
2024-05-10,14
2024-05-11,17
2024-05-12,15
2024-05-13,10
2024-05-14,10
2024-05-15,10
2024-05-16,11
2024-05-17,10
2024-05-18,18
2024-05-19,15
2024-05-20,10
2024-05-21,11
2024-05-22,11
2024-05-23,11
2024-05-24,13
2024-05-25,19
2024-05-26,16
2024-05-27,17
2024-05-28,10
2024-05-29,10
2024-05-30,12
2024-05-31,14
2024-06-01,18
2024-06-02,17
2024-06-03,12
2024-06-04,12
2024-06-05,30
2024-06-06,51
2024-06-07,58
2024-06-08,80
2024-06-09,77
2024-06-10,51
2024-06-11,51
2024-06-12,52
2024-06-13,64
2024-06-14,60
2024-06-15,80
2024-06-16,85
2024-06-17,48
2024-06-18,64
2024-06-19,68
2024-06-20,63
2024-06-21,66
2024-06-22,59
2024-06-23,45
2024-06-24,32
2024-06-25,29
2024-06-26,38
2024-06-27,43
2024-06-28,56
2024-06-29,71
2024-06-30,74
2024-07-01,58
2024-07-02,58
2024-07-03,66
2024-07-04,95
2024-07-05,75
2024-07-06,80
2024-07-07,82
2024-07-08,60
2024-07-09,59
2024-07-10,62
2024-07-11,59
2024-07-12,67
2024-07-13,82
2024-07-14,80
2024-07-15,61
2024-07-16,60
2024-07-17,62
2024-07-18,57
2024-07-19,75
2024-07-20,92
2024-07-21,90
2024-07-22,64
2024-07-23,62
2024-07-24,64
2024-07-25,67
2024-07-26,69
2024-07-27,81
2024-07-28,94
2024-07-29,64
2024-07-30,67
2024-07-31,65
2024-08-01,68
2024-08-02,80
2024-08-03,93
2024-08-04,100
2024-08-05,69
2024-08-06,67
2024-08-07,69
2024-08-08,69
2024-08-09,80
2024-08-10,56
2024-08-11,48
2024-08-12,27
2024-08-13,38
2024-08-14,48
2024-08-15,57
2024-08-16,69
2024-08-17,91
2024-08-18,100
2024-08-19,64
2024-08-20,64
2024-08-21,63
2024-08-22,66
2024-08-23,70
2024-08-24,55
2024-08-25,55
2024-08-26,32
2024-08-27,48
2024-08-28,52
2024-08-29,57
2024-08-30,68
2024-08-31,82
2024-09-01,93
2024-09-02,89
2024-09-03,57
2024-09-04,51
2024-09-05,51
2024-09-06,57
2024-09-07,76
2024-09-08,82
2024-09-09,46
2024-09-10,39
2024-09-11,39
2024-09-12,43
2024-09-13,48
2024-09-14,71
2024-09-15,68
2024-09-16,41
