Time,huntington bank
2022-08-29,80
2022-08-30,82
2022-08-31,81
2022-09-01,93
2022-09-02,95
2022-09-03,75
2022-09-04,45
2022-09-05,47
2022-09-06,88
2022-09-07,90
2022-09-08,77
2022-09-09,89
2022-09-10,69
2022-09-11,47
2022-09-12,80
2022-09-13,77
2022-09-14,80
2022-09-15,79
2022-09-16,82
2022-09-17,70
2022-09-18,45
2022-09-19,78
2022-09-20,78
2022-09-21,74
2022-09-22,73
2022-09-23,77
2022-09-24,65
2022-09-25,41
2022-09-26,78
2022-09-27,76
2022-09-28,82
2022-09-29,77
2022-09-30,90
2022-10-01,75
2022-10-02,44
2022-10-03,82
2022-10-04,78
2022-10-05,76
2022-10-06,76
2022-10-07,86
2022-10-08,65
2022-10-09,44
2022-10-10,80
2022-10-11,74
2022-10-12,77
2022-10-13,77
2022-10-14,85
2022-10-15,66
2022-10-16,41
2022-10-17,79
2022-10-18,72
2022-10-19,75
2022-10-20,74
2022-10-21,84
2022-10-22,60
2022-10-23,38
2022-10-24,72
2022-10-25,69
2022-10-26,75
2022-10-27,71
2022-10-28,81
2022-10-29,67
2022-10-30,42
2022-10-31,76
2022-11-01,79
2022-11-02,74
2022-11-03,85
2022-11-04,80
2022-11-05,68
2022-11-06,42
2022-11-07,73
2022-11-08,69
2022-11-09,66
2022-11-10,78
2022-11-11,80
2022-11-12,73
2022-11-13,41
2022-11-14,74
2022-11-15,75
2022-11-16,77
2022-11-17,72
2022-11-18,77
2022-11-19,64
2022-11-20,43
2022-11-21,73
2022-11-22,72
2022-11-23,82
2022-11-24,36
2022-11-25,75
2022-11-26,57
2022-11-27,42
2022-11-28,75
2022-11-29,75
2022-11-30,85
2022-12-01,87
2022-12-02,82
2022-12-03,65
2022-12-04,45
2022-12-05,72
2022-12-06,72
2022-12-07,76
2022-12-08,73
2022-12-09,75
2022-12-10,62
2022-12-11,45
2022-12-12,74
2022-12-13,71
2022-12-14,73
2022-12-15,75
2022-12-16,79
2022-12-17,71
2022-12-18,45
2022-12-19,81
2022-12-20,80
2022-12-21,85
2022-12-22,79
2022-12-23,75
2022-12-24,51
2022-12-25,35
2022-12-26,84
2022-12-27,83
2022-12-28,86
2022-12-29,84
2022-12-30,89
2022-12-31,71
2023-01-01,47
2023-01-02,85
2023-01-03,86
2023-01-04,83
2023-01-05,78
2023-01-06,83
2023-01-07,68
2023-01-08,46
2023-01-09,75
2023-01-10,71
2023-01-11,78
2023-01-12,76
2023-01-13,80
2023-01-14,65
2023-01-15,43
2023-01-16,63
2023-01-17,84
2023-01-18,82
2023-01-19,76
2023-01-20,82
2023-01-21,65
2023-01-22,43
2023-01-23,71
2023-01-24,79
2023-01-25,68
2023-01-26,73
2023-01-27,79
2023-01-28,70
2023-01-29,43
2023-01-30,77
2023-01-31,82
2023-02-01,96
2023-02-02,89
2023-02-03,84
2023-02-04,72
2023-02-05,55
2023-02-06,75
2023-02-07,78
2023-02-08,76
2023-02-09,74
2023-02-10,81
2023-02-11,71
2023-02-12,46
2023-02-13,77
2023-02-14,74
2023-02-15,79
2023-02-16,79
2023-02-17,82
2023-02-18,71
2023-02-19,55
2023-02-20,75
2023-02-21,78
2023-02-22,79
2023-02-23,73
2023-02-24,85
2023-02-25,71
2023-02-26,46
2023-02-27,80
2023-02-28,79
2023-03-01,90
2023-03-02,80
2023-03-03,80
2023-03-04,69
2023-03-05,55
2023-03-06,76
2023-03-07,73
2023-03-08,74
2023-03-09,73
2023-03-10,79
2023-03-11,70
2023-03-12,47
2023-03-13,100
2023-03-14,94
2023-03-15,94
2023-03-16,91
2023-03-17,87
2023-03-18,76
2023-03-19,47
2023-03-20,81
2023-03-21,79
2023-03-22,77
2023-03-23,76
2023-03-24,80
2023-03-25,67
2023-03-26,48
2023-03-27,74
2023-03-28,76
2023-03-29,77
2023-03-30,78
2023-03-31,87
2023-04-01,79
2023-04-02,54
2023-04-03,89
2023-04-04,79
2023-04-05,78
2023-04-06,85
2023-04-07,95
2023-04-08,68
2023-04-09,39
2023-04-10,87
2023-04-11,74
2023-04-12,81
2023-04-13,78
2023-04-14,84
2023-04-15,73
2023-04-16,55
2023-04-17,89
2023-04-18,81
2023-04-19,77
2023-04-20,76
2023-04-21,80
2023-04-22,69
2023-04-23,41
2023-04-24,75
2023-04-25,76
2023-04-26,75
2023-04-27,72
2023-04-28,81
2023-04-29,70
2023-04-30,44
2023-05-01,96
2023-05-02,86
2023-05-03,80
2023-05-04,82
2023-05-05,81
2023-05-06,63
2023-05-07,41
2023-05-08,77
2023-05-09,74
2023-05-10,75
2023-05-11,74
2023-05-12,78
2023-05-13,64
2023-05-14,40
2023-05-15,83
2023-05-16,84
2023-05-17,75
2023-05-18,75
2023-05-19,80
2023-05-20,69
2023-05-21,39
2023-05-22,74
2023-05-23,74
2023-05-24,71
2023-05-25,79
