Time,huntington bank
2022-01-01,17
2022-01-02,15
2022-01-03,30
2022-01-04,32
2022-01-05,32
2022-01-06,25
2022-01-07,27
2022-01-08,23
2022-01-09,14
2022-01-10,25
2022-01-11,27
2022-01-12,27
2022-01-13,25
2022-01-14,24
2022-01-15,23
2022-01-16,14
2022-01-17,19
2022-01-18,26
2022-01-19,28
2022-01-20,26
2022-01-21,25
2022-01-22,22
2022-01-23,12
2022-01-24,30
2022-01-25,22
2022-01-26,23
2022-01-27,26
2022-01-28,30
2022-01-29,26
2022-01-30,14
2022-01-31,31
2022-02-01,32
2022-02-02,28
2022-02-03,27
2022-02-04,29
2022-02-05,25
2022-02-06,16
2022-02-07,28
2022-02-08,26
2022-02-09,26
2022-02-10,25
2022-02-11,29
2022-02-12,24
2022-02-13,14
2022-02-14,26
2022-02-15,28
2022-02-16,30
2022-02-17,26
2022-02-18,30
2022-02-19,24
2022-02-20,18
2022-02-21,25
2022-02-22,28
2022-02-23,30
2022-02-24,28
2022-02-25,31
2022-02-26,27
2022-02-27,18
2022-02-28,30
2022-03-01,32
2022-03-02,31
2022-03-03,30
2022-03-04,31
2022-03-05,24
2022-03-06,15
2022-03-07,30
2022-03-08,28
2022-03-09,29
2022-03-10,29
2022-03-11,28
2022-03-12,24
2022-03-13,17
2022-03-14,26
2022-03-15,27
2022-03-16,28
2022-03-17,25
2022-03-18,27
2022-03-19,23
2022-03-20,16
2022-03-21,27
2022-03-22,26
2022-03-23,26
2022-03-24,27
2022-03-25,27
2022-03-26,23
2022-03-27,16
2022-03-28,25
2022-03-29,25
2022-03-30,27
2022-03-31,27
2022-04-01,30
2022-04-02,26
2022-04-03,19
2022-04-04,28
2022-04-05,26
2022-04-06,26
2022-04-07,25
2022-04-08,28
2022-04-09,24
2022-04-10,18
2022-04-11,27
2022-04-12,26
2022-04-13,27
2022-04-14,29
2022-04-15,35
2022-04-16,26
2022-04-17,15
2022-04-18,30
2022-04-19,25
2022-04-20,25
2022-04-21,24
2022-04-22,27
2022-04-23,20
2022-04-24,14
2022-04-25,26
2022-04-26,25
2022-04-27,25
2022-04-28,25
2022-04-29,26
2022-04-30,25
2022-05-01,17
2022-05-02,26
2022-05-03,26
2022-05-04,25
2022-05-05,25
2022-05-06,28
2022-05-07,21
2022-05-08,13
2022-05-09,26
2022-05-10,24
2022-05-11,24
2022-05-12,25
2022-05-13,27
2022-05-14,23
2022-05-15,16
2022-05-16,26
2022-05-17,25
2022-05-18,25
2022-05-19,26
2022-05-20,27
2022-05-21,24
2022-05-22,14
2022-05-23,25
2022-05-24,26
2022-05-25,24
2022-05-26,26
2022-05-27,30
2022-05-28,23
2022-05-29,16
2022-05-30,15
2022-05-31,32
2022-06-01,34
2022-06-02,31
2022-06-03,32
2022-06-04,25
2022-06-05,17
2022-06-06,28
2022-06-07,27
2022-06-08,27
2022-06-09,28
2022-06-10,30
2022-06-11,22
2022-06-12,16
2022-06-13,27
2022-06-14,27
2022-06-15,39
2022-06-16,100
2022-06-17,44
2022-06-18,27
2022-06-19,16
2022-06-20,31
2022-06-21,33
2022-06-22,33
2022-06-23,31
2022-06-24,30
2022-06-25,24
2022-06-26,15
2022-06-27,28
2022-06-28,29
2022-06-29,29
2022-06-30,34
2022-07-01,37
2022-07-02,28
2022-07-03,15
2022-07-04,14
2022-07-05,35
2022-07-06,32
2022-07-07,32
2022-07-08,32
2022-07-09,23
2022-07-10,16
2022-07-11,29
2022-07-12,27
2022-07-13,28
2022-07-14,29
2022-07-15,32
2022-07-16,26
2022-07-17,15
2022-07-18,30
2022-07-19,28
2022-07-20,27
2022-07-21,28
2022-07-22,30
2022-07-23,22
2022-07-24,15
2022-07-25,28
2022-07-26,28
2022-07-27,28
2022-07-28,28
2022-07-29,30
2022-07-30,23
2022-07-31,16
2022-08-01,33
2022-08-02,30
2022-08-03,28
2022-08-04,29
2022-08-05,30
2022-08-06,23
2022-08-07,15
2022-08-08,29
2022-08-09,27
2022-08-10,28
2022-08-11,27
2022-08-12,28
2022-08-13,21
2022-08-14,15
2022-08-15,28
2022-08-16,30
2022-08-17,27
2022-08-18,27
2022-08-19,29
2022-08-20,23
2022-08-21,15
2022-08-22,27
2022-08-23,26
2022-08-24,25
2022-08-25,25
2022-08-26,26
2022-08-27,21
2022-08-28,14
2022-08-29,26
2022-08-30,27
2022-08-31,26
2022-09-01,30
2022-09-02,31
2022-09-03,24
2022-09-04,15
2022-09-05,15
2022-09-06,29
2022-09-07,29
2022-09-08,25
2022-09-09,29
2022-09-10,23
2022-09-11,15
2022-09-12,26
2022-09-13,25
2022-09-14,26
2022-09-15,26
2022-09-16,27
2022-09-17,23
2022-09-18,15
2022-09-19,25
2022-09-20,26
2022-09-21,24
2022-09-22,24
2022-09-23,25
2022-09-24,21
2022-09-25,13
2022-09-26,25
2022-09-27,25
