Time,huntington bank
2023-04-26,76
2023-04-27,73
2023-04-28,82
2023-04-29,70
2023-04-30,44
2023-05-01,97
2023-05-02,86
2023-05-03,81
2023-05-04,83
2023-05-05,81
2023-05-06,64
2023-05-07,41
2023-05-08,78
2023-05-09,75
2023-05-10,76
2023-05-11,75
2023-05-12,78
2023-05-13,64
2023-05-14,41
2023-05-15,84
2023-05-16,85
2023-05-17,76
2023-05-18,76
2023-05-19,80
2023-05-20,69
2023-05-21,39
2023-05-22,75
2023-05-23,75
2023-05-24,72
2023-05-25,80
2023-05-26,78
2023-05-27,63
2023-05-28,40
2023-05-29,45
2023-05-30,89
2023-05-31,93
2023-06-01,94
2023-06-02,100
2023-06-03,71
2023-06-04,45
2023-06-05,79
2023-06-06,83
2023-06-07,80
2023-06-08,81
2023-06-09,80
2023-06-10,68
2023-06-11,44
2023-06-12,86
2023-06-13,84
2023-06-14,80
2023-06-15,81
2023-06-16,88
2023-06-17,67
2023-06-18,41
2023-06-19,81
2023-06-20,85
2023-06-21,84
2023-06-22,81
2023-06-23,88
2023-06-24,66
2023-06-25,38
2023-06-26,79
2023-06-27,81
2023-06-28,86
2023-06-29,85
2023-06-30,91
2023-07-01,76
2023-07-02,44
2023-07-03,94
2023-07-04,47
2023-07-05,94
2023-07-06,85
2023-07-07,91
2023-07-08,72
2023-07-09,44
2023-07-10,87
2023-07-11,82
2023-07-12,91
2023-07-13,84
2023-07-14,85
2023-07-15,67
2023-07-16,46
2023-07-17,86
2023-07-18,79
2023-07-19,81
2023-07-20,99
2023-07-21,91
2023-07-22,66
2023-07-23,41
2023-07-24,81
2023-07-25,85
2023-07-26,77
2023-07-27,73
2023-07-28,89
2023-07-29,67
2023-07-30,41
2023-07-31,84
2023-08-01,90
2023-08-02,83
2023-08-03,86
2023-08-04,82
2023-08-05,62
2023-08-06,43
2023-08-07,79
2023-08-08,79
2023-08-09,78
2023-08-10,78
2023-08-11,84
2023-08-12,65
2023-08-13,44
2023-08-14,81
2023-08-15,83
2023-08-16,82
2023-08-17,80
2023-08-18,77
2023-08-19,62
2023-08-20,42
2023-08-21,76
2023-08-22,81
2023-08-23,81
2023-08-24,77
2023-08-25,76
2023-08-26,61
2023-08-27,41
2023-08-28,74
2023-08-29,72
2023-08-30,81
2023-08-31,92
2023-09-01,98
2023-09-02,67
2023-09-03,40
2023-09-04,44
2023-09-05,84
2023-09-06,82
2023-09-07,77
2023-09-08,75
2023-09-09,65
2023-09-10,42
2023-09-11,73
2023-09-12,77
2023-09-13,77
2023-09-14,72
2023-09-15,79
2023-09-16,66
2023-09-17,41
2023-09-18,72
2023-09-19,68
2023-09-20,67
2023-09-21,77
2023-09-22,78
2023-09-23,53
2023-09-24,41
2023-09-25,72
2023-09-26,67
2023-09-27,68
2023-09-28,79
2023-09-29,83
2023-09-30,75
2023-10-01,44
2023-10-02,80
2023-10-03,73
2023-10-04,74
2023-10-05,73
2023-10-06,79
2023-10-07,66
2023-10-08,43
2023-10-09,75
2023-10-10,73
2023-10-11,80
2023-10-12,72
2023-10-13,74
2023-10-14,61
2023-10-15,41
2023-10-16,69
2023-10-17,71
2023-10-18,68
2023-10-19,70
2023-10-20,76
2023-10-21,59
2023-10-22,39
2023-10-23,65
2023-10-24,70
2023-10-25,67
2023-10-26,65
2023-10-27,80
2023-10-28,61
2023-10-29,39
2023-10-30,75
2023-10-31,71
2023-11-01,85
2023-11-02,72
2023-11-03,88
2023-11-04,69
2023-11-05,41
2023-11-06,74
2023-11-07,74
2023-11-08,66
2023-11-09,71
2023-11-10,85
2023-11-11,59
2023-11-12,39
2023-11-13,65
2023-11-14,66
2023-11-15,71
2023-11-16,68
2023-11-17,72
2023-11-18,62
2023-11-19,36
2023-11-20,67
2023-11-21,68
2023-11-22,74
2023-11-23,37
2023-11-24,69
2023-11-25,56
2023-11-26,40
2023-11-27,65
2023-11-28,69
2023-11-29,75
2023-11-30,72
2023-12-01,83
2023-12-02,67
2023-12-03,40
2023-12-04,72
2023-12-05,74
2023-12-06,67
2023-12-07,72
2023-12-08,68
2023-12-09,60
2023-12-10,40
2023-12-11,63
2023-12-12,67
2023-12-13,66
2023-12-14,64
2023-12-15,72
2023-12-16,65
2023-12-17,37
2023-12-18,71
2023-12-19,67
2023-12-20,67
2023-12-21,74
2023-12-22,82
2023-12-23,69
2023-12-24,39
2023-12-25,26
2023-12-26,77
2023-12-27,75
2023-12-28,79
2023-12-29,86
2023-12-30,65
2023-12-31,38
2024-01-01,47
2024-01-02,81
2024-01-03,83
2024-01-04,82
2024-01-05,80
2024-01-06,62
2024-01-07,38
2024-01-08,70
2024-01-09,66
2024-01-10,68
2024-01-11,74
2024-01-12,67
2024-01-13,53
2024-01-14,36
2024-01-15,64
2024-01-16,70
2024-01-17,76
2024-01-18,66
2024-01-19,65
2024-01-20,60
