Time,texas
2022-08-29,49
2022-08-30,49
2022-08-31,50
2022-09-01,51
2022-09-02,51
2022-09-03,59
2022-09-04,58
2022-09-05,46
2022-09-06,49
2022-09-07,49
2022-09-08,45
2022-09-09,48
2022-09-10,95
2022-09-11,50
2022-09-12,50
2022-09-13,46
2022-09-14,46
2022-09-15,45
2022-09-16,48
2022-09-17,56
2022-09-18,61
2022-09-19,49
2022-09-20,49
2022-09-21,46
2022-09-22,47
2022-09-23,49
2022-09-24,65
2022-09-25,53
2022-09-26,49
2022-09-27,47
2022-09-28,44
2022-09-29,45
2022-09-30,48
2022-10-01,59
2022-10-02,50
2022-10-03,47
2022-10-04,48
2022-10-05,48
2022-10-06,49
2022-10-07,51
2022-10-08,74
2022-10-09,60
2022-10-10,49
2022-10-11,49
2022-10-12,46
2022-10-13,48
2022-10-14,49
2022-10-15,56
2022-10-16,42
2022-10-17,48
2022-10-18,47
2022-10-19,47
2022-10-20,45
2022-10-21,48
2022-10-22,60
2022-10-23,54
2022-10-24,51
2022-10-25,48
2022-10-26,46
2022-10-27,48
2022-10-28,47
2022-10-29,51
2022-10-30,50
2022-10-31,47
2022-11-01,49
2022-11-02,47
2022-11-03,50
2022-11-04,54
2022-11-05,63
2022-11-06,56
2022-11-07,51
2022-11-08,64
2022-11-09,100
2022-11-10,47
2022-11-11,50
2022-11-12,50
2022-11-13,64
2022-11-14,45
2022-11-15,43
2022-11-16,42
2022-11-17,45
2022-11-18,43
2022-11-19,53
2022-11-20,42
2022-11-21,39
2022-11-22,40
2022-11-23,40
2022-11-24,34
2022-11-25,44
2022-11-26,43
2022-11-27,49
2022-11-28,40
2022-11-29,41
2022-11-30,42
2022-12-01,45
2022-12-02,44
2022-12-03,47
2022-12-04,40
2022-12-05,44
2022-12-06,43
2022-12-07,41
2022-12-08,43
2022-12-09,43
2022-12-10,41
2022-12-11,39
2022-12-12,42
2022-12-13,47
2022-12-14,45
2022-12-15,42
2022-12-16,45
2022-12-17,45
2022-12-18,42
2022-12-19,44
2022-12-20,43
2022-12-21,42
2022-12-22,44
2022-12-23,45
2022-12-24,39
2022-12-25,34
2022-12-26,43
2022-12-27,47
2022-12-28,49
2022-12-29,54
2022-12-30,54
2022-12-31,46
2023-01-01,42
2023-01-02,44
2023-01-03,43
2023-01-04,46
2023-01-05,45
2023-01-06,45
2023-01-07,45
2023-01-08,42
2023-01-09,43
2023-01-10,47
2023-01-11,48
2023-01-12,46
2023-01-13,45
2023-01-14,44
2023-01-15,39
2023-01-16,42
2023-01-17,43
2023-01-18,45
2023-01-19,44
2023-01-20,44
2023-01-21,45
2023-01-22,39
2023-01-23,44
2023-01-24,46
2023-01-25,45
2023-01-26,45
2023-01-27,44
2023-01-28,43
2023-01-29,39
2023-01-30,47
2023-01-31,48
2023-02-01,48
2023-02-02,49
2023-02-03,46
2023-02-04,45
2023-02-05,42
2023-02-06,44
2023-02-07,46
2023-02-08,43
2023-02-09,42
2023-02-10,45
2023-02-11,45
2023-02-12,41
2023-02-13,40
2023-02-14,47
2023-02-15,45
2023-02-16,47
2023-02-17,46
2023-02-18,49
2023-02-19,43
2023-02-20,44
2023-02-21,47
2023-02-22,49
2023-02-23,47
2023-02-24,46
2023-02-25,47
2023-02-26,44
2023-02-27,47
2023-02-28,46
2023-03-01,49
2023-03-02,49
2023-03-03,48
2023-03-04,49
2023-03-05,46
2023-03-06,46
2023-03-07,46
2023-03-08,47
2023-03-09,48
2023-03-10,47
2023-03-11,49
2023-03-12,52
2023-03-13,45
2023-03-14,50
2023-03-15,50
2023-03-16,52
2023-03-17,51
2023-03-18,47
2023-03-19,50
2023-03-20,48
2023-03-21,48
2023-03-22,48
2023-03-23,50
2023-03-24,50
2023-03-25,56
2023-03-26,60
2023-03-27,52
2023-03-28,50
2023-03-29,49
2023-03-30,49
2023-03-31,50
2023-04-01,51
2023-04-02,50
2023-04-03,50
2023-04-04,49
2023-04-05,48
2023-04-06,48
2023-04-07,47
2023-04-08,46
2023-04-09,42
2023-04-10,47
2023-04-11,49
2023-04-12,48
2023-04-13,50
2023-04-14,51
2023-04-15,49
2023-04-16,45
2023-04-17,48
2023-04-18,49
2023-04-19,48
2023-04-20,49
2023-04-21,50
2023-04-22,48
2023-04-23,46
2023-04-24,48
2023-04-25,46
2023-04-26,48
2023-04-27,46
2023-04-28,46
2023-04-29,51
2023-04-30,49
2023-05-01,51
2023-05-02,48
2023-05-03,51
2023-05-04,46
2023-05-05,47
2023-05-06,49
2023-05-07,87
2023-05-08,64
2023-05-09,57
2023-05-10,51
2023-05-11,48
2023-05-12,48
2023-05-13,50
2023-05-14,49
2023-05-15,47
2023-05-16,48
2023-05-17,47
2023-05-18,46
2023-05-19,48
2023-05-20,44
2023-05-21,43
2023-05-22,46
2023-05-23,46
2023-05-24,47
2023-05-25,48
