Time,olympics
2023-04-26,41
2023-04-27,40
2023-04-28,38
2023-04-29,35
2023-04-30,37
2023-05-01,42
2023-05-02,42
2023-05-03,41
2023-05-04,42
2023-05-05,41
2023-05-06,37
2023-05-07,38
2023-05-08,44
2023-05-09,43
2023-05-10,43
2023-05-11,44
2023-05-12,48
2023-05-13,45
2023-05-14,41
2023-05-15,47
2023-05-16,46
2023-05-17,45
2023-05-18,45
2023-05-19,44
2023-05-20,39
2023-05-21,41
2023-05-22,42
2023-05-23,42
2023-05-24,42
2023-05-25,42
2023-05-26,37
2023-05-27,36
2023-05-28,38
2023-05-29,35
2023-05-30,40
2023-05-31,37
2023-06-01,37
2023-06-02,42
2023-06-03,45
2023-06-04,44
2023-06-05,47
2023-06-06,48
2023-06-07,69
2023-06-08,62
2023-06-09,50
2023-06-10,50
2023-06-11,51
2023-06-12,44
2023-06-13,41
2023-06-14,43
2023-06-15,41
2023-06-16,41
2023-06-17,74
2023-06-18,63
2023-06-19,49
2023-06-20,76
2023-06-21,53
2023-06-22,43
2023-06-23,49
2023-06-24,55
2023-06-25,52
2023-06-26,45
2023-06-27,47
2023-06-28,52
2023-06-29,45
2023-06-30,41
2023-07-01,48
2023-07-02,59
2023-07-03,43
2023-07-04,49
2023-07-05,38
2023-07-06,40
2023-07-07,44
2023-07-08,48
2023-07-09,58
2023-07-10,50
2023-07-11,42
2023-07-12,41
2023-07-13,42
2023-07-14,46
2023-07-15,51
2023-07-16,54
2023-07-17,45
2023-07-18,44
2023-07-19,40
2023-07-20,44
2023-07-21,42
2023-07-22,56
2023-07-23,58
2023-07-24,46
2023-07-25,49
2023-07-26,64
2023-07-27,60
2023-07-28,48
2023-07-29,56
2023-07-30,59
2023-07-31,50
2023-08-01,47
2023-08-02,44
2023-08-03,45
2023-08-04,49
2023-08-05,52
2023-08-06,84
2023-08-07,55
2023-08-08,51
2023-08-09,44
2023-08-10,38
2023-08-11,41
2023-08-12,51
2023-08-13,50
2023-08-14,44
2023-08-15,41
2023-08-16,39
2023-08-17,40
2023-08-18,38
2023-08-19,50
2023-08-20,69
2023-08-21,50
2023-08-22,60
2023-08-23,57
2023-08-24,50
2023-08-25,52
2023-08-26,61
2023-08-27,84
2023-08-28,77
2023-08-29,52
2023-08-30,48
2023-08-31,43
2023-09-01,43
2023-09-02,44
2023-09-03,49
2023-09-04,47
2023-09-05,41
2023-09-06,41
2023-09-07,41
2023-09-08,59
2023-09-09,48
2023-09-10,47
2023-09-11,65
2023-09-12,51
2023-09-13,46
2023-09-14,43
2023-09-15,39
2023-09-16,40
2023-09-17,43
2023-09-18,47
2023-09-19,42
2023-09-20,44
2023-09-21,43
2023-09-22,45
2023-09-23,42
2023-09-24,45
2023-09-25,51
2023-09-26,41
2023-09-27,42
2023-09-28,40
2023-09-29,42
2023-09-30,38
2023-10-01,45
2023-10-02,46
2023-10-03,48
2023-10-04,48
2023-10-05,60
2023-10-06,49
2023-10-07,59
2023-10-08,48
2023-10-09,66
2023-10-10,52
2023-10-11,49
2023-10-12,47
2023-10-13,44
2023-10-14,46
2023-10-15,46
2023-10-16,68
2023-10-17,70
2023-10-18,52
2023-10-19,56
2023-10-20,58
2023-10-21,51
2023-10-22,64
2023-10-23,64
2023-10-24,44
2023-10-25,55
2023-10-26,45
2023-10-27,41
2023-10-28,37
2023-10-29,38
2023-10-30,57
2023-10-31,41
2023-11-01,38
2023-11-02,49
2023-11-03,41
2023-11-04,49
2023-11-05,48
2023-11-06,45
2023-11-07,41
2023-11-08,40
2023-11-09,40
2023-11-10,35
2023-11-11,37
2023-11-12,40
2023-11-13,48
2023-11-14,46
2023-11-15,41
2023-11-16,40
2023-11-17,42
2023-11-18,53
2023-11-19,44
2023-11-20,47
2023-11-21,37
2023-11-22,34
2023-11-23,60
2023-11-24,48
2023-11-25,39
2023-11-26,43
2023-11-27,40
2023-11-28,41
2023-11-29,52
2023-11-30,54
2023-12-01,44
2023-12-02,44
2023-12-03,42
2023-12-04,59
2023-12-05,45
2023-12-06,46
2023-12-07,46
2023-12-08,46
2023-12-09,45
2023-12-10,47
2023-12-11,58
2023-12-12,48
2023-12-13,48
2023-12-14,44
2023-12-15,42
2023-12-16,37
2023-12-17,41
2023-12-18,49
2023-12-19,41
2023-12-20,43
2023-12-21,45
2023-12-22,43
2023-12-23,51
2023-12-24,55
2023-12-25,48
2023-12-26,50
2023-12-27,51
2023-12-28,48
2023-12-29,50
2023-12-30,55
2023-12-31,56
2024-01-01,100
2024-01-02,61
2024-01-03,67
2024-01-04,59
2024-01-05,58
2024-01-06,59
2024-01-07,61
2024-01-08,79
2024-01-09,55
2024-01-10,58
2024-01-11,57
2024-01-12,54
2024-01-13,84
2024-01-14,87
2024-01-15,80
2024-01-16,52
2024-01-17,69
2024-01-18,60
2024-01-19,65
2024-01-20,68
