Time,olympics
2022-08-29,45
2022-08-30,50
2022-08-31,47
2022-09-01,49
2022-09-02,46
2022-09-03,48
2022-09-04,53
2022-09-05,50
2022-09-06,56
2022-09-07,53
2022-09-08,53
2022-09-09,64
2022-09-10,55
2022-09-11,55
2022-09-12,49
2022-09-13,48
2022-09-14,47
2022-09-15,49
2022-09-16,49
2022-09-17,43
2022-09-18,48
2022-09-19,46
2022-09-20,47
2022-09-21,48
2022-09-22,45
2022-09-23,47
2022-09-24,47
2022-09-25,51
2022-09-26,45
2022-09-27,47
2022-09-28,46
2022-09-29,46
2022-09-30,44
2022-10-01,41
2022-10-02,43
2022-10-03,42
2022-10-04,48
2022-10-05,62
2022-10-06,57
2022-10-07,53
2022-10-08,67
2022-10-09,75
2022-10-10,71
2022-10-11,63
2022-10-12,59
2022-10-13,57
2022-10-14,53
2022-10-15,50
2022-10-16,59
2022-10-17,50
2022-10-18,49
2022-10-19,48
2022-10-20,48
2022-10-21,44
2022-10-22,48
2022-10-23,50
2022-10-24,50
2022-10-25,45
2022-10-26,55
2022-10-27,50
2022-10-28,45
2022-10-29,45
2022-10-30,46
2022-10-31,44
2022-11-01,49
2022-11-02,48
2022-11-03,52
2022-11-04,49
2022-11-05,48
2022-11-06,45
2022-11-07,48
2022-11-08,41
2022-11-09,42
2022-11-10,43
2022-11-11,43
2022-11-12,48
2022-11-13,51
2022-11-14,50
2022-11-15,55
2022-11-16,54
2022-11-17,56
2022-11-18,55
2022-11-19,54
2022-11-20,68
2022-11-21,76
2022-11-22,69
2022-11-23,61
2022-11-24,76
2022-11-25,80
2022-11-26,70
2022-11-27,80
2022-11-28,63
2022-11-29,79
2022-11-30,100
2022-12-01,78
2022-12-02,67
2022-12-03,84
2022-12-04,69
2022-12-05,67
2022-12-06,63
2022-12-07,58
2022-12-08,57
2022-12-09,64
2022-12-10,71
2022-12-11,61
2022-12-12,57
2022-12-13,59
2022-12-14,58
2022-12-15,57
2022-12-16,53
2022-12-17,53
2022-12-18,95
2022-12-19,69
2022-12-20,54
2022-12-21,49
2022-12-22,45
2022-12-23,48
2022-12-24,50
2022-12-25,52
2022-12-26,53
2022-12-27,48
2022-12-28,49
2022-12-29,52
2022-12-30,50
2022-12-31,49
2023-01-01,54
2023-01-02,48
2023-01-03,44
2023-01-04,51
2023-01-05,51
2023-01-06,48
2023-01-07,48
2023-01-08,48
2023-01-09,55
2023-01-10,50
2023-01-11,53
2023-01-12,51
2023-01-13,52
2023-01-14,50
2023-01-15,58
2023-01-16,55
2023-01-17,54
2023-01-18,54
2023-01-19,62
2023-01-20,55
2023-01-21,62
2023-01-22,57
2023-01-23,58
2023-01-24,58
2023-01-25,56
2023-01-26,72
2023-01-27,67
2023-01-28,84
2023-01-29,75
2023-01-30,60
2023-01-31,57
2023-02-01,59
2023-02-02,59
2023-02-03,62
2023-02-04,64
2023-02-05,65
2023-02-06,62
2023-02-07,59
2023-02-08,63
2023-02-09,67
2023-02-10,61
2023-02-11,61
2023-02-12,60
2023-02-13,63
2023-02-14,55
2023-02-15,61
2023-02-16,59
2023-02-17,59
2023-02-18,64
2023-02-19,62
2023-02-20,59
2023-02-21,62
2023-02-22,64
2023-02-23,62
2023-02-24,72
2023-02-25,65
2023-02-26,67
2023-02-27,69
2023-02-28,64
2023-03-01,65
2023-03-02,73
2023-03-03,68
2023-03-04,59
2023-03-05,60
2023-03-06,64
2023-03-07,59
2023-03-08,59
2023-03-09,60
2023-03-10,57
2023-03-11,56
2023-03-12,62
2023-03-13,57
2023-03-14,55
2023-03-15,58
2023-03-16,60
2023-03-17,53
2023-03-18,52
2023-03-19,65
2023-03-20,64
2023-03-21,63
2023-03-22,66
2023-03-23,66
2023-03-24,59
2023-03-25,53
2023-03-26,60
2023-03-27,52
2023-03-28,58
2023-03-29,55
2023-03-30,55
2023-03-31,51
2023-04-01,50
2023-04-02,61
2023-04-03,54
2023-04-04,54
2023-04-05,52
2023-04-06,55
2023-04-07,46
2023-04-08,73
2023-04-09,62
2023-04-10,49
2023-04-11,55
2023-04-12,55
2023-04-13,56
2023-04-14,59
2023-04-15,52
2023-04-16,52
2023-04-17,56
2023-04-18,57
2023-04-19,57
2023-04-20,59
2023-04-21,57
2023-04-22,50
2023-04-23,54
2023-04-24,56
2023-04-25,57
2023-04-26,56
2023-04-27,55
2023-04-28,51
2023-04-29,47
2023-04-30,51
2023-05-01,57
2023-05-02,58
2023-05-03,56
2023-05-04,57
2023-05-05,56
2023-05-06,50
2023-05-07,51
2023-05-08,60
2023-05-09,58
2023-05-10,59
2023-05-11,60
2023-05-12,65
2023-05-13,62
2023-05-14,56
2023-05-15,64
2023-05-16,62
2023-05-17,61
2023-05-18,62
2023-05-19,60
2023-05-20,52
2023-05-21,55
2023-05-22,58
2023-05-23,57
2023-05-24,58
2023-05-25,57
