Time,the_weather_channel
2022-01-01,20.0
2022-01-02,23.0
2022-01-03,25.0
2022-01-04,20.0
2022-01-05,22.0
2022-01-06,24.0
2022-01-07,19.0
2022-01-08,13.0
2022-01-09,16.0
2022-01-10,14.0
2022-01-11,16.0
2022-01-12,20.0
2022-01-13,24.0
2022-01-14,27.0
2022-01-15,35.0
2022-01-16,38.0
2022-01-17,23.0
2022-01-18,17.0
2022-01-19,25.0
2022-01-20,28.0
2022-01-21,21.0
2022-01-22,15.0
2022-01-23,14.0
2022-01-24,20.0
2022-01-25,17.0
2022-01-26,22.0
2022-01-27,25.0
2022-01-28,35.0
2022-01-29,31.0
2022-01-30,20.0
2022-01-31,29.0
2022-02-01,34.0
2022-02-02,47.0
2022-02-03,44.0
2022-02-04,26.0
2022-02-05,13.0
2022-02-06,11.0
2022-02-07,14.0
2022-02-08,10.0
2022-02-09,11.0
2022-02-10,11.0
2022-02-11,12.0
2022-02-12,13.0
2022-02-13,14.0
2022-02-14,12.0
2022-02-15,13.0
2022-02-16,18.0
2022-02-17,25.0
2022-02-18,14.0
2022-02-19,12.0
2022-02-20,12.0
2022-02-21,18.0
2022-02-22,23.0
2022-02-23,25.0
2022-02-24,21.0
2022-02-25,15.0
2022-02-26,9.0
2022-02-27,9.0
2022-02-28,11.0
2022-03-01,9.0
2022-03-02,9.0
2022-03-03,11.0
2022-03-04,11.0
2022-03-05,11.0
2022-03-06,14.0
2022-03-07,18.0
2022-03-08,16.0
2022-03-09,18.0
2022-03-10,17.0
2022-03-11,23.0
2022-03-12,18.0
2022-03-13,10.0
2022-03-14,11.0
2022-03-15,13.0
2022-03-16,13.0
2022-03-17,13.0
2022-03-18,16.0
2022-03-19,12.0
2022-03-20,11.0
2022-03-21,20.0
2022-03-22,24.0
2022-03-23,20.0
2022-03-24,13.0
2022-03-25,11.0
2022-03-26,10.0
2022-03-27,11.0
2022-03-28,15.0
2022-03-29,15.0
2022-03-30,25.0
2022-03-31,23.0
2022-04-01,13.0
2022-04-02,11.0
2022-04-03,10.0
2022-04-04,16.0
2022-04-05,23.0
2022-04-06,20.0
2022-04-07,18.0
2022-04-08,15.0
2022-04-09,12.0
