Time,facebook login
2022-08-29,95
2022-08-30,93
2022-08-31,90
2022-09-01,96
2022-09-02,89
2022-09-03,88
2022-09-04,94
2022-09-05,95
2022-09-06,90
2022-09-07,90
2022-09-08,86
2022-09-09,89
2022-09-10,93
2022-09-11,87
2022-09-12,86
2022-09-13,94
2022-09-14,93
2022-09-15,93
2022-09-16,93
2022-09-17,94
2022-09-18,92
2022-09-19,90
2022-09-20,90
2022-09-21,88
2022-09-22,89
2022-09-23,87
2022-09-24,91
2022-09-25,95
2022-09-26,88
2022-09-27,88
2022-09-28,92
2022-09-29,89
2022-09-30,91
2022-10-01,90
2022-10-02,89
2022-10-03,89
2022-10-04,90
2022-10-05,91
2022-10-06,91
2022-10-07,94
2022-10-08,96
2022-10-09,96
2022-10-10,93
2022-10-11,90
2022-10-12,96
2022-10-13,94
2022-10-14,89
2022-10-15,94
2022-10-16,94
2022-10-17,92
2022-10-18,95
2022-10-19,93
2022-10-20,91
2022-10-21,93
2022-10-22,92
2022-10-23,95
2022-10-24,93
2022-10-25,100
2022-10-26,96
2022-10-27,91
2022-10-28,87
2022-10-29,91
2022-10-30,94
2022-10-31,96
2022-11-01,98
2022-11-02,93
2022-11-03,90
2022-11-04,89
2022-11-05,91
2022-11-06,90
2022-11-07,90
2022-11-08,85
2022-11-09,82
2022-11-10,85
2022-11-11,93
2022-11-12,93
2022-11-13,92
2022-11-14,86
2022-11-15,91
2022-11-16,92
2022-11-17,88
2022-11-18,90
2022-11-19,93
2022-11-20,91
2022-11-21,89
2022-11-22,93
2022-11-23,89
2022-11-24,85
2022-11-25,90
2022-11-26,86
2022-11-27,90
2022-11-28,81
2022-11-29,83
2022-11-30,86
2022-12-01,84
2022-12-02,87
2022-12-03,87
2022-12-04,87
2022-12-05,86
2022-12-06,86
2022-12-07,85
2022-12-08,85
2022-12-09,85
2022-12-10,81
2022-12-11,88
2022-12-12,81
2022-12-13,82
2022-12-14,82
2022-12-15,81
2022-12-16,84
2022-12-17,79
2022-12-18,82
2022-12-19,84
2022-12-20,88
2022-12-21,86
2022-12-22,82
2022-12-23,85
2022-12-24,85
2022-12-25,98
2022-12-26,94
2022-12-27,95
2022-12-28,87
2022-12-29,85
2022-12-30,85
2022-12-31,87
2023-01-01,91
2023-01-02,86
2023-01-03,82
2023-01-04,84
2023-01-05,82
2023-01-06,83
2023-01-07,84
2023-01-08,79
2023-01-09,77
2023-01-10,81
2023-01-11,82
2023-01-12,80
2023-01-13,75
2023-01-14,81
2023-01-15,78
2023-01-16,85
2023-01-17,79
2023-01-18,79
2023-01-19,78
2023-01-20,78
2023-01-21,78
2023-01-22,79
2023-01-23,77
2023-01-24,79
2023-01-25,82
2023-01-26,80
2023-01-27,81
2023-01-28,83
2023-01-29,80
2023-01-30,77
2023-01-31,78
2023-02-01,83
2023-02-02,78
2023-02-03,81
2023-02-04,78
2023-02-05,84
2023-02-06,77
2023-02-07,79
2023-02-08,75
2023-02-09,76
2023-02-10,84
2023-02-11,84
2023-02-12,79
2023-02-13,76
2023-02-14,79
2023-02-15,87
2023-02-16,80
2023-02-17,84
2023-02-18,77
2023-02-19,80
2023-02-20,77
2023-02-21,75
2023-02-22,77
2023-02-23,77
2023-02-24,77
2023-02-25,82
2023-02-26,80
2023-02-27,78
2023-02-28,77
2023-03-01,76
2023-03-02,72
2023-03-03,75
2023-03-04,78
2023-03-05,77
2023-03-06,74
2023-03-07,78
2023-03-08,77
2023-03-09,77
2023-03-10,80
2023-03-11,80
2023-03-12,79
2023-03-13,76
2023-03-14,75
2023-03-15,77
2023-03-16,77
2023-03-17,78
2023-03-18,74
2023-03-19,83
2023-03-20,77
2023-03-21,75
2023-03-22,75
2023-03-23,79
2023-03-24,74
2023-03-25,75
2023-03-26,81
2023-03-27,76
2023-03-28,78
2023-03-29,76
2023-03-30,81
2023-03-31,77
2023-04-01,81
2023-04-02,80
2023-04-03,76
2023-04-04,73
2023-04-05,76
2023-04-06,82
2023-04-07,78
2023-04-08,80
2023-04-09,76
2023-04-10,82
2023-04-11,78
2023-04-12,77
2023-04-13,77
2023-04-14,78
2023-04-15,76
2023-04-16,80
2023-04-17,75
2023-04-18,75
2023-04-19,83
2023-04-20,77
2023-04-21,73
2023-04-22,74
2023-04-23,78
2023-04-24,74
2023-04-25,78
2023-04-26,72
2023-04-27,74
2023-04-28,71
2023-04-29,76
2023-04-30,78
2023-05-01,74
2023-05-02,76
2023-05-03,72
2023-05-04,74
2023-05-05,72
2023-05-06,74
2023-05-07,74
2023-05-08,77
2023-05-09,79
2023-05-10,76
2023-05-11,79
2023-05-12,78
2023-05-13,78
2023-05-14,88
2023-05-15,84
2023-05-16,77
2023-05-17,73
2023-05-18,77
2023-05-19,74
2023-05-20,81
2023-05-21,88
2023-05-22,77
2023-05-23,77
2023-05-24,76
2023-05-25,78
