step,file,overlap_days,valid_ratio_days,overlap_corr,median_ratio_new_over_base,scale_new_to_base,ratio_cv,method
0,gt_liv_golf_2022-01-01_2022-09-27.csv,,,,,1.0,,base_chunk
1,gt_liv_golf_2022-08-29_2023-05-25.csv,30.0,30.0,0.9989721741302049,3.5941176470588236,0.27823240589198034,0.12348726586437492,overlap_ratio
2,gt_liv_golf_2023-04-26_2024-01-20.csv,30.0,30.0,0.9990313343942642,2.695588235294118,0.3709765411893071,0.06091505428507119,overlap_ratio
3,gt_liv_golf_2023-12-22_2024-09-16.csv,30.0,30.0,0.6597682302498807,5.391176470588236,0.18548827059465356,0.22510568371473755,overlap_ratio
4,gt_liv_golf_2024-08-18_2025-05-14.csv,30.0,30.0,0.999381541431045,8.086764705882354,0.12365884706310237,0.07291610402564869,overlap_ratio
5,gt_liv_golf_2025-04-15_2026-01-09.csv,30.0,30.0,0.9989489947929855,8.086764705882354,0.12365884706310237,0.0535183590596786,overlap_ratio
6,gt_liv_golf_2025-12-11_2026-05-31.csv,30.0,30.0,0.9780281320233208,4.852058823529412,0.20609807843850395,0.12490059947559656,overlap_ratio
