Time,pinterest
2023-04-26,88
2023-04-27,87
2023-04-28,87
2023-04-29,81
2023-04-30,90
2023-05-01,100
2023-05-02,92
2023-05-03,90
2023-05-04,93
2023-05-05,83
2023-05-06,70
2023-05-07,76
2023-05-08,93
2023-05-09,89
2023-05-10,89
2023-05-11,84
2023-05-12,89
2023-05-13,74
2023-05-14,70
2023-05-15,89
2023-05-16,91
2023-05-17,86
2023-05-18,91
2023-05-19,83
2023-05-20,70
2023-05-21,70
2023-05-22,87
2023-05-23,88
2023-05-24,86
2023-05-25,89
2023-05-26,80
2023-05-27,73
2023-05-28,73
2023-05-29,74
2023-05-30,89
2023-05-31,86
2023-06-01,87
2023-06-02,80
2023-06-03,79
2023-06-04,80
2023-06-05,92
2023-06-06,92
2023-06-07,89
2023-06-08,81
2023-06-09,79
2023-06-10,77
2023-06-11,76
2023-06-12,88
2023-06-13,96
2023-06-14,90
2023-06-15,87
2023-06-16,79
2023-06-17,68
2023-06-18,76
2023-06-19,85
2023-06-20,87
2023-06-21,86
2023-06-22,83
2023-06-23,85
2023-06-24,70
2023-06-25,76
2023-06-26,87
2023-06-27,87
2023-06-28,84
2023-06-29,83
2023-06-30,75
2023-07-01,74
2023-07-02,73
2023-07-03,82
2023-07-04,75
2023-07-05,76
2023-07-06,86
2023-07-07,86
2023-07-08,78
2023-07-09,71
2023-07-10,78
2023-07-11,80
2023-07-12,79
2023-07-13,77
2023-07-14,79
2023-07-15,70
2023-07-16,72
2023-07-17,80
2023-07-18,76
2023-07-19,78
2023-07-20,78
2023-07-21,65
2023-07-22,65
2023-07-23,70
2023-07-24,73
2023-07-25,84
2023-07-26,75
2023-07-27,78
2023-07-28,65
2023-07-29,67
2023-07-30,66
2023-07-31,75
2023-08-01,77
2023-08-02,78
2023-08-03,77
2023-08-04,77
2023-08-05,71
2023-08-06,70
2023-08-07,78
2023-08-08,85
2023-08-09,84
2023-08-10,82
2023-08-11,81
2023-08-12,70
2023-08-13,72
2023-08-14,85
2023-08-15,79
2023-08-16,83
2023-08-17,86
2023-08-18,87
2023-08-19,70
2023-08-20,74
2023-08-21,86
2023-08-22,91
2023-08-23,87
2023-08-24,88
2023-08-25,86
2023-08-26,78
2023-08-27,80
2023-08-28,86
2023-08-29,84
2023-08-30,86
2023-08-31,85
2023-09-01,81
2023-09-02,68
2023-09-03,75
2023-09-04,83
2023-09-05,92
2023-09-06,91
2023-09-07,87
2023-09-08,89
2023-09-09,72
2023-09-10,82
2023-09-11,93
2023-09-12,93
2023-09-13,90
2023-09-14,89
2023-09-15,84
2023-09-16,75
2023-09-17,74
2023-09-18,91
2023-09-19,93
2023-09-20,88
2023-09-21,90
2023-09-22,86
2023-09-23,76
2023-09-24,80
2023-09-25,91
2023-09-26,91
2023-09-27,86
2023-09-28,90
2023-09-29,83
2023-09-30,68
2023-10-01,70
2023-10-02,90
2023-10-03,92
2023-10-04,91
2023-10-05,91
2023-10-06,88
2023-10-07,72
2023-10-08,74
2023-10-09,85
2023-10-10,87
2023-10-11,91
2023-10-12,89
2023-10-13,84
2023-10-14,73
2023-10-15,78
2023-10-16,86
2023-10-17,97
2023-10-18,91
2023-10-19,88
2023-10-20,84
2023-10-21,73
2023-10-22,79
2023-10-23,94
2023-10-24,98
2023-10-25,91
2023-10-26,87
2023-10-27,87
2023-10-28,74
2023-10-29,71
2023-10-30,87
2023-10-31,89
2023-11-01,83
2023-11-02,86
2023-11-03,83
2023-11-04,72
2023-11-05,76
2023-11-06,90
2023-11-07,91
2023-11-08,90
2023-11-09,83
2023-11-10,83
2023-11-11,73
2023-11-12,77
2023-11-13,92
2023-11-14,94
2023-11-15,92
2023-11-16,88
2023-11-17,86
2023-11-18,75
2023-11-19,77
2023-11-20,88
2023-11-21,89
2023-11-22,86
2023-11-23,72
2023-11-24,65
2023-11-25,69
2023-11-26,71
2023-11-27,86
2023-11-28,90
2023-11-29,86
2023-11-30,84
2023-12-01,84
2023-12-02,74
2023-12-03,73
2023-12-04,89
2023-12-05,91
2023-12-06,90
2023-12-07,89
2023-12-08,89
2023-12-09,84
2023-12-10,88
2023-12-11,91
2023-12-12,89
2023-12-13,95
2023-12-14,83
2023-12-15,83
2023-12-16,71
2023-12-17,70
2023-12-18,81
2023-12-19,88
2023-12-20,85
2023-12-21,81
2023-12-22,70
2023-12-23,70
2023-12-24,70
2023-12-25,69
2023-12-26,73
2023-12-27,83
2023-12-28,83
2023-12-29,78
2023-12-30,70
2023-12-31,77
2024-01-01,73
2024-01-02,89
2024-01-03,91
2024-01-04,86
2024-01-05,84
2024-01-06,79
2024-01-07,78
2024-01-08,86
2024-01-09,93
2024-01-10,93
2024-01-11,91
2024-01-12,87
2024-01-13,76
2024-01-14,76
2024-01-15,80
2024-01-16,86
2024-01-17,96
2024-01-18,85
2024-01-19,87
2024-01-20,80
