Time,meatloaf singer
2023-04-26,40
2023-04-27,23
2023-04-28,50
2023-04-29,27
2023-04-30,32
2023-05-01,25
2023-05-02,20
2023-05-03,19
2023-05-04,29
2023-05-05,28
2023-05-06,39
2023-05-07,23
2023-05-08,25
2023-05-09,0
2023-05-10,0
2023-05-11,37
2023-05-12,0
2023-05-13,35
2023-05-14,30
2023-05-15,0
2023-05-16,29
2023-05-17,24
2023-05-18,19
2023-05-19,0
2023-05-20,0
2023-05-21,25
2023-05-22,29
2023-05-23,35
2023-05-24,30
2023-05-25,21
2023-05-26,35
2023-05-27,28
2023-05-28,47
2023-05-29,26
2023-05-30,20
2023-05-31,0
2023-06-01,19
2023-06-02,29
2023-06-03,52
2023-06-04,34
2023-06-05,0
2023-06-06,37
2023-06-07,24
2023-06-08,19
2023-06-09,28
2023-06-10,38
2023-06-11,0
2023-06-12,0
2023-06-13,21
2023-06-14,32
2023-06-15,0
2023-06-16,0
2023-06-17,37
2023-06-18,38
2023-06-19,26
2023-06-20,31
2023-06-21,20
2023-06-22,0
2023-06-23,0
2023-06-24,0
2023-06-25,40
2023-06-26,31
2023-06-27,0
2023-06-28,20
2023-06-29,0
2023-06-30,23
2023-07-01,32
2023-07-02,44
2023-07-03,0
2023-07-04,44
2023-07-05,25
2023-07-06,24
2023-07-07,0
2023-07-08,29
2023-07-09,38
2023-07-10,0
2023-07-11,25
2023-07-12,0
2023-07-13,29
2023-07-14,27
2023-07-15,41
2023-07-16,41
2023-07-17,33
2023-07-18,29
2023-07-19,42
2023-07-20,43
2023-07-21,22
2023-07-22,64
2023-07-23,38
2023-07-24,43
2023-07-25,22
2023-07-26,30
2023-07-27,41
2023-07-28,49
2023-07-29,51
2023-07-30,35
2023-07-31,55
2023-08-01,44
2023-08-02,39
2023-08-03,31
2023-08-04,28
2023-08-05,42
2023-08-06,43
2023-08-07,28
2023-08-08,45
2023-08-09,27
2023-08-10,24
2023-08-11,24
2023-08-12,29
2023-08-13,70
2023-08-14,65
2023-08-15,41
2023-08-16,29
2023-08-17,37
2023-08-18,40
2023-08-19,74
2023-08-20,54
2023-08-21,49
2023-08-22,60
2023-08-23,35
2023-08-24,31
2023-08-25,52
2023-08-26,76
2023-08-27,53
2023-08-28,46
2023-08-29,32
2023-08-30,54
2023-08-31,38
2023-09-01,31
2023-09-02,57
2023-09-03,73
2023-09-04,70
2023-09-05,39
2023-09-06,0
2023-09-07,47
2023-09-08,40
2023-09-09,40
2023-09-10,42
2023-09-11,31
2023-09-12,48
2023-09-13,19
2023-09-14,44
2023-09-15,42
2023-09-16,48
2023-09-17,54
2023-09-18,50
2023-09-19,40
2023-09-20,26
2023-09-21,20
2023-09-22,34
2023-09-23,55
2023-09-24,54
2023-09-25,34
2023-09-26,25
2023-09-27,67
2023-09-28,73
2023-09-29,86
2023-09-30,60
2023-10-01,91
2023-10-02,34
2023-10-03,38
2023-10-04,53
2023-10-05,45
2023-10-06,52
2023-10-07,59
2023-10-08,34
2023-10-09,39
2023-10-10,33
2023-10-11,35
2023-10-12,47
2023-10-13,59
2023-10-14,64
2023-10-15,77
2023-10-16,50
2023-10-17,41
2023-10-18,63
2023-10-19,26
2023-10-20,46
2023-10-21,69
2023-10-22,54
2023-10-23,77
2023-10-24,52
2023-10-25,0
2023-10-26,42
2023-10-27,49
2023-10-28,75
2023-10-29,57
2023-10-30,45
2023-10-31,50
2023-11-01,49
2023-11-02,48
2023-11-03,45
2023-11-04,61
2023-11-05,60
2023-11-06,34
2023-11-07,46
2023-11-08,26
2023-11-09,44
2023-11-10,34
2023-11-11,55
2023-11-12,33
2023-11-13,34
2023-11-14,33
2023-11-15,59
2023-11-16,50
2023-11-17,21
2023-11-18,60
2023-11-19,47
2023-11-20,32
2023-11-21,23
2023-11-22,54
2023-11-23,63
2023-11-24,41
2023-11-25,32
2023-11-26,42
2023-11-27,33
2023-11-28,25
2023-11-29,26
2023-11-30,35
2023-12-01,42
2023-12-02,45
2023-12-03,55
2023-12-04,30
2023-12-05,36
2023-12-06,26
2023-12-07,38
2023-12-08,34
2023-12-09,45
2023-12-10,52
2023-12-11,22
2023-12-12,40
2023-12-13,25
2023-12-14,23
2023-12-15,36
2023-12-16,45
2023-12-17,47
2023-12-18,0
2023-12-19,37
2023-12-20,40
2023-12-21,44
2023-12-22,34
2023-12-23,63
2023-12-24,50
2023-12-25,0
2023-12-26,0
2023-12-27,36
2023-12-28,34
2023-12-29,35
2023-12-30,47
2023-12-31,49
2024-01-01,100
2024-01-02,34
2024-01-03,61
2024-01-04,46
2024-01-05,33
2024-01-06,45
2024-01-07,54
2024-01-08,29
2024-01-09,28
2024-01-10,32
2024-01-11,32
2024-01-12,45
2024-01-13,42
2024-01-14,37
2024-01-15,31
2024-01-16,27
2024-01-17,23
2024-01-18,37
2024-01-19,29
2024-01-20,57
