Time,silicon valley bank
2023-12-22,62
2023-12-23,0
2023-12-24,0
2023-12-25,0
2023-12-26,68
2023-12-27,40
2023-12-28,73
2023-12-29,36
2023-12-30,0
2023-12-31,35
2024-01-01,0
2024-01-02,58
2024-01-03,60
2024-01-04,63
2024-01-05,63
2024-01-06,35
2024-01-07,42
2024-01-08,67
2024-01-09,44
2024-01-10,43
2024-01-11,0
2024-01-12,61
2024-01-13,43
2024-01-14,0
2024-01-15,34
2024-01-16,45
2024-01-17,51
2024-01-18,56
2024-01-19,49
2024-01-20,43
2024-01-21,0
2024-01-22,46
2024-01-23,74
2024-01-24,68
2024-01-25,82
2024-01-26,74
2024-01-27,0
2024-01-28,37
2024-01-29,47
2024-01-30,74
2024-01-31,40
2024-02-01,76
2024-02-02,50
2024-02-03,0
2024-02-04,0
2024-02-05,61
2024-02-06,60
2024-02-07,81
2024-02-08,60
2024-02-09,43
2024-02-10,0
2024-02-11,0
2024-02-12,77
2024-02-13,59
2024-02-14,34
2024-02-15,30
2024-02-16,74
2024-02-17,0
2024-02-18,0
2024-02-19,43
2024-02-20,54
2024-02-21,56
2024-02-22,34
2024-02-23,0
2024-02-24,0
2024-02-25,37
2024-02-26,47
2024-02-27,48
2024-02-28,64
2024-02-29,43
2024-03-01,62
2024-03-02,0
2024-03-03,0
2024-03-04,94
2024-03-05,48
2024-03-06,70
2024-03-07,90
2024-03-08,58
2024-03-09,0
2024-03-10,0
2024-03-11,71
2024-03-12,100
2024-03-13,75
2024-03-14,72
2024-03-15,51
2024-03-16,0
2024-03-17,0
2024-03-18,46
2024-03-19,73
2024-03-20,52
2024-03-21,39
2024-03-22,51
2024-03-23,0
2024-03-24,55
2024-03-25,70
2024-03-26,35
2024-03-27,48
2024-03-28,50
2024-03-29,44
2024-03-30,0
2024-03-31,0
2024-04-01,58
2024-04-02,63
2024-04-03,58
2024-04-04,53
2024-04-05,60
2024-04-06,0
2024-04-07,0
2024-04-08,40
2024-04-09,57
2024-04-10,35
2024-04-11,60
2024-04-12,50
2024-04-13,0
2024-04-14,0
2024-04-15,63
2024-04-16,49
2024-04-17,64
2024-04-18,36
2024-04-19,48
2024-04-20,0
2024-04-21,0
2024-04-22,54
2024-04-23,56
2024-04-24,67
2024-04-25,41
2024-04-26,38
2024-04-27,37
2024-04-28,0
2024-04-29,59
2024-04-30,75
2024-05-01,50
2024-05-02,52
2024-05-03,49
2024-05-04,0
2024-05-05,0
2024-05-06,54
2024-05-07,49
2024-05-08,34
2024-05-09,0
2024-05-10,38
2024-05-11,0
2024-05-12,0
2024-05-13,54
2024-05-14,36
2024-05-15,60
2024-05-16,44
2024-05-17,0
2024-05-18,0
2024-05-19,0
2024-05-20,0
2024-05-21,51
2024-05-22,32
2024-05-23,42
2024-05-24,31
2024-05-25,0
2024-05-26,0
2024-05-27,0
2024-05-28,0
2024-05-29,34
2024-05-30,61
2024-05-31,40
2024-06-01,0
2024-06-02,0
2024-06-03,62
2024-06-04,57
2024-06-05,0
2024-06-06,0
2024-06-07,38
2024-06-08,0
2024-06-09,0
2024-06-10,50
2024-06-11,62
2024-06-12,44
2024-06-13,95
2024-06-14,0
2024-06-15,0
2024-06-16,0
2024-06-17,32
2024-06-18,47
2024-06-19,37
2024-06-20,37
2024-06-21,0
2024-06-22,0
2024-06-23,0
2024-06-24,49
2024-06-25,50
2024-06-26,49
2024-06-27,36
2024-06-28,43
2024-06-29,0
2024-06-30,0
2024-07-01,57
2024-07-02,43
2024-07-03,42
2024-07-04,0
2024-07-05,0
2024-07-06,0
2024-07-07,0
2024-07-08,36
2024-07-09,0
2024-07-10,57
2024-07-11,61
2024-07-12,0
2024-07-13,0
2024-07-14,0
2024-07-15,34
2024-07-16,44
2024-07-17,47
2024-07-18,35
2024-07-19,51
2024-07-20,0
2024-07-21,0
2024-07-22,0
2024-07-23,40
2024-07-24,53
2024-07-25,61
2024-07-26,34
2024-07-27,0
2024-07-28,0
2024-07-29,41
2024-07-30,48
2024-07-31,49
2024-08-01,0
2024-08-02,0
2024-08-03,0
2024-08-04,0
2024-08-05,55
2024-08-06,40
2024-08-07,63
2024-08-08,41
2024-08-09,0
2024-08-10,0
2024-08-11,0
2024-08-12,56
2024-08-13,32
2024-08-14,57
2024-08-15,35
2024-08-16,35
2024-08-17,39
2024-08-18,0
2024-08-19,50
2024-08-20,31
2024-08-21,31
2024-08-22,33
2024-08-23,0
2024-08-24,0
2024-08-25,35
2024-08-26,45
2024-08-27,0
2024-08-28,55
2024-08-29,43
2024-08-30,36
2024-08-31,0
2024-09-01,0
2024-09-02,0
2024-09-03,58
2024-09-04,57
2024-09-05,33
2024-09-06,33
2024-09-07,0
2024-09-08,0
2024-09-09,38
2024-09-10,51
2024-09-11,0
2024-09-12,47
2024-09-13,33
2024-09-14,0
2024-09-15,0
2024-09-16,76
