Time,scream 6
2023-04-26,82
2023-04-27,68
2023-04-28,62
2023-04-29,98
2023-04-30,100
2023-05-01,53
2023-05-02,37
2023-05-03,30
2023-05-04,25
2023-05-05,28
2023-05-06,40
2023-05-07,51
2023-05-08,32
2023-05-09,20
2023-05-10,20
2023-05-11,16
2023-05-12,16
2023-05-13,28
2023-05-14,35
2023-05-15,21
2023-05-16,14
2023-05-17,13
2023-05-18,13
2023-05-19,15
2023-05-20,23
2023-05-21,28
2023-05-22,14
2023-05-23,12
2023-05-24,11
2023-05-25,12
2023-05-26,12
2023-05-27,18
2023-05-28,19
2023-05-29,19
2023-05-30,12
2023-05-31,10
2023-06-01,9
2023-06-02,10
2023-06-03,15
2023-06-04,17
2023-06-05,11
2023-06-06,10
2023-06-07,9
2023-06-08,9
2023-06-09,9
2023-06-10,10
2023-06-11,13
2023-06-12,11
2023-06-13,8
2023-06-14,8
2023-06-15,7
2023-06-16,9
2023-06-17,9
2023-06-18,11
2023-06-19,9
2023-06-20,7
2023-06-21,8
2023-06-22,7
2023-06-23,8
2023-06-24,10
2023-06-25,11
2023-06-26,7
2023-06-27,7
2023-06-28,6
2023-06-29,7
2023-06-30,7
2023-07-01,9
2023-07-02,9
2023-07-03,8
2023-07-04,9
2023-07-05,6
2023-07-06,7
2023-07-07,7
2023-07-08,9
2023-07-09,10
2023-07-10,8
2023-07-11,8
2023-07-12,7
2023-07-13,7
2023-07-14,7
2023-07-15,9
2023-07-16,9
2023-07-17,7
2023-07-18,6
2023-07-19,6
2023-07-20,5
2023-07-21,6
2023-07-22,7
2023-07-23,9
2023-07-24,7
2023-07-25,6
2023-07-26,5
2023-07-27,5
2023-07-28,5
2023-07-29,7
2023-07-30,8
2023-07-31,6
2023-08-01,7
2023-08-02,6
2023-08-03,7
2023-08-04,9
2023-08-05,8
2023-08-06,9
2023-08-07,7
2023-08-08,6
2023-08-09,6
2023-08-10,5
2023-08-11,6
2023-08-12,7
2023-08-13,9
2023-08-14,6
2023-08-15,6
2023-08-16,5
2023-08-17,5
2023-08-18,5
2023-08-19,7
2023-08-20,7
2023-08-21,5
2023-08-22,5
2023-08-23,4
2023-08-24,4
2023-08-25,5
2023-08-26,6
2023-08-27,6
2023-08-28,4
2023-08-29,4
2023-08-30,4
2023-08-31,4
2023-09-01,4
2023-09-02,5
2023-09-03,7
2023-09-04,8
2023-09-05,4
2023-09-06,4
2023-09-07,4
2023-09-08,4
2023-09-09,5
2023-09-10,7
2023-09-11,5
2023-09-12,3
2023-09-13,4
2023-09-14,3
2023-09-15,3
2023-09-16,6
2023-09-17,6
2023-09-18,4
2023-09-19,3
2023-09-20,4
2023-09-21,3
2023-09-22,4
2023-09-23,6
2023-09-24,8
2023-09-25,5
2023-09-26,5
2023-09-27,4
2023-09-28,4
2023-09-29,4
2023-09-30,7
2023-10-01,9
2023-10-02,7
2023-10-03,6
2023-10-04,6
2023-10-05,6
2023-10-06,6
2023-10-07,10
2023-10-08,12
2023-10-09,10
2023-10-10,8
2023-10-11,7
2023-10-12,7
2023-10-13,8
2023-10-14,13
2023-10-15,12
2023-10-16,8
2023-10-17,7
2023-10-18,6
2023-10-19,7
2023-10-20,7
2023-10-21,10
2023-10-22,14
2023-10-23,8
2023-10-24,7
2023-10-25,7
2023-10-26,6
2023-10-27,8
2023-10-28,13
2023-10-29,16
2023-10-30,11
2023-10-31,13
2023-11-01,13
2023-11-02,7
2023-11-03,5
2023-11-04,7
2023-11-05,8
2023-11-06,5
2023-11-07,4
2023-11-08,4
2023-11-09,3
2023-11-10,4
2023-11-11,6
2023-11-12,5
2023-11-13,3
2023-11-14,3
2023-11-15,3
2023-11-16,3
2023-11-17,3
2023-11-18,3
2023-11-19,5
2023-11-20,3
2023-11-21,5
2023-11-22,15
2023-11-23,13
2023-11-24,11
2023-11-25,13
2023-11-26,7
2023-11-27,5
2023-11-28,4
2023-11-29,3
2023-11-30,3
2023-12-01,3
2023-12-02,3
2023-12-03,4
2023-12-04,2
2023-12-05,2
2023-12-06,2
2023-12-07,2
2023-12-08,2
2023-12-09,3
2023-12-10,3
2023-12-11,2
2023-12-12,2
2023-12-13,2
2023-12-14,2
2023-12-15,2
2023-12-16,2
2023-12-17,3
2023-12-18,3
2023-12-19,2
2023-12-20,2
2023-12-21,2
2023-12-22,3
2023-12-23,4
2023-12-24,4
2023-12-25,3
2023-12-26,4
2023-12-27,3
2023-12-28,3
2023-12-29,3
2023-12-30,4
2023-12-31,3
2024-01-01,3
2024-01-02,3
2024-01-03,2
2024-01-04,2
2024-01-05,2
2024-01-06,3
2024-01-07,3
2024-01-08,2
2024-01-09,2
2024-01-10,2
2024-01-11,2
2024-01-12,2
2024-01-13,3
2024-01-14,3
2024-01-15,3
2024-01-16,3
2024-01-17,3
2024-01-18,2
2024-01-19,3
2024-01-20,4
