Time,nets
2024-08-18,9
2024-08-19,9
2024-08-20,10
2024-08-21,9
2024-08-22,9
2024-08-23,9
2024-08-24,8
2024-08-25,9
2024-08-26,8
2024-08-27,8
2024-08-28,9
2024-08-29,9
2024-08-30,9
2024-08-31,8
2024-09-01,9
2024-09-02,9
2024-09-03,9
2024-09-04,10
2024-09-05,10
2024-09-06,9
2024-09-07,9
2024-09-08,9
2024-09-09,9
2024-09-10,9
2024-09-11,9
2024-09-12,11
2024-09-13,9
2024-09-14,9
2024-09-15,8
2024-09-16,8
2024-09-17,9
2024-09-18,9
2024-09-19,9
2024-09-20,11
2024-09-21,10
2024-09-22,9
2024-09-23,10
2024-09-24,9
2024-09-25,9
2024-09-26,10
2024-09-27,9
2024-09-28,11
2024-09-29,11
2024-09-30,11
2024-10-01,10
2024-10-02,12
2024-10-03,10
2024-10-04,12
2024-10-05,12
2024-10-06,12
2024-10-07,11
2024-10-08,12
2024-10-09,26
2024-10-10,13
2024-10-11,12
2024-10-12,10
2024-10-13,13
2024-10-14,18
2024-10-15,25
2024-10-16,20
2024-10-17,23
2024-10-18,17
2024-10-19,17
2024-10-20,13
2024-10-21,17
2024-10-22,15
2024-10-23,34
2024-10-24,44
2024-10-25,39
2024-10-26,32
2024-10-27,38
2024-10-28,35
2024-10-29,42
2024-10-30,65
2024-10-31,37
2024-11-01,31
2024-11-02,43
2024-11-03,47
2024-11-04,28
2024-11-05,30
2024-11-06,10
2024-11-07,16
2024-11-08,22
2024-11-09,71
2024-11-10,60
2024-11-11,26
2024-11-12,39
2024-11-13,27
2024-11-14,46
2024-11-15,21
2024-11-16,39
2024-11-17,21
2024-11-18,34
2024-11-19,30
2024-11-20,48
2024-11-21,14
2024-11-22,30
2024-11-23,42
2024-11-24,19
2024-11-25,45
2024-11-26,62
2024-11-27,20
2024-11-28,46
2024-11-29,26
2024-11-30,33
2024-12-01,35
2024-12-02,32
2024-12-03,33
2024-12-04,27
2024-12-05,28
2024-12-06,13
2024-12-07,14
2024-12-08,43
2024-12-09,17
2024-12-10,13
2024-12-11,13
2024-12-12,13
2024-12-13,20
2024-12-14,37
2024-12-15,18
2024-12-16,24
2024-12-17,36
2024-12-18,16
2024-12-19,17
2024-12-20,20
2024-12-21,19
2024-12-22,25
2024-12-23,15
2024-12-24,22
2024-12-25,14
2024-12-26,21
2024-12-27,50
2024-12-28,40
2024-12-29,56
2024-12-30,28
2024-12-31,16
2025-01-01,26
2025-01-02,51
2025-01-03,47
2025-01-04,35
2025-01-05,34
2025-01-06,21
2025-01-07,26
2025-01-08,21
2025-01-09,28
2025-01-10,17
2025-01-11,40
2025-01-12,18
2025-01-13,28
2025-01-14,17
2025-01-15,37
2025-01-16,54
2025-01-17,25
2025-01-18,70
2025-01-19,22
2025-01-20,27
2025-01-21,30
2025-01-22,63
2025-01-23,33
2025-01-24,14
2025-01-25,26
2025-01-26,36
2025-01-27,22
2025-01-28,31
2025-01-29,21
2025-01-30,22
2025-01-31,12
2025-02-01,17
2025-02-02,37
2025-02-03,16
2025-02-04,25
2025-02-05,47
2025-02-06,33
2025-02-07,26
2025-02-08,39
2025-02-09,15
2025-02-10,20
2025-02-11,30
2025-02-12,22
2025-02-13,26
2025-02-14,12
2025-02-15,12
2025-02-16,12
2025-02-17,11
2025-02-18,11
2025-02-19,13
2025-02-20,21
2025-02-21,36
2025-02-22,26
2025-02-23,47
2025-02-24,25
2025-02-25,30
2025-02-26,24
2025-02-27,35
2025-02-28,24
2025-03-01,40
2025-03-02,34
2025-03-03,14
2025-03-04,21
2025-03-05,31
2025-03-06,29
2025-03-07,80
2025-03-08,33
2025-03-09,33
2025-03-10,45
2025-03-11,100
2025-03-12,43
2025-03-13,24
2025-03-14,30
2025-03-15,44
2025-03-16,68
2025-03-17,24
2025-03-18,33
2025-03-19,44
2025-03-20,28
2025-03-21,25
2025-03-22,39
2025-03-23,26
2025-03-24,25
2025-03-25,39
2025-03-26,25
2025-03-27,25
2025-03-28,25
2025-03-29,46
2025-03-30,30
2025-03-31,19
2025-04-01,38
2025-04-02,13
2025-04-03,28
2025-04-04,35
2025-04-05,14
2025-04-06,33
2025-04-07,15
2025-04-08,20
2025-04-09,23
2025-04-10,24
2025-04-11,32
2025-04-12,34
2025-04-13,34
2025-04-14,13
2025-04-15,11
2025-04-16,11
2025-04-17,11
2025-04-18,10
2025-04-19,12
2025-04-20,12
2025-04-21,12
2025-04-22,12
2025-04-23,12
2025-04-24,11
2025-04-25,11
2025-04-26,10
2025-04-27,12
2025-04-28,12
2025-04-29,11
2025-04-30,11
2025-05-01,12
2025-05-02,12
2025-05-03,12
2025-05-04,13
2025-05-05,11
2025-05-06,13
2025-05-07,11
2025-05-08,13
2025-05-09,12
2025-05-10,14
2025-05-11,11
2025-05-12,15
2025-05-13,18
2025-05-14,12
