Time,als
2023-12-22,32
2023-12-23,31
2023-12-24,33
2023-12-25,29
2023-12-26,35
2023-12-27,32
2023-12-28,31
2023-12-29,31
2023-12-30,33
2023-12-31,33
2024-01-01,30
2024-01-02,32
2024-01-03,36
2024-01-04,39
2024-01-05,45
2024-01-06,36
2024-01-07,33
2024-01-08,34
2024-01-09,35
2024-01-10,35
2024-01-11,35
2024-01-12,35
2024-01-13,33
2024-01-14,30
2024-01-15,31
2024-01-16,33
2024-01-17,38
2024-01-18,35
2024-01-19,37
2024-01-20,30
2024-01-21,32
2024-01-22,36
2024-01-23,33
2024-01-24,37
2024-01-25,35
2024-01-26,38
2024-01-27,34
2024-01-28,32
2024-01-29,36
2024-01-30,37
2024-01-31,38
2024-02-01,37
2024-02-02,41
2024-02-03,33
2024-02-04,34
2024-02-05,34
2024-02-06,35
2024-02-07,35
2024-02-08,37
2024-02-09,42
2024-02-10,36
2024-02-11,42
2024-02-12,35
2024-02-13,37
2024-02-14,35
2024-02-15,37
2024-02-16,38
2024-02-17,46
2024-02-18,37
2024-02-19,37
2024-02-20,40
2024-02-21,37
2024-02-22,39
2024-02-23,35
2024-02-24,30
2024-02-25,77
2024-02-26,100
2024-02-27,46
2024-02-28,40
2024-02-29,42
2024-03-01,40
2024-03-02,44
2024-03-03,42
2024-03-04,40
2024-03-05,36
2024-03-06,38
2024-03-07,37
2024-03-08,39
2024-03-09,36
2024-03-10,37
2024-03-11,35
2024-03-12,37
2024-03-13,34
2024-03-14,39
2024-03-15,38
2024-03-16,38
2024-03-17,34
2024-03-18,41
2024-03-19,40
2024-03-20,41
2024-03-21,37
2024-03-22,36
2024-03-23,37
2024-03-24,33
2024-03-25,39
2024-03-26,38
2024-03-27,36
2024-03-28,36
2024-03-29,40
2024-03-30,34
2024-03-31,33
2024-04-01,40
2024-04-02,36
2024-04-03,38
2024-04-04,37
2024-04-05,37
2024-04-06,34
2024-04-07,33
2024-04-08,34
2024-04-09,38
2024-04-10,38
2024-04-11,35
2024-04-12,37
2024-04-13,34
2024-04-14,34
2024-04-15,38
2024-04-16,38
2024-04-17,36
2024-04-18,36
2024-04-19,34
2024-04-20,56
2024-04-21,44
2024-04-22,40
2024-04-23,39
2024-04-24,40
2024-04-25,39
2024-04-26,34
2024-04-27,38
2024-04-28,38
2024-04-29,38
2024-04-30,37
2024-05-01,40
2024-05-02,38
2024-05-03,39
2024-05-04,35
2024-05-05,36
2024-05-06,40
2024-05-07,37
2024-05-08,36
2024-05-09,38
2024-05-10,33
2024-05-11,36
2024-05-12,36
2024-05-13,37
2024-05-14,37
2024-05-15,43
2024-05-16,42
2024-05-17,47
2024-05-18,45
2024-05-19,36
2024-05-20,40
2024-05-21,45
2024-05-22,41
2024-05-23,42
2024-05-24,40
2024-05-25,41
2024-05-26,39
2024-05-27,42
2024-05-28,40
2024-05-29,40
2024-05-30,40
2024-05-31,39
2024-06-01,41
2024-06-02,65
2024-06-03,66
2024-06-04,40
2024-06-05,45
2024-06-06,41
2024-06-07,37
2024-06-08,38
2024-06-09,41
2024-06-10,39
2024-06-11,39
2024-06-12,40
2024-06-13,39
2024-06-14,39
2024-06-15,36
2024-06-16,36
2024-06-17,40
2024-06-18,39
2024-06-19,39
2024-06-20,40
2024-06-21,41
2024-06-22,38
2024-06-23,38
2024-06-24,40
2024-06-25,35
2024-06-26,41
2024-06-27,35
2024-06-28,34
2024-06-29,34
2024-06-30,35
2024-07-01,38
2024-07-02,40
2024-07-03,38
2024-07-04,35
2024-07-05,34
2024-07-06,36
2024-07-07,38
2024-07-08,37
2024-07-09,53
2024-07-10,44
2024-07-11,40
2024-07-12,82
2024-07-13,48
2024-07-14,34
2024-07-15,38
2024-07-16,35
2024-07-17,37
2024-07-18,40
2024-07-19,35
2024-07-20,34
2024-07-21,38
2024-07-22,39
2024-07-23,42
2024-07-24,40
2024-07-25,41
2024-07-26,35
2024-07-27,37
2024-07-28,38
2024-07-29,38
2024-07-30,39
2024-07-31,38
2024-08-01,40
2024-08-02,41
2024-08-03,66
2024-08-04,84
2024-08-05,50
2024-08-06,42
2024-08-07,39
2024-08-08,40
2024-08-09,39
2024-08-10,35
2024-08-11,38
2024-08-12,40
2024-08-13,41
2024-08-14,41
2024-08-15,45
2024-08-16,44
2024-08-17,43
2024-08-18,39
2024-08-19,44
2024-08-20,45
2024-08-21,42
2024-08-22,39
2024-08-23,42
2024-08-24,38
2024-08-25,38
2024-08-26,40
2024-08-27,40
2024-08-28,39
2024-08-29,40
2024-08-30,38
2024-08-31,38
2024-09-01,43
2024-09-02,44
2024-09-03,38
2024-09-04,39
2024-09-05,39
2024-09-06,40
2024-09-07,40
2024-09-08,36
2024-09-09,40
2024-09-10,39
2024-09-11,37
2024-09-12,39
2024-09-13,42
2024-09-14,35
2024-09-15,40
2024-09-16,44
