Time,starbucks
2022-01-01,100
2022-01-02,78
2022-01-03,65
2022-01-04,71
2022-01-05,67
2022-01-06,55
2022-01-07,62
2022-01-08,75
2022-01-09,72
2022-01-10,55
2022-01-11,55
2022-01-12,57
2022-01-13,54
2022-01-14,51
2022-01-15,77
2022-01-16,60
2022-01-17,54
2022-01-18,48
2022-01-19,51
2022-01-20,52
2022-01-21,56
2022-01-22,70
2022-01-23,69
2022-01-24,63
2022-01-25,46
2022-01-26,47
2022-01-27,51
2022-01-28,59
2022-01-29,64
2022-01-30,72
2022-01-31,52
2022-02-01,53
2022-02-02,52
2022-02-03,52
2022-02-04,58
2022-02-05,66
2022-02-06,67
2022-02-07,52
2022-02-08,53
2022-02-09,49
2022-02-10,44
2022-02-11,55
2022-02-12,66
2022-02-13,59
2022-02-14,47
2022-02-15,49
2022-02-16,51
2022-02-17,51
2022-02-18,50
2022-02-19,63
2022-02-20,68
2022-02-21,56
2022-02-22,50
2022-02-23,50
2022-02-24,52
2022-02-25,52
2022-02-26,63
2022-02-27,64
2022-02-28,49
2022-03-01,53
2022-03-02,54
2022-03-03,52
2022-03-04,56
2022-03-05,66
2022-03-06,62
2022-03-07,50
2022-03-08,51
2022-03-09,53
2022-03-10,53
2022-03-11,53
2022-03-12,61
2022-03-13,64
2022-03-14,53
2022-03-15,52
2022-03-16,57
2022-03-17,53
2022-03-18,55
2022-03-19,63
2022-03-20,63
2022-03-21,51
2022-03-22,50
2022-03-23,50
2022-03-24,52
2022-03-25,52
2022-03-26,63
2022-03-27,62
2022-03-28,46
2022-03-29,46
2022-03-30,45
2022-03-31,48
2022-04-01,51
2022-04-02,64
2022-04-03,64
2022-04-04,47
2022-04-05,48
2022-04-06,47
2022-04-07,50
2022-04-08,52
2022-04-09,63
2022-04-10,65
2022-04-11,49
2022-04-12,49
2022-04-13,49
2022-04-14,49
2022-04-15,57
2022-04-16,61
2022-04-17,88
2022-04-18,51
2022-04-19,49
2022-04-20,47
2022-04-21,50
2022-04-22,54
2022-04-23,65
2022-04-24,67
2022-04-25,49
2022-04-26,49
2022-04-27,48
2022-04-28,47
2022-04-29,51
2022-04-30,64
2022-05-01,64
2022-05-02,49
2022-05-03,49
2022-05-04,51
2022-05-05,50
2022-05-06,55
2022-05-07,66
2022-05-08,71
2022-05-09,47
2022-05-10,55
2022-05-11,52
2022-05-12,54
2022-05-13,56
2022-05-14,69
2022-05-15,65
2022-05-16,51
2022-05-17,53
2022-05-18,50
2022-05-19,60
2022-05-20,53
2022-05-21,67
2022-05-22,68
2022-05-23,52
2022-05-24,53
2022-05-25,50
2022-05-26,53
2022-05-27,55
2022-05-28,81
2022-05-29,70
2022-05-30,72
2022-05-31,51
2022-06-01,51
2022-06-02,54
2022-06-03,53
2022-06-04,66
2022-06-05,65
2022-06-06,54
2022-06-07,51
2022-06-08,53
2022-06-09,55
2022-06-10,59
2022-06-11,60
2022-06-12,64
2022-06-13,52
2022-06-14,52
2022-06-15,55
2022-06-16,54
2022-06-17,59
2022-06-18,66
2022-06-19,66
2022-06-20,56
2022-06-21,62
2022-06-22,63
2022-06-23,59
2022-06-24,61
2022-06-25,66
2022-06-26,65
2022-06-27,56
2022-06-28,57
2022-06-29,57
2022-06-30,57
2022-07-01,59
2022-07-02,63
2022-07-03,70
2022-07-04,79
2022-07-05,66
2022-07-06,56
2022-07-07,54
2022-07-08,58
2022-07-09,64
2022-07-10,69
2022-07-11,58
2022-07-12,75
2022-07-13,67
2022-07-14,59
2022-07-15,59
2022-07-16,65
2022-07-17,66
2022-07-18,51
2022-07-19,70
2022-07-20,61
2022-07-21,58
2022-07-22,59
2022-07-23,63
2022-07-24,71
2022-07-25,54
2022-07-26,65
2022-07-27,58
2022-07-28,56
2022-07-29,59
2022-07-30,62
2022-07-31,64
2022-08-01,56
2022-08-02,56
2022-08-03,53
2022-08-04,56
2022-08-05,57
2022-08-06,65
2022-08-07,65
2022-08-08,54
2022-08-09,58
2022-08-10,57
2022-08-11,56
2022-08-12,57
2022-08-13,66
2022-08-14,71
2022-08-15,57
2022-08-16,56
2022-08-17,57
2022-08-18,57
2022-08-19,58
2022-08-20,67
2022-08-21,69
2022-08-22,56
2022-08-23,57
2022-08-24,57
2022-08-25,59
2022-08-26,61
2022-08-27,70
2022-08-28,70
2022-08-29,63
2022-08-30,82
2022-08-31,68
2022-09-01,65
2022-09-02,69
2022-09-03,73
2022-09-04,76
2022-09-05,81
2022-09-06,55
2022-09-07,54
2022-09-08,52
2022-09-09,56
2022-09-10,68
2022-09-11,65
2022-09-12,53
2022-09-13,56
2022-09-14,60
2022-09-15,55
2022-09-16,60
2022-09-17,71
2022-09-18,70
2022-09-19,50
2022-09-20,52
2022-09-21,51
2022-09-22,52
2022-09-23,57
2022-09-24,70
2022-09-25,66
2022-09-26,49
2022-09-27,54
