Time,polls
2023-12-22,4
2023-12-23,3
2023-12-24,3
2023-12-25,2
2023-12-26,3
2023-12-27,4
2023-12-28,4
2023-12-29,4
2023-12-30,3
2023-12-31,3
2024-01-01,3
2024-01-02,3
2024-01-03,4
2024-01-04,3
2024-01-05,4
2024-01-06,3
2024-01-07,3
2024-01-08,4
2024-01-09,4
2024-01-10,6
2024-01-11,9
2024-01-12,5
2024-01-13,5
2024-01-14,5
2024-01-15,7
2024-01-16,10
2024-01-17,6
2024-01-18,5
2024-01-19,5
2024-01-20,5
2024-01-21,8
2024-01-22,10
2024-01-23,21
2024-01-24,20
2024-01-25,5
2024-01-26,4
2024-01-27,4
2024-01-28,4
2024-01-29,4
2024-01-30,4
2024-01-31,4
2024-02-01,5
2024-02-02,5
2024-02-03,5
2024-02-04,7
2024-02-05,5
2024-02-06,4
2024-02-07,4
2024-02-08,4
2024-02-09,4
2024-02-10,4
2024-02-11,4
2024-02-12,4
2024-02-13,5
2024-02-14,5
2024-02-15,3
2024-02-16,3
2024-02-17,3
2024-02-18,4
2024-02-19,5
2024-02-20,5
2024-02-21,5
2024-02-22,5
2024-02-23,4
2024-02-24,8
2024-02-25,9
2024-02-26,6
2024-02-27,7
2024-02-28,6
2024-02-29,4
2024-03-01,4
2024-03-02,5
2024-03-03,5
2024-03-04,7
2024-03-05,18
2024-03-06,17
2024-03-07,6
2024-03-08,7
2024-03-09,5
2024-03-10,5
2024-03-11,5
2024-03-12,6
2024-03-13,6
2024-03-14,5
2024-03-15,4
2024-03-16,4
2024-03-17,4
2024-03-18,5
2024-03-19,8
2024-03-20,6
2024-03-21,4
2024-03-22,4
2024-03-23,4
2024-03-24,4
2024-03-25,4
2024-03-26,4
2024-03-27,4
2024-03-28,4
2024-03-29,4
2024-03-30,3
2024-03-31,3
2024-04-01,4
2024-04-02,6
2024-04-03,5
2024-04-04,4
2024-04-05,4
2024-04-06,3
2024-04-07,3
2024-04-08,4
2024-04-09,4
2024-04-10,5
2024-04-11,5
2024-04-12,4
2024-04-13,3
2024-04-14,4
2024-04-15,4
2024-04-16,4
2024-04-17,4
2024-04-18,4
2024-04-19,4
2024-04-20,3
2024-04-21,4
2024-04-22,4
2024-04-23,5
2024-04-24,5
2024-04-25,5
2024-04-26,4
2024-04-27,4
2024-04-28,5
2024-04-29,5
2024-04-30,5
2024-05-01,4
2024-05-02,4
2024-05-03,4
2024-05-04,4
2024-05-05,4
2024-05-06,5
2024-05-07,5
2024-05-08,5
2024-05-09,5
2024-05-10,4
2024-05-11,4
2024-05-12,5
2024-05-13,8
2024-05-14,8
2024-05-15,6
2024-05-16,4
2024-05-17,4
2024-05-18,4
2024-05-19,3
2024-05-20,4
2024-05-21,5
2024-05-22,5
2024-05-23,4
2024-05-24,5
2024-05-25,4
2024-05-26,4
2024-05-27,4
2024-05-28,5
2024-05-29,6
2024-05-30,7
2024-05-31,14
2024-06-01,15
2024-06-02,12
2024-06-03,11
2024-06-04,10
2024-06-05,8
2024-06-06,7
2024-06-07,7
2024-06-08,5
2024-06-09,6
2024-06-10,7
2024-06-11,7
2024-06-12,6
2024-06-13,6
2024-06-14,6
2024-06-15,5
2024-06-16,6
2024-06-17,7
2024-06-18,8
2024-06-19,7
2024-06-20,8
2024-06-21,8
2024-06-22,7
2024-06-23,7
2024-06-24,8
2024-06-25,9
2024-06-26,8
2024-06-27,8
2024-06-28,35
2024-06-29,18
2024-06-30,15
2024-07-01,15
2024-07-02,14
2024-07-03,14
2024-07-04,14
2024-07-05,11
2024-07-06,12
2024-07-07,11
2024-07-08,11
2024-07-09,12
2024-07-10,10
2024-07-11,11
2024-07-12,13
2024-07-13,12
2024-07-14,18
2024-07-15,22
2024-07-16,22
2024-07-17,21
2024-07-18,20
2024-07-19,20
2024-07-20,18
2024-07-21,33
2024-07-22,33
2024-07-23,39
2024-07-24,38
2024-07-25,35
2024-07-26,31
2024-07-27,26
2024-07-28,28
2024-07-29,29
2024-07-30,30
2024-07-31,31
2024-08-01,33
2024-08-02,32
2024-08-03,24
2024-08-04,24
2024-08-05,25
2024-08-06,32
2024-08-07,40
2024-08-08,42
2024-08-09,36
2024-08-10,34
2024-08-11,34
2024-08-12,35
2024-08-13,36
2024-08-14,35
2024-08-15,30
2024-08-16,28
2024-08-17,27
2024-08-18,27
2024-08-19,25
2024-08-20,35
2024-08-21,42
2024-08-22,41
2024-08-23,59
2024-08-24,47
2024-08-25,40
2024-08-26,40
2024-08-27,37
2024-08-28,34
2024-08-29,33
2024-08-30,32
2024-08-31,30
2024-09-01,29
2024-09-02,28
2024-09-03,30
2024-09-04,28
2024-09-05,26
2024-09-06,25
2024-09-07,24
2024-09-08,26
2024-09-09,29
2024-09-10,27
2024-09-11,100
2024-09-12,70
2024-09-13,54
2024-09-14,43
2024-09-15,40
2024-09-16,38
