Time,polls
2023-04-26,5
2023-04-27,5
2023-04-28,5
2023-04-29,4
2023-04-30,5
2023-05-01,5
2023-05-02,8
2023-05-03,5
2023-05-04,4
2023-05-05,4
2023-05-06,5
2023-05-07,5
2023-05-08,7
2023-05-09,7
2023-05-10,7
2023-05-11,9
2023-05-12,7
2023-05-13,7
2023-05-14,9
2023-05-15,8
2023-05-16,14
2023-05-17,8
2023-05-18,7
2023-05-19,5
2023-05-20,3
2023-05-21,4
2023-05-22,5
2023-05-23,6
2023-05-24,6
2023-05-25,7
2023-05-26,6
2023-05-27,5
2023-05-28,5
2023-05-29,5
2023-05-30,5
2023-05-31,6
2023-06-01,5
2023-06-02,6
2023-06-03,5
2023-06-04,5
2023-06-05,6
2023-06-06,7
2023-06-07,7
2023-06-08,8
2023-06-09,8
2023-06-10,7
2023-06-11,8
2023-06-12,7
2023-06-13,8
2023-06-14,9
2023-06-15,7
2023-06-16,7
2023-06-17,7
2023-06-18,7
2023-06-19,8
2023-06-20,9
2023-06-21,7
2023-06-22,6
2023-06-23,6
2023-06-24,5
2023-06-25,7
2023-06-26,7
2023-06-27,9
2023-06-28,7
2023-06-29,7
2023-06-30,6
2023-07-01,6
2023-07-02,6
2023-07-03,6
2023-07-04,6
2023-07-05,7
2023-07-06,7
2023-07-07,7
2023-07-08,6
2023-07-09,6
2023-07-10,6
2023-07-11,6
2023-07-12,6
2023-07-13,7
2023-07-14,6
2023-07-15,7
2023-07-16,8
2023-07-17,8
2023-07-18,8
2023-07-19,8
2023-07-20,7
2023-07-21,8
2023-07-22,7
2023-07-23,8
2023-07-24,8
2023-07-25,8
2023-07-26,6
2023-07-27,7
2023-07-28,7
2023-07-29,8
2023-07-30,7
2023-07-31,8
2023-08-01,10
2023-08-02,11
2023-08-03,11
2023-08-04,11
2023-08-05,8
2023-08-06,9
2023-08-07,12
2023-08-08,28
2023-08-09,11
2023-08-10,7
2023-08-11,7
2023-08-12,7
2023-08-13,7
2023-08-14,8
2023-08-15,12
2023-08-16,11
2023-08-17,12
2023-08-18,10
2023-08-19,9
2023-08-20,9
2023-08-21,10
2023-08-22,11
2023-08-23,11
2023-08-24,47
2023-08-25,32
2023-08-26,20
2023-08-27,16
2023-08-28,17
2023-08-29,16
2023-08-30,13
2023-08-31,13
2023-09-01,11
2023-09-02,9
2023-09-03,10
2023-09-04,12
2023-09-05,15
2023-09-06,11
2023-09-07,11
2023-09-08,9
2023-09-09,7
2023-09-10,11
2023-09-11,10
2023-09-12,9
2023-09-13,9
2023-09-14,9
2023-09-15,9
2023-09-16,8
2023-09-17,10
2023-09-18,10
2023-09-19,10
2023-09-20,9
2023-09-21,10
2023-09-22,10
2023-09-23,8
2023-09-24,14
2023-09-25,14
2023-09-26,12
2023-09-27,11
2023-09-28,25
2023-09-29,14
2023-09-30,11
2023-10-01,11
2023-10-02,11
2023-10-03,11
2023-10-04,10
2023-10-05,10
2023-10-06,10
2023-10-07,8
2023-10-08,9
2023-10-09,10
2023-10-10,11
2023-10-11,10
2023-10-12,10
2023-10-13,9
2023-10-14,11
2023-10-15,13
2023-10-16,11
2023-10-17,10
2023-10-18,9
2023-10-19,10
2023-10-20,9
2023-10-21,8
2023-10-22,10
2023-10-23,11
2023-10-24,10
2023-10-25,10
2023-10-26,9
2023-10-27,9
2023-10-28,10
2023-10-29,12
2023-10-30,14
2023-10-31,13
2023-11-01,11
2023-11-02,11
2023-11-03,11
2023-11-04,11
2023-11-05,16
2023-11-06,29
2023-11-07,100
2023-11-08,60
2023-11-09,27
2023-11-10,15
2023-11-11,10
2023-11-12,10
2023-11-13,16
2023-11-14,13
2023-11-15,11
2023-11-16,11
2023-11-17,10
2023-11-18,10
2023-11-19,12
2023-11-20,11
2023-11-21,10
2023-11-22,8
2023-11-23,7
2023-11-24,7
2023-11-25,7
2023-11-26,10
2023-11-27,11
2023-11-28,12
2023-11-29,12
2023-11-30,14
2023-12-01,13
2023-12-02,10
2023-12-03,13
2023-12-04,11
2023-12-05,12
2023-12-06,11
2023-12-07,23
2023-12-08,14
2023-12-09,12
2023-12-10,10
2023-12-11,13
2023-12-12,11
2023-12-13,10
2023-12-14,11
2023-12-15,10
2023-12-16,8
2023-12-17,9
2023-12-18,11
2023-12-19,12
2023-12-20,14
2023-12-21,12
2023-12-22,11
2023-12-23,10
2023-12-24,8
2023-12-25,7
2023-12-26,9
2023-12-27,11
2023-12-28,11
2023-12-29,12
2023-12-30,8
2023-12-31,8
2024-01-01,8
2024-01-02,10
2024-01-03,11
2024-01-04,10
2024-01-05,12
2024-01-06,11
2024-01-07,10
2024-01-08,11
2024-01-09,14
2024-01-10,17
2024-01-11,29
2024-01-12,16
2024-01-13,15
2024-01-14,16
2024-01-15,20
2024-01-16,31
2024-01-17,19
2024-01-18,17
2024-01-19,16
2024-01-20,16
