Time,long_legs
2022-01-01,52.0
2022-01-02,39.0
2022-01-03,31.0
2022-01-04,31.0
2022-01-05,32.0
2022-01-06,25.0
2022-01-07,26.0
2022-01-08,31.0
2022-01-09,37.0
2022-01-10,25.0
2022-01-11,29.0
2022-01-12,27.0
2022-01-13,25.0
2022-01-14,24.0
2022-01-15,34.0
2022-01-16,35.0
2022-01-17,29.0
2022-01-18,25.0
2022-01-19,26.0
2022-01-20,26.0
2022-01-21,26.0
2022-01-22,31.0
2022-01-23,32.0
2022-01-24,36.0
2022-01-25,23.0
2022-01-26,26.0
2022-01-27,27.0
2022-01-28,31.0
2022-01-29,33.0
2022-01-30,34.0
2022-01-31,28.0
2022-02-01,27.0
2022-02-02,28.0
2022-02-03,27.0
2022-02-04,27.0
2022-02-05,31.0
2022-02-06,36.0
2022-02-07,29.0
2022-02-08,29.0
2022-02-09,30.0
2022-02-10,21.0
2022-02-11,27.0
2022-02-12,36.0
2022-02-13,41.0
2022-02-14,32.0
2022-02-15,34.0
2022-02-16,26.0
2022-02-17,29.0
2022-02-18,28.0
2022-02-19,30.0
2022-02-20,33.0
2022-02-21,31.0
2022-02-22,33.0
2022-02-23,37.0
2022-02-24,29.0
2022-02-25,26.0
2022-02-26,35.0
2022-02-27,38.0
2022-02-28,33.0
2022-03-01,29.0
2022-03-02,30.0
2022-03-03,32.0
2022-03-04,31.0
2022-03-05,40.0
2022-03-06,45.0
2022-03-07,34.0
2022-03-08,32.0
2022-03-09,37.0
2022-03-10,35.0
2022-03-11,33.0
2022-03-12,39.0
2022-03-13,43.0
2022-03-14,36.0
2022-03-15,36.0
2022-03-16,33.0
2022-03-17,36.0
2022-03-18,31.0
2022-03-19,41.0
2022-03-20,44.0
2022-03-21,34.0
2022-03-22,34.0
2022-03-23,35.0
2022-03-24,38.0
2022-03-25,36.0
2022-03-26,39.0
2022-03-27,45.0
2022-03-28,38.0
2022-03-29,37.0
2022-03-30,36.0
2022-03-31,36.0
2022-04-01,38.0
2022-04-02,45.0
2022-04-03,49.0
2022-04-04,36.0
2022-04-05,37.0
2022-04-06,41.0
2022-04-07,39.0
2022-04-08,45.0
2022-04-09,45.0
2022-04-10,47.0
2022-04-11,40.0
2022-04-12,39.0
2022-04-13,39.0
2022-04-14,37.0
2022-04-15,40.0
2022-04-16,41.0
2022-04-17,47.0
2022-04-18,37.0
2022-04-19,36.0
2022-04-20,37.0
2022-04-21,37.0
2022-04-22,38.0
2022-04-23,41.0
2022-04-24,49.0
2022-04-25,42.0
2022-04-26,41.0
2022-04-27,37.0
2022-04-28,38.0
2022-04-29,38.0
2022-04-30,47.0
2022-05-01,47.0
2022-05-02,39.0
2022-05-03,38.0
2022-05-04,40.0
2022-05-05,40.0
2022-05-06,66.0
2022-05-07,89.0
2022-05-08,100.0
2022-05-09,83.0
2022-05-10,73.0
2022-05-11,79.0
2022-05-12,79.0
2022-05-13,71.0
2022-05-14,92.0
2022-05-15,93.0
2022-05-16,84.0
2022-05-17,77.0
2022-05-18,77.0
2022-05-19,71.0
2022-05-20,71.0
2022-05-21,86.0
2022-05-22,87.0
2022-05-23,67.0
2022-05-24,68.0
2022-05-25,64.0
2022-05-26,70.0
2022-05-27,74.0
2022-05-28,79.0
2022-05-29,87.0
2022-05-30,87.0
2022-05-31,66.0
2022-06-01,66.0
2022-06-02,62.0
2022-06-03,59.0
2022-06-04,68.0
2022-06-05,83.0
2022-06-06,68.0
2022-06-07,64.0
2022-06-08,67.0
2022-06-09,66.0
2022-06-10,68.0
2022-06-11,64.0
2022-06-12,80.0
2022-06-13,63.0
2022-06-14,60.0
2022-06-15,65.0
2022-06-16,60.0
2022-06-17,68.0
2022-06-18,80.0
2022-06-19,90.0
2022-06-20,68.0
2022-06-21,69.0
2022-06-22,67.0
2022-06-23,68.0
2022-06-24,63.0
2022-06-25,78.0
