Time,twitch
2023-12-22,76
2023-12-23,72
2023-12-24,60
2023-12-25,57
2023-12-26,51
2023-12-27,69
2023-12-28,69
2023-12-29,79
2023-12-30,73
2023-12-31,72
2024-01-01,71
2024-01-02,70
2024-01-03,69
2024-01-04,69
2024-01-05,75
2024-01-06,78
2024-01-07,77
2024-01-08,67
2024-01-09,65
2024-01-10,73
2024-01-11,69
2024-01-12,68
2024-01-13,74
2024-01-14,83
2024-01-15,71
2024-01-16,74
2024-01-17,74
2024-01-18,70
2024-01-19,73
2024-01-20,81
2024-01-21,75
2024-01-22,63
2024-01-23,62
2024-01-24,67
2024-01-25,63
2024-01-26,65
2024-01-27,75
2024-01-28,76
2024-01-29,59
2024-01-30,64
2024-01-31,65
2024-02-01,62
2024-02-02,56
2024-02-03,73
2024-02-04,74
2024-02-05,62
2024-02-06,59
2024-02-07,60
2024-02-08,63
2024-02-09,63
2024-02-10,74
2024-02-11,68
2024-02-12,52
2024-02-13,63
2024-02-14,61
2024-02-15,57
2024-02-16,61
2024-02-17,81
2024-02-18,87
2024-02-19,76
2024-02-20,71
2024-02-21,69
2024-02-22,64
2024-02-23,68
2024-02-24,80
2024-02-25,90
2024-02-26,70
2024-02-27,63
2024-02-28,62
2024-02-29,60
2024-03-01,59
2024-03-02,80
2024-03-03,73
2024-03-04,58
2024-03-05,55
2024-03-06,58
2024-03-07,64
2024-03-08,67
2024-03-09,75
2024-03-10,73
2024-03-11,60
2024-03-12,67
2024-03-13,66
2024-03-14,64
2024-03-15,65
2024-03-16,70
2024-03-17,75
2024-03-18,66
2024-03-19,65
2024-03-20,68
2024-03-21,60
2024-03-22,60
2024-03-23,72
2024-03-24,74
2024-03-25,59
2024-03-26,60
2024-03-27,62
2024-03-28,66
2024-03-29,62
2024-03-30,69
2024-03-31,68
2024-04-01,58
2024-04-02,56
2024-04-03,56
2024-04-04,61
2024-04-05,60
2024-04-06,57
2024-04-07,64
2024-04-08,54
2024-04-09,57
2024-04-10,51
2024-04-11,52
2024-04-12,54
2024-04-13,61
2024-04-14,58
2024-04-15,51
2024-04-16,53
2024-04-17,51
2024-04-18,54
2024-04-19,52
2024-04-20,64
2024-04-21,62
2024-04-22,49
2024-04-23,50
2024-04-24,50
2024-04-25,53
2024-04-26,50
2024-04-27,55
2024-04-28,59
2024-04-29,52
2024-04-30,52
2024-05-01,50
2024-05-02,51
2024-05-03,57
2024-05-04,59
2024-05-05,64
2024-05-06,51
2024-05-07,49
2024-05-08,44
2024-05-09,51
2024-05-10,54
2024-05-11,66
2024-05-12,60
2024-05-13,52
2024-05-14,54
2024-05-15,53
2024-05-16,58
2024-05-17,62
2024-05-18,69
2024-05-19,67
2024-05-20,52
2024-05-21,50
2024-05-22,52
2024-05-23,53
2024-05-24,61
2024-05-25,61
2024-05-26,64
2024-05-27,62
2024-05-28,54
2024-05-29,57
2024-05-30,55
2024-05-31,54
2024-06-01,56
2024-06-02,60
2024-06-03,51
2024-06-04,54
2024-06-05,59
2024-06-06,55
2024-06-07,73
2024-06-08,73
2024-06-09,64
2024-06-10,52
2024-06-11,100
2024-06-12,60
2024-06-13,56
2024-06-14,56
2024-06-15,64
2024-06-16,68
2024-06-17,56
2024-06-18,55
2024-06-19,59
2024-06-20,60
2024-06-21,61
2024-06-22,71
2024-06-23,65
2024-06-24,54
2024-06-25,63
2024-06-26,63
2024-06-27,57
2024-06-28,59
2024-06-29,62
2024-06-30,65
2024-07-01,51
2024-07-02,57
2024-07-03,62
2024-07-04,83
2024-07-05,58
2024-07-06,60
2024-07-07,57
2024-07-08,62
2024-07-09,66
2024-07-10,60
2024-07-11,60
2024-07-12,58
2024-07-13,78
2024-07-14,58
2024-07-15,63
2024-07-16,60
2024-07-17,58
2024-07-18,63
2024-07-19,62
2024-07-20,80
2024-07-21,70
2024-07-22,59
2024-07-23,59
2024-07-24,63
2024-07-25,64
2024-07-26,68
2024-07-27,65
2024-07-28,63
2024-07-29,55
2024-07-30,59
2024-07-31,61
2024-08-01,58
2024-08-02,61
2024-08-03,63
2024-08-04,60
2024-08-05,53
2024-08-06,57
2024-08-07,57
2024-08-08,59
2024-08-09,54
2024-08-10,58
2024-08-11,60
2024-08-12,55
2024-08-13,60
2024-08-14,58
2024-08-15,55
2024-08-16,66
2024-08-17,66
2024-08-18,69
2024-08-19,58
2024-08-20,64
2024-08-21,60
2024-08-22,63
2024-08-23,61
2024-08-24,69
2024-08-25,68
2024-08-26,52
2024-08-27,52
2024-08-28,56
2024-08-29,61
2024-08-30,57
2024-08-31,58
2024-09-01,65
2024-09-02,64
2024-09-03,53
2024-09-04,54
2024-09-05,54
2024-09-06,52
2024-09-07,62
2024-09-08,62
2024-09-09,47
2024-09-10,52
2024-09-11,54
2024-09-12,51
2024-09-13,59
2024-09-14,63
2024-09-15,60
2024-09-16,48
