Time,premier league
2023-04-26,77
2023-04-27,52
2023-04-28,24
2023-04-29,54
2023-04-30,82
2023-05-01,34
2023-05-02,42
2023-05-03,47
2023-05-04,40
2023-05-05,26
2023-05-06,80
2023-05-07,83
2023-05-08,45
2023-05-09,19
2023-05-10,11
2023-05-11,12
2023-05-12,15
2023-05-13,76
2023-05-14,81
2023-05-15,36
2023-05-16,17
2023-05-17,14
2023-05-18,22
2023-05-19,18
2023-05-20,100
2023-05-21,70
2023-05-22,31
2023-05-23,19
2023-05-24,27
2023-05-25,31
2023-05-26,19
2023-05-27,33
2023-05-28,89
2023-05-29,22
2023-05-30,11
2023-05-31,8
2023-06-01,8
2023-06-02,7
2023-06-03,12
2023-06-04,9
2023-06-05,6
2023-06-06,5
2023-06-07,5
2023-06-08,5
2023-06-09,4
2023-06-10,9
2023-06-11,7
2023-06-12,5
2023-06-13,4
2023-06-14,4
2023-06-15,6
2023-06-16,4
2023-06-17,4
2023-06-18,4
2023-06-19,4
2023-06-20,3
2023-06-21,3
2023-06-22,3
2023-06-23,3
2023-06-24,4
2023-06-25,4
2023-06-26,3
2023-06-27,3
2023-06-28,3
2023-06-29,4
2023-06-30,4
2023-07-01,3
2023-07-02,4
2023-07-03,3
2023-07-04,4
2023-07-05,4
2023-07-06,3
2023-07-07,3
2023-07-08,4
2023-07-09,4
2023-07-10,3
2023-07-11,3
2023-07-12,4
2023-07-13,4
2023-07-14,3
2023-07-15,4
2023-07-16,4
2023-07-17,4
2023-07-18,4
2023-07-19,4
2023-07-20,5
2023-07-21,4
2023-07-22,7
2023-07-23,9
2023-07-24,6
2023-07-25,5
2023-07-26,6
2023-07-27,6
2023-07-28,5
2023-07-29,6
2023-07-30,9
2023-07-31,5
2023-08-01,5
2023-08-02,5
2023-08-03,5
2023-08-04,5
2023-08-05,8
2023-08-06,9
2023-08-07,8
2023-08-08,8
2023-08-09,9
2023-08-10,12
2023-08-11,45
2023-08-12,78
2023-08-13,66
2023-08-14,29
2023-08-15,14
2023-08-16,10
2023-08-17,11
2023-08-18,19
2023-08-19,86
2023-08-20,55
2023-08-21,27
2023-08-22,14
2023-08-23,10
2023-08-24,10
2023-08-25,23
2023-08-26,75
2023-08-27,66
2023-08-28,17
2023-08-29,11
2023-08-30,11
2023-08-31,10
2023-09-01,21
2023-09-02,77
2023-09-03,70
2023-09-04,19
2023-09-05,10
2023-09-06,8
2023-09-07,7
2023-09-08,7
2023-09-09,14
2023-09-10,9
2023-09-11,6
2023-09-12,5
2023-09-13,6
2023-09-14,7
2023-09-15,12
2023-09-16,80
2023-09-17,53
2023-09-18,17
2023-09-19,10
2023-09-20,8
2023-09-21,8
2023-09-22,12
2023-09-23,74
2023-09-24,75
2023-09-25,15
2023-09-26,12
2023-09-27,12
2023-09-28,9
2023-09-29,13
2023-09-30,98
2023-10-01,40
2023-10-02,21
2023-10-03,12
2023-10-04,9
2023-10-05,9
2023-10-06,12
2023-10-07,73
2023-10-08,81
2023-10-09,16
2023-10-10,9
2023-10-11,7
2023-10-12,7
2023-10-13,7
2023-10-14,19
2023-10-15,8
2023-10-16,6
2023-10-17,5
2023-10-18,6
2023-10-19,7
2023-10-20,11
2023-10-21,87
2023-10-22,44
2023-10-23,24
2023-10-24,13
2023-10-25,8
2023-10-26,8
2023-10-27,19
2023-10-28,61
2023-10-29,67
2023-10-30,14
2023-10-31,8
2023-11-01,11
2023-11-02,9
2023-11-03,12
2023-11-04,79
2023-11-05,55
2023-11-06,35
2023-11-07,15
2023-11-08,8
2023-11-09,8
2023-11-10,12
2023-11-11,68
2023-11-12,72
2023-11-13,16
2023-11-14,9
2023-11-15,6
2023-11-16,6
2023-11-17,10
2023-11-18,14
2023-11-19,9
2023-11-20,6
2023-11-21,5
2023-11-22,6
2023-11-23,9
2023-11-24,14
2023-11-25,78
2023-11-26,59
2023-11-27,17
2023-11-28,10
2023-11-29,8
2023-11-30,7
2023-12-01,10
2023-12-02,66
2023-12-03,74
2023-12-04,17
2023-12-05,28
2023-12-06,55
2023-12-07,42
2023-12-08,20
2023-12-09,84
2023-12-10,72
2023-12-11,15
2023-12-12,10
2023-12-13,8
2023-12-14,8
2023-12-15,18
2023-12-16,70
2023-12-17,74
2023-12-18,16
2023-12-19,13
2023-12-20,13
2023-12-21,18
2023-12-22,24
2023-12-23,84
2023-12-24,40
2023-12-25,20
2023-12-26,75
2023-12-27,57
2023-12-28,53
2023-12-29,27
2023-12-30,74
2023-12-31,61
2024-01-01,45
2024-01-02,29
2024-01-03,14
2024-01-04,13
2024-01-05,12
2024-01-06,21
2024-01-07,15
2024-01-08,9
2024-01-09,8
2024-01-10,8
2024-01-11,8
2024-01-12,15
2024-01-13,58
2024-01-14,52
2024-01-15,14
2024-01-16,9
2024-01-17,8
2024-01-18,8
2024-01-19,10
2024-01-20,44
