Time,premier league
2025-04-15,10
2025-04-16,14
2025-04-17,12
2025-04-18,13
2025-04-19,57
2025-04-20,70
2025-04-21,26
2025-04-22,28
2025-04-23,28
2025-04-24,17
2025-04-25,13
2025-04-26,48
2025-04-27,67
2025-04-28,19
2025-04-29,12
2025-04-30,9
2025-05-01,14
2025-05-02,19
2025-05-03,54
2025-05-04,60
2025-05-05,20
2025-05-06,12
2025-05-07,10
2025-05-08,10
2025-05-09,11
2025-05-10,53
2025-05-11,64
2025-05-12,16
2025-05-13,11
2025-05-14,9
2025-05-15,9
2025-05-16,30
2025-05-17,35
2025-05-18,56
2025-05-19,23
2025-05-20,26
2025-05-21,20
2025-05-22,12
2025-05-23,12
2025-05-24,24
2025-05-25,89
2025-05-26,19
2025-05-27,11
2025-05-28,9
2025-05-29,7
2025-05-30,6
2025-05-31,8
2025-06-01,6
2025-06-02,5
2025-06-03,5
2025-06-04,5
2025-06-05,5
2025-06-06,5
2025-06-07,6
2025-06-08,5
2025-06-09,5
2025-06-10,4
2025-06-11,4
2025-06-12,4
2025-06-13,4
2025-06-14,5
2025-06-15,5
2025-06-16,4
2025-06-17,4
2025-06-18,7
2025-06-19,5
2025-06-20,6
2025-06-21,5
2025-06-22,5
2025-06-23,4
2025-06-24,4
2025-06-25,4
2025-06-26,4
2025-06-27,4
2025-06-28,4
2025-06-29,5
2025-06-30,4
2025-07-01,4
2025-07-02,3
2025-07-03,5
2025-07-04,5
2025-07-05,5
2025-07-06,4
2025-07-07,5
2025-07-08,4
2025-07-09,4
2025-07-10,4
2025-07-11,5
2025-07-12,5
2025-07-13,8
2025-07-14,6
2025-07-15,5
2025-07-16,5
2025-07-17,9
2025-07-18,5
2025-07-19,14
2025-07-20,20
2025-07-21,12
2025-07-22,9
2025-07-23,8
2025-07-24,9
2025-07-25,9
2025-07-26,19
2025-07-27,17
2025-07-28,11
2025-07-29,17
2025-07-30,26
2025-07-31,28
2025-08-01,16
2025-08-02,8
2025-08-03,14
2025-08-04,8
2025-08-05,8
2025-08-06,11
2025-08-07,12
2025-08-08,14
2025-08-09,20
2025-08-10,22
2025-08-11,16
2025-08-12,11
2025-08-13,12
2025-08-14,16
2025-08-15,58
2025-08-16,95
2025-08-17,80
2025-08-18,23
2025-08-19,14
2025-08-20,12
2025-08-21,13
2025-08-22,29
2025-08-23,86
2025-08-24,69
2025-08-25,37
2025-08-26,16
2025-08-27,14
2025-08-28,12
2025-08-29,17
2025-08-30,82
2025-08-31,87
2025-09-01,22
2025-09-02,12
2025-09-03,8
2025-09-04,8
2025-09-05,7
2025-09-06,14
2025-09-07,8
2025-09-08,6
2025-09-09,6
2025-09-10,6
2025-09-11,7
2025-09-12,12
2025-09-13,82
2025-09-14,66
2025-09-15,14
2025-09-16,9
2025-09-17,8
2025-09-18,8
2025-09-19,13
2025-09-20,90
2025-09-21,69
2025-09-22,14
2025-09-23,10
2025-09-24,8
2025-09-25,8
2025-09-26,12
2025-09-27,86
2025-09-28,54
2025-09-29,17
2025-09-30,9
2025-10-01,7
2025-10-02,7
2025-10-03,18
2025-10-04,86
2025-10-05,60
2025-10-06,12
2025-10-07,7
2025-10-08,6
2025-10-09,6
2025-10-10,5
2025-10-11,12
2025-10-12,8
2025-10-13,6
2025-10-14,5
2025-10-15,6
2025-10-16,6
2025-10-17,10
2025-10-18,71
2025-10-19,70
2025-10-20,18
2025-10-21,9
2025-10-22,7
2025-10-23,7
2025-10-24,16
2025-10-25,94
2025-10-26,71
2025-10-27,17
2025-10-28,9
2025-10-29,13
2025-10-30,12
2025-10-31,16
2025-11-01,100
2025-11-02,67
2025-11-03,22
2025-11-04,15
2025-11-05,14
2025-11-06,14
2025-11-07,17
2025-11-08,97
2025-11-09,80
2025-11-10,24
2025-11-11,14
2025-11-12,14
2025-11-13,13
2025-11-14,11
2025-11-15,16
2025-11-16,13
2025-11-17,11
2025-11-18,11
2025-11-19,11
2025-11-20,12
2025-11-21,16
2025-11-22,81
2025-11-23,69
2025-11-24,32
2025-11-25,17
2025-11-26,14
2025-11-27,15
2025-11-28,17
2025-11-29,71
2025-11-30,89
2025-12-01,19
2025-12-02,42
2025-12-03,57
2025-12-04,35
2025-12-05,19
2025-12-06,95
2025-12-07,54
2025-12-08,30
2025-12-09,23
2025-12-10,16
2025-12-11,15
2025-12-12,19
2025-12-13,89
2025-12-14,72
2025-12-15,34
2025-12-16,19
2025-12-17,18
2025-12-18,16
2025-12-19,18
2025-12-20,85
2025-12-21,55
2025-12-22,22
2025-12-23,16
2025-12-24,15
2025-12-25,18
2025-12-26,42
2025-12-27,90
2025-12-28,50
2025-12-29,20
2025-12-30,61
2025-12-31,31
2026-01-01,65
2026-01-02,24
2026-01-03,69
2026-01-04,79
2026-01-05,21
2026-01-06,23
2026-01-07,58
2026-01-08,49
2026-01-09,22
