Time,monthly_gt
2021-12-26,46
2022-01-02,66
2022-01-09,76
2022-01-16,61
2022-01-23,67
2022-01-30,78
2022-02-06,81
2022-02-13,68
2022-02-20,66
2022-02-27,72
2022-03-06,65
2022-03-13,63
2022-03-20,64
2022-03-27,64
2022-04-03,69
2022-04-10,62
2022-04-17,69
2022-04-24,66
2022-05-01,72
2022-05-08,69
2022-05-15,59
2022-05-22,77
2022-05-29,71
2022-06-05,57
2022-06-12,52
2022-06-19,46
2022-06-26,51
2022-07-03,49
2022-07-10,52
2022-07-17,56
2022-07-24,54
2022-07-31,49
2022-08-07,49
2022-08-14,50
2022-08-21,62
2022-08-28,67
2022-09-04,76
2022-09-11,73
2022-09-18,77
2022-09-25,78
2022-10-02,73
2022-10-09,75
2022-10-16,84
2022-10-23,70
2022-10-30,79
2022-11-06,63
2022-11-13,77
2022-11-20,47
2022-11-27,89
2022-12-04,86
2022-12-11,90
2022-12-18,60
2022-12-25,54
2023-01-01,65
2023-01-08,74
2023-01-15,74
2023-01-22,78
2023-01-29,92
2023-02-05,78
2023-02-12,77
2023-02-19,71
2023-02-26,68
2023-03-05,65
2023-03-12,65
2023-03-19,84
2023-03-26,70
2023-04-02,68
2023-04-09,75
2023-04-16,70
2023-04-23,74
2023-04-30,70
2023-05-07,62
2023-05-14,63
2023-05-21,61
2023-05-28,54
2023-06-04,58
2023-06-11,48
2023-06-18,58
2023-06-25,56
2023-07-02,49
2023-07-09,46
2023-07-16,52
2023-07-23,53
2023-07-30,58
2023-08-06,57
2023-08-13,63
2023-08-20,69
2023-08-27,73
2023-09-03,70
2023-09-10,85
2023-09-17,85
2023-09-24,89
2023-10-01,77
2023-10-08,71
2023-10-15,87
2023-10-22,80
2023-10-29,84
2023-11-05,76
2023-11-12,86
2023-11-19,57
2023-11-26,94
2023-12-03,96
2023-12-10,100
2023-12-17,66
2023-12-24,56
2023-12-31,62
2024-01-07,79
2024-01-14,72
2024-01-21,82
2024-01-28,75
2024-02-04,83
2024-02-11,79
2024-02-18,87
2024-02-25,80
2024-03-03,75
2024-03-10,70
2024-03-17,64
2024-03-24,66
2024-03-31,64
2024-04-07,62
2024-04-14,73
2024-04-21,67
2024-04-28,72
2024-05-05,53
2024-05-12,55
2024-05-19,50
2024-05-26,55
2024-06-02,50
2024-06-09,46
2024-06-16,47
2024-06-23,52
2024-06-30,48
2024-07-07,51
2024-07-14,49
2024-07-21,44
2024-07-28,45
2024-08-04,47
2024-08-11,52
2024-08-18,69
2024-08-25,64
2024-09-01,66
2024-09-08,74
2024-09-15,68
2024-09-22,72
2024-09-29,75
2024-10-06,59
2024-10-13,60
2024-10-20,63
2024-10-27,76
2024-11-03,63
2024-11-10,71
2024-11-17,84
2024-11-24,46
2024-12-01,83
2024-12-08,92
2024-12-15,61
2024-12-22,53
2024-12-29,56
2025-01-05,64
2025-01-12,68
2025-01-19,59
2025-01-26,78
2025-02-02,79
2025-02-09,72
2025-02-16,77
2025-02-23,68
2025-03-02,62
2025-03-09,60
2025-03-16,62
2025-03-23,64
2025-03-30,60
2025-04-06,71
2025-04-13,69
2025-04-20,60
2025-04-27,56
2025-05-04,50
2025-05-11,52
2025-05-18,50
2025-05-25,45
2025-06-01,50
2025-06-08,46
2025-06-15,39
2025-06-22,46
2025-06-29,43
2025-07-06,45
2025-07-13,49
2025-07-20,46
2025-07-27,47
2025-08-03,45
2025-08-10,51
2025-08-17,56
2025-08-24,67
2025-08-31,59
2025-09-07,70
2025-09-14,83
2025-09-21,67
2025-09-28,68
2025-10-05,69
2025-10-12,64
2025-10-19,64
2025-10-26,70
2025-11-02,85
2025-11-09,95
2025-11-16,81
2025-11-23,47
2025-11-30,80
2025-12-07,80
2025-12-14,66
2025-12-21,77
2025-12-28,54
2026-01-04,72
2026-01-11,68
2026-01-18,77
2026-01-25,77
2026-02-01,86
2026-02-08,79
2026-02-15,73
2026-02-22,79
2026-03-01,69
2026-03-08,71
2026-03-15,71
2026-03-22,63
2026-03-29,66
2026-04-05,72
2026-04-12,76
2026-04-19,77
2026-04-26,65
2026-05-03,55
2026-05-10,62
2026-05-17,57
2026-05-24,60
2026-05-31,54
