Time,presidential election
2022-01-01,6
2022-01-02,7
2022-01-03,9
2022-01-04,11
2022-01-05,10
2022-01-06,11
2022-01-07,11
2022-01-08,8
2022-01-09,6
2022-01-10,9
2022-01-11,10
2022-01-12,11
2022-01-13,16
2022-01-14,9
2022-01-15,7
2022-01-16,8
2022-01-17,8
2022-01-18,10
2022-01-19,10
2022-01-20,12
2022-01-21,12
2022-01-22,7
2022-01-23,7
2022-01-24,14
2022-01-25,10
2022-01-26,10
2022-01-27,10
2022-01-28,10
2022-01-29,9
2022-01-30,9
2022-01-31,9
2022-02-01,10
2022-02-02,9
2022-02-03,9
2022-02-04,9
2022-02-05,9
2022-02-06,8
2022-02-07,11
2022-02-08,12
2022-02-09,11
2022-02-10,9
2022-02-11,11
2022-02-12,7
2022-02-13,8
2022-02-14,10
2022-02-15,13
2022-02-16,13
2022-02-17,11
2022-02-18,13
2022-02-19,8
2022-02-20,9
2022-02-21,11
2022-02-22,13
2022-02-23,12
2022-02-24,14
2022-02-25,13
2022-02-26,13
2022-02-27,13
2022-02-28,14
2022-03-01,13
2022-03-02,15
2022-03-03,12
2022-03-04,11
2022-03-05,10
2022-03-06,9
2022-03-07,13
2022-03-08,14
2022-03-09,29
2022-03-10,21
2022-03-11,15
2022-03-12,11
2022-03-13,11
2022-03-14,13
2022-03-15,11
2022-03-16,11
2022-03-17,10
2022-03-18,10
2022-03-19,9
2022-03-20,10
2022-03-21,11
2022-03-22,12
2022-03-23,12
2022-03-24,11
2022-03-25,15
2022-03-26,10
2022-03-27,11
2022-03-28,15
2022-03-29,16
2022-03-30,14
2022-03-31,17
2022-04-01,15
2022-04-02,10
2022-04-03,11
2022-04-04,18
2022-04-05,17
2022-04-06,17
2022-04-07,17
2022-04-08,21
2022-04-09,15
2022-04-10,51
2022-04-11,43
2022-04-12,20
2022-04-13,17
2022-04-14,18
2022-04-15,14
2022-04-16,12
2022-04-17,13
2022-04-18,19
2022-04-19,19
2022-04-20,23
2022-04-21,22
2022-04-22,22
2022-04-23,18
2022-04-24,100
2022-04-25,48
2022-04-26,22
2022-04-27,19
2022-04-28,20
2022-04-29,16
2022-04-30,10
2022-05-01,13
2022-05-02,19
2022-05-03,19
2022-05-04,20
2022-05-05,18
2022-05-06,16
2022-05-07,14
2022-05-08,14
2022-05-09,51
2022-05-10,33
2022-05-11,26
2022-05-12,17
2022-05-13,16
2022-05-14,9
2022-05-15,11
2022-05-16,16
2022-05-17,16
2022-05-18,18
2022-05-19,16
2022-05-20,14
2022-05-21,11
2022-05-22,10
2022-05-23,15
2022-05-24,16
2022-05-25,15
2022-05-26,12
2022-05-27,10
2022-05-28,8
2022-05-29,15
2022-05-30,13
2022-05-31,13
2022-06-01,13
2022-06-02,12
2022-06-03,11
2022-06-04,9
2022-06-05,10
2022-06-06,13
2022-06-07,14
2022-06-08,14
2022-06-09,12
2022-06-10,15
2022-06-11,11
2022-06-12,10
2022-06-13,16
2022-06-14,13
2022-06-15,14
2022-06-16,15
2022-06-17,13
2022-06-18,12
2022-06-19,18
2022-06-20,19
2022-06-21,16
2022-06-22,14
2022-06-23,13
2022-06-24,17
2022-06-25,15
2022-06-26,14
2022-06-27,13
2022-06-28,13
2022-06-29,14
2022-06-30,11
2022-07-01,10
2022-07-02,11
2022-07-03,11
2022-07-04,11
2022-07-05,11
2022-07-06,9
2022-07-07,11
2022-07-08,12
2022-07-09,11
2022-07-10,11
2022-07-11,12
2022-07-12,12
2022-07-13,11
2022-07-14,11
2022-07-15,13
2022-07-16,10
2022-07-17,11
2022-07-18,11
2022-07-19,9
2022-07-20,10
2022-07-21,13
2022-07-22,12
2022-07-23,10
2022-07-24,10
2022-07-25,11
2022-07-26,9
2022-07-27,10
2022-07-28,11
2022-07-29,9
2022-07-30,9
2022-07-31,9
2022-08-01,9
2022-08-02,9
2022-08-03,13
2022-08-04,10
2022-08-05,9
2022-08-06,8
2022-08-07,9
2022-08-08,8
2022-08-09,14
2022-08-10,13
2022-08-11,12
2022-08-12,12
2022-08-13,11
2022-08-14,11
2022-08-15,13
2022-08-16,11
2022-08-17,13
2022-08-18,10
2022-08-19,9
2022-08-20,9
2022-08-21,10
2022-08-22,9
2022-08-23,10
2022-08-24,11
2022-08-25,10
2022-08-26,10
2022-08-27,9
2022-08-28,8
2022-08-29,9
2022-08-30,10
2022-08-31,11
2022-09-01,10
2022-09-02,10
2022-09-03,8
2022-09-04,12
2022-09-05,11
2022-09-06,10
2022-09-07,12
2022-09-08,12
2022-09-09,10
2022-09-10,6
2022-09-11,7
2022-09-12,10
2022-09-13,10
2022-09-14,12
2022-09-15,12
2022-09-16,11
2022-09-17,9
2022-09-18,10
2022-09-19,13
2022-09-20,21
2022-09-21,15
2022-09-22,16
2022-09-23,12
2022-09-24,7
2022-09-25,9
2022-09-26,14
2022-09-27,13
