Pipeline Stage,Parameter,Baseline Value,Perturbed Value,Direction,Surviving N,Surviving Share,ARI vs Baseline,Run Status,Error
Control,NO_CHANGE (Proxy Control),N/A,N/A,Control,847,1.0,1.0,success,
Preprocessing,DENOISE_POLYORDER,2,3,Higher,847,1.0,0.4834663108410196,success,
Preprocessing,DENOISE_WINDOW,9,15,Higher,847,1.0,0.3199163831539617,success,
Preprocessing,DENOISE_WINDOW,9,21,Higher,847,1.0,0.31930180814238335,success,
Preprocessing,DENOISE_WINDOW,9,7,Lower,847,1.0,0.3933380548409766,success,
Preprocessing,DETREND_WINDOW,91,31,Lower,847,1.0,0.29087790308974826,success,
Preprocessing,DETREND_WINDOW,91,61,Lower,847,1.0,0.3508627745195593,success,
Filtering,MAX_INTERPOLATE_GAP,7,14,Higher,847,1.0,1.0,success,
Filtering,MAX_INTERPOLATE_GAP,7,21,Higher,847,1.0,1.0,success,
Filtering,MAX_MISSING_SHARE,0.02,0.05,Higher,847,1.0,1.0,success,
Filtering,MAX_MISSING_SHARE,0.02,0.1,Higher,847,1.0,1.0,success,
Filtering,MAX_ZERO_SHARE,0.5,0.3,Lower,762,0.8996458087367178,0.4686479481425016,success,
Filtering,MAX_ZERO_SHARE,0.5,0.45,Lower,823,0.9716646989374262,0.378289602388264,success,
Filtering,MAX_ZERO_SHARE,0.5,0.6,Higher,847,1.0,0.26113689756496566,success,
Representation,BREAKPOINT_MODE,empirical,gaussian,Alternative,847,1.0,0.333048429245828,success,
Representation,LINKAGE_METHOD,ward,average,Alternative,847,1.0,-0.005765826595349926,success,
Representation,LINKAGE_METHOD,ward,complete,Alternative,847,1.0,0.1312712924849097,success,
Representation,TIE_EPS,1e-06,0.0001,Higher,847,1.0,1.0,success,
Representation,TIE_EPS,1e-06,1e-05,Higher,847,1.0,1.0,success,
