year,start_date,end_date,n_days,ari_vs_final,mean_nearest_centroid_distance
2022,2022-01-01,2022-12-31,365,0.053723325377021215,10.842195163301465
2023,2023-01-01,2023-12-31,365,0.14080248332943754,6.819704652827007
2024,2024-01-01,2024-12-31,366,0.15398234483161752,10.15691146161947
2025,2025-01-01,2025-12-31,365,0.16534940999381864,6.003832742307331
