linkage_method,k,global_silhouette,minimum_cluster_silhouette,median_cluster_silhouette,negative_term_share,minimum_cluster_size,maximum_cluster_size,is_baseline_linkage,ari_vs_baseline
ward,10,0.10656927047622272,-0.04962574047391048,0.1902928350185967,0.3317591499409681,26,227,True,1.0
average,10,0.09104398138936254,0.0,0.07437165850515703,0.21251475796930341,1,826,False,-0.004982544414686873
single,10,0.07119869543822757,0.0,0.0,0.28689492325855964,1,835,False,-0.0005668316083323445
complete,10,0.03190372725788683,-0.20447936552667242,-0.06584289799217796,0.577331759149941,8,284,False,0.1521784036907547
