w,a,mean_tightness,silhouette,min_cluster_size,stability_median,ari_vs_baseline
48,5,0.001761677927659797,0.05739500234813089,20,0.3477375840857365,0.28355454770420346
48,7,0.0022982135360700676,0.04341907967350618,19,0.380570936371053,0.26347159295806943
48,9,0.002644907372131352,0.013410723484420552,23,0.3782006559482087,0.2957853396196468
48,11,0.002880720819781375,0.02925504644138321,23,0.4258423430184193,0.3066489977316688
64,5,0.0019426533085217727,0.007157066578867065,21,0.3324149251155649,0.32165857387284286
64,7,0.002511069534844405,-0.004602844945832831,25,0.35272901626690867,0.3105491301954436
64,9,0.002874112651234341,0.0012110774879570832,38,0.37049501625745285,0.3568706937284871
64,11,0.00313921244443152,0.002640038345914376,28,0.3661042012316915,0.34177771528469614
96,5,0.002189180340895561,0.034399401713290804,26,0.3766906188691449,0.37771657085527593
96,7,0.0028053652517209503,0.009160271316134913,25,0.38544482099611344,0.45481913969343196
96,9,0.0032088669644089077,0.014129920867931493,28,0.4687925752686758,1.0
96,11,0.003495327331628716,0.00947458355214789,19,0.45395257087709007,0.4528909339088024
128,5,0.00230192090080129,0.00842426500793396,26,0.3448318299988975,0.3845618642680787
128,7,0.00293269965154333,0.007095745961016848,20,0.3609357302896995,0.4173284745893373
128,9,0.0033485740897196605,0.006044002225970321,26,0.5064766891267567,0.4957843652568963
128,11,0.0036496329776437675,0.006010313907557307,27,0.40491000936173327,0.42020163213179246
