cluster,n_terms,silhouette_mean,silhouette_median,silhouette_p10,silhouette_p90,negative_silhouette_share,near_zero_silhouette_share,linkage_method
10,88,-0.1155692656942863,-0.10827935685592019,-0.1842871860391788,-0.06339637517324129,1.0,0.0,ward
8,301,-0.11336584782324662,-0.10183367829298431,-0.18760871229451564,-0.05549332193622037,1.0,0.0,ward
3,40,0.06451847788692823,0.0649424474927709,-0.02123022501756556,0.13678458625166098,0.175,0.45,ward
2,46,0.09668620303388774,0.1250281402653396,-0.048444999402742966,0.18771245045551813,0.13043478260869565,0.2608695652173913,ward
5,72,0.11182003460766055,0.12382392797873779,-0.010154180154946674,0.23771444474584805,0.125,0.3194444444444444,ward
4,58,0.17604818050253812,0.18689707647430392,0.03583075318243356,0.29433071693204044,0.05172413793103448,0.1206896551724138,ward
6,80,0.18227051964147795,0.18870994714252576,0.0973358399251283,0.25930125795514125,0.0125,0.1125,ward
9,47,0.1969038573954718,0.19360705557021404,0.024819380163107512,0.35535655266057703,0.0425531914893617,0.2553191489361702,ward
7,25,0.23973746934992474,0.23898825501998322,0.13954819382848355,0.3459084628916559,0.0,0.08,ward
1,90,0.2589149401571262,0.29437665573908534,0.0666603248304761,0.40304658452500064,0.011111111111111112,0.2111111111111111,ward
4,1,0.0,0.0,0.0,0.0,0.0,1.0,single
7,1,0.0,0.0,0.0,0.0,0.0,1.0,single
6,1,0.0,0.0,0.0,0.0,0.0,1.0,single
5,1,0.0,0.0,0.0,0.0,0.0,1.0,single
8,1,0.0,0.0,0.0,0.0,0.0,1.0,single
9,1,0.0,0.0,0.0,0.0,0.0,1.0,single
10,1,0.0,0.0,0.0,0.0,0.0,1.0,single
3,835,0.046804877168362784,0.0463670934667294,-0.04346321803279093,0.14186876235686738,0.24550898203592814,0.5365269461077844,single
2,3,0.636717521100305,0.6857740062425651,0.5626019269805003,0.6912105211632057,0.0,0.0,single
1,2,0.9594947651065737,0.9594947651065737,0.9591992180360298,0.9597903121771175,0.0,0.0,single
8,1,0.0,0.0,0.0,0.0,0.0,1.0,average
9,1,0.0,0.0,0.0,0.0,0.0,1.0,average
10,1,0.0,0.0,0.0,0.0,0.0,1.0,average
7,2,0.01572562661606665,0.01572562661606665,0.0032978345829382367,0.028153418649195065,0.0,1.0,average
4,2,0.030892745773448617,0.030892745773448617,0.006199963227885912,0.055585528319011326,0.0,1.0,average
3,4,0.04986331933880647,0.055949447091519416,0.011702921457714899,0.0831548150177277,0.25,0.75,average
6,828,0.0560762829074025,0.056173504754095424,-0.022516208604790547,0.13809807297392654,0.178743961352657,0.5797101449275363,average
5,2,0.19025043218441443,0.19025043218441443,0.1869746867478302,0.19352617762099866,0.0,0.0,average
2,4,0.43775162339240514,0.48984242718172955,0.29180814203377714,0.5420224617195737,0.0,0.0,average
1,2,0.9580174775890566,0.9580174775890566,0.9578625611660676,0.9581723940120456,0.0,0.0,average
8,71,-0.11167067975621678,-0.10241329679312373,-0.1616004972782744,-0.06529069112697307,1.0,0.0,complete
9,38,-0.0707011994476587,-0.05916052850639978,-0.11985183967769511,-0.030596283582228885,1.0,0.0,complete
2,95,-0.05141612706382096,-0.03625638599552187,-0.12944924458261375,0.004287902996012397,0.8421052631578947,0.15789473684210525,complete
7,284,-0.03884605730903048,-0.037381656819836524,-0.0954454358430131,0.024002321023793575,0.7852112676056338,0.2147887323943662,complete
5,8,-0.03407189910530908,-0.058709239929209914,-0.11165566725008948,0.0913641588393674,0.75,0.25,complete
3,9,-0.026797619583314516,-0.026071416099614327,-0.10957778170361214,0.05896486886095264,0.5555555555555556,0.4444444444444444,complete
4,109,0.06522951997201581,0.08198110959607224,-0.06185700321566299,0.1901116300829121,0.28440366972477066,0.29357798165137616,complete
6,61,0.09830776302457327,0.119725359607816,-0.06101648362754087,0.23445889375955556,0.2786885245901639,0.18032786885245902,complete
10,144,0.215175136909432,0.23492791949221659,0.05258231247331349,0.3782315250140283,0.0,0.25,complete
1,28,0.24767942408388932,0.2435378210900403,0.1475456875428001,0.3566676505063901,0.0,0.03571428571428571,complete
