cluster,n_terms,mean_within_consensus,median_within_consensus,p10_within_consensus,nearest_competing_cluster,max_mean_between_consensus,consensus_margin,manual_review_flag
3,227,0.3895683694995251,0.3875968992248062,0.11980830670926518,4,0.2725850768067651,0.11698329269276003,True
4,116,0.412874204820565,0.33050776583034647,0.08304802281225217,3,0.2725850768067651,0.14028912801379995,True
7,73,0.6229688745605495,0.5771022594921966,0.21562881562881564,2,0.046077685738233884,0.5768911888223156,False
8,74,0.6907095081792617,0.7233009708737864,0.3813291139240506,10,0.13202760105139935,0.5586819071278624,False
10,109,0.6945590109475355,0.7273411829134722,0.3574745241657548,3,0.2547543847514776,0.43980462619605787,False
2,115,0.6972221861770264,0.6807511737089202,0.3884297520661157,3,0.15332676248919516,0.5438954236878312,False
9,26,0.7456071660696876,0.6862123613312203,0.43375394321766564,3,0.23556101497950127,0.5100461510901864,False
1,42,0.7695196500995586,0.9461172741679873,0.27472527472527475,3,0.04827534378070069,0.7212443063188579,False
5,28,0.8865511498507962,1.0,0.33907624453591456,4,0.057485971360188015,0.8290651784906082,False
6,37,0.9544720130787147,0.9954198473282443,0.9230892307692308,4,0.04111639469874302,0.9133556183799716,False
