Time,michelle yeoh
2023-12-22,11
2023-12-23,13
2023-12-24,16
2023-12-25,22
2023-12-26,18
2023-12-27,21
2023-12-28,15
2023-12-29,16
2023-12-30,19
2023-12-31,23
2024-01-01,26
2024-01-02,92
2024-01-03,48
2024-01-04,37
2024-01-05,59
2024-01-06,88
2024-01-07,99
2024-01-08,100
2024-01-09,65
2024-01-10,51
2024-01-11,48
2024-01-12,51
2024-01-13,63
2024-01-14,65
2024-01-15,56
2024-01-16,46
2024-01-17,48
2024-01-18,43
2024-01-19,40
2024-01-20,53
2024-01-21,48
2024-01-22,34
2024-01-23,25
2024-01-24,66
2024-01-25,61
2024-01-26,49
2024-01-27,48
2024-01-28,40
2024-01-29,22
2024-01-30,24
2024-01-31,22
2024-02-01,26
2024-02-02,18
2024-02-03,25
2024-02-04,28
2024-02-05,18
2024-02-06,12
2024-02-07,20
2024-02-08,15
2024-02-09,18
2024-02-10,23
2024-02-11,35
2024-02-12,21
2024-02-13,18
2024-02-14,17
2024-02-15,20
2024-02-16,18
2024-02-17,20
2024-02-18,27
2024-02-19,19
2024-02-20,11
2024-02-21,13
2024-02-22,11
2024-02-23,11
2024-02-24,28
2024-02-25,44
2024-02-26,25
2024-02-27,16
2024-02-28,15
2024-02-29,19
2024-03-01,19
2024-03-02,22
2024-03-03,18
2024-03-04,15
2024-03-05,11
2024-03-06,12
2024-03-07,14
2024-03-08,14
2024-03-09,16
2024-03-10,57
2024-03-11,80
2024-03-12,60
2024-03-13,49
2024-03-14,29
2024-03-15,20
2024-03-16,23
2024-03-17,25
2024-03-18,14
2024-03-19,11
2024-03-20,11
2024-03-21,15
2024-03-22,12
2024-03-23,14
2024-03-24,25
2024-03-25,12
2024-03-26,11
2024-03-27,13
2024-03-28,18
2024-03-29,14
2024-03-30,18
2024-03-31,20
2024-04-01,16
2024-04-02,13
2024-04-03,11
2024-04-04,9
2024-04-05,10
2024-04-06,13
2024-04-07,15
2024-04-08,8
2024-04-09,8
2024-04-10,8
2024-04-11,11
2024-04-12,11
2024-04-13,11
2024-04-14,22
2024-04-15,10
2024-04-16,9
2024-04-17,10
2024-04-18,6
2024-04-19,9
2024-04-20,13
2024-04-21,10
2024-04-22,10
2024-04-23,8
2024-04-24,9
2024-04-25,9
2024-04-26,9
2024-04-27,12
2024-04-28,15
2024-04-29,9
2024-04-30,9
2024-05-01,10
2024-05-02,7
2024-05-03,38
2024-05-04,53
2024-05-05,31
2024-05-06,19
2024-05-07,41
2024-05-08,28
2024-05-09,24
2024-05-10,21
2024-05-11,13
2024-05-12,16
2024-05-13,17
2024-05-14,9
2024-05-15,10
2024-05-16,16
2024-05-17,11
2024-05-18,18
2024-05-19,15
2024-05-20,16
2024-05-21,14
2024-05-22,14
2024-05-23,6
2024-05-24,15
2024-05-25,15
2024-05-26,9
2024-05-27,13
2024-05-28,11
2024-05-29,8
2024-05-30,13
2024-05-31,14
2024-06-01,17
2024-06-02,15
2024-06-03,13
2024-06-04,8
2024-06-05,16
2024-06-06,13
2024-06-07,10
2024-06-08,16
2024-06-09,15
2024-06-10,15
2024-06-11,10
2024-06-12,12
2024-06-13,13
2024-06-14,11
2024-06-15,15
2024-06-16,11
2024-06-17,10
2024-06-18,7
2024-06-19,10
2024-06-20,8
2024-06-21,8
2024-06-22,9
2024-06-23,14
2024-06-24,8
2024-06-25,9
2024-06-26,7
2024-06-27,12
2024-06-28,11
2024-06-29,13
2024-06-30,14
2024-07-01,8
2024-07-02,8
2024-07-03,13
2024-07-04,11
2024-07-05,9
2024-07-06,13
2024-07-07,14
2024-07-08,8
2024-07-09,6
2024-07-10,10
2024-07-11,9
2024-07-12,8
2024-07-13,8
2024-07-14,9
2024-07-15,9
2024-07-16,5
2024-07-17,12
2024-07-18,6
2024-07-19,11
2024-07-20,10
2024-07-21,15
2024-07-22,11
2024-07-23,8
2024-07-24,5
2024-07-25,11
2024-07-26,28
2024-07-27,16
2024-07-28,18
2024-07-29,20
2024-07-30,11
2024-07-31,9
2024-08-01,8
2024-08-02,5
2024-08-03,9
2024-08-04,12
2024-08-05,10
2024-08-06,12
2024-08-07,12
2024-08-08,4
2024-08-09,9
2024-08-10,16
2024-08-11,11
2024-08-12,11
2024-08-13,13
2024-08-14,20
2024-08-15,11
2024-08-16,14
2024-08-17,12
2024-08-18,15
2024-08-19,12
2024-08-20,10
2024-08-21,7
2024-08-22,9
2024-08-23,8
2024-08-24,9
2024-08-25,9
2024-08-26,7
2024-08-27,8
2024-08-28,10
2024-08-29,6
2024-08-30,5
2024-08-31,8
2024-09-01,9
2024-09-02,10
2024-09-03,6
2024-09-04,4
2024-09-05,7
2024-09-06,6
2024-09-07,10
2024-09-08,8
2024-09-09,7
2024-09-10,4
2024-09-11,4
2024-09-12,6
2024-09-13,6
2024-09-14,6
2024-09-15,8
2024-09-16,8
