Time,stock market crash
2022-01-01,7
2022-01-02,9
2022-01-03,14
2022-01-04,16
2022-01-05,25
2022-01-06,18
2022-01-07,15
2022-01-08,14
2022-01-09,10
2022-01-10,24
2022-01-11,15
2022-01-12,17
2022-01-13,13
2022-01-14,15
2022-01-15,13
2022-01-16,9
2022-01-17,7
2022-01-18,20
2022-01-19,20
2022-01-20,24
2022-01-21,59
2022-01-22,62
2022-01-23,35
2022-01-24,100
2022-01-25,36
2022-01-26,26
2022-01-27,30
2022-01-28,31
2022-01-29,11
2022-01-30,12
2022-01-31,17
2022-02-01,18
2022-02-02,17
2022-02-03,21
2022-02-04,15
2022-02-05,11
2022-02-06,12
2022-02-07,17
2022-02-08,17
2022-02-09,16
2022-02-10,16
2022-02-11,23
2022-02-12,16
2022-02-13,15
2022-02-14,18
2022-02-15,19
2022-02-16,20
2022-02-17,20
2022-02-18,21
2022-02-19,15
2022-02-20,17
2022-02-21,17
2022-02-22,31
2022-02-23,25
2022-02-24,62
2022-02-25,28
2022-02-26,17
2022-02-27,12
2022-02-28,21
2022-03-01,21
2022-03-02,19
2022-03-03,18
2022-03-04,20
2022-03-05,12
2022-03-06,14
2022-03-07,30
2022-03-08,30
2022-03-09,19
2022-03-10,22
2022-03-11,17
2022-03-12,19
2022-03-13,16
2022-03-14,22
2022-03-15,21
2022-03-16,18
2022-03-17,15
2022-03-18,15
2022-03-19,10
2022-03-20,12
2022-03-21,17
2022-03-22,18
2022-03-23,19
2022-03-24,16
2022-03-25,23
2022-03-26,10
2022-03-27,12
2022-03-28,25
2022-03-29,26
2022-03-30,18
2022-03-31,26
2022-04-01,24
2022-04-02,10
2022-04-03,14
2022-04-04,24
2022-04-05,23
2022-04-06,25
2022-04-07,25
2022-04-08,22
2022-04-09,11
2022-04-10,12
2022-04-11,24
2022-04-12,25
2022-04-13,20
2022-04-14,22
2022-04-15,12
2022-04-16,8
2022-04-17,11
2022-04-18,20
2022-04-19,25
2022-04-20,23
2022-04-21,27
2022-04-22,30
2022-04-23,20
2022-04-24,21
2022-04-25,28
2022-04-26,37
2022-04-27,34
2022-04-28,29
2022-04-29,27
2022-04-30,25
2022-05-01,20
2022-05-02,33
2022-05-03,25
2022-05-04,24
2022-05-05,39
2022-05-06,41
2022-05-07,17
2022-05-08,17
2022-05-09,48
2022-05-10,45
2022-05-11,46
2022-05-12,60
2022-05-13,36
2022-05-14,13
2022-05-15,14
2022-05-16,23
2022-05-17,21
2022-05-18,35
2022-05-19,39
2022-05-20,33
2022-05-21,17
2022-05-22,18
2022-05-23,21
2022-05-24,25
2022-05-25,19
2022-05-26,15
2022-05-27,12
2022-05-28,9
2022-05-29,10
2022-05-30,11
2022-05-31,14
2022-06-01,11
2022-06-02,12
2022-06-03,13
2022-06-04,7
2022-06-05,12
2022-06-06,14
2022-06-07,15
2022-06-08,11
2022-06-09,13
2022-06-10,20
2022-06-11,15
2022-06-12,15
2022-06-13,56
2022-06-14,44
2022-06-15,27
2022-06-16,29
2022-06-17,22
2022-06-18,18
2022-06-19,19
2022-06-20,22
2022-06-21,17
2022-06-22,14
2022-06-23,12
2022-06-24,9
2022-06-25,6
2022-06-26,15
2022-06-27,12
2022-06-28,8
2022-06-29,9
2022-06-30,11
2022-07-01,10
2022-07-02,9
2022-07-03,9
2022-07-04,7
2022-07-05,8
2022-07-06,8
2022-07-07,9
2022-07-08,7
2022-07-09,5
2022-07-10,8
2022-07-11,9
2022-07-12,8
2022-07-13,9
2022-07-14,9
2022-07-15,6
2022-07-16,9
2022-07-17,10
2022-07-18,8
2022-07-19,8
2022-07-20,8
2022-07-21,6
2022-07-22,7
2022-07-23,7
2022-07-24,8
2022-07-25,5
2022-07-26,9
2022-07-27,8
2022-07-28,11
2022-07-29,9
2022-07-30,4
2022-07-31,8
2022-08-01,7
2022-08-02,8
2022-08-03,6
2022-08-04,7
2022-08-05,6
2022-08-06,5
2022-08-07,6
2022-08-08,7
2022-08-09,6
2022-08-10,8
2022-08-11,6
2022-08-12,5
2022-08-13,6
2022-08-14,4
2022-08-15,8
2022-08-16,9
2022-08-17,7
2022-08-18,6
2022-08-19,7
2022-08-20,5
2022-08-21,6
2022-08-22,10
2022-08-23,12
2022-08-24,7
2022-08-25,5
2022-08-26,10
2022-08-27,10
2022-08-28,7
2022-08-29,12
2022-08-30,11
2022-08-31,10
2022-09-01,11
2022-09-02,10
2022-09-03,9
2022-09-04,9
2022-09-05,8
2022-09-06,11
2022-09-07,9
2022-09-08,11
2022-09-09,9
2022-09-10,7
2022-09-11,7
2022-09-12,9
2022-09-13,27
2022-09-14,31
2022-09-15,16
2022-09-16,16
2022-09-17,12
2022-09-18,9
2022-09-19,14
2022-09-20,14
2022-09-21,17
2022-09-22,17
2022-09-23,26
2022-09-24,14
2022-09-25,12
2022-09-26,20
2022-09-27,16
