Time,weather channel
2023-12-22,16
2023-12-23,14
2023-12-24,14
2023-12-25,15
2023-12-26,20
2023-12-27,19
2023-12-28,18
2023-12-29,16
2023-12-30,14
2023-12-31,12
2024-01-01,14
2024-01-02,23
2024-01-03,31
2024-01-04,35
2024-01-05,43
2024-01-06,41
2024-01-07,30
2024-01-08,70
2024-01-09,100
2024-01-10,55
2024-01-11,61
2024-01-12,86
2024-01-13,46
2024-01-14,52
2024-01-15,66
2024-01-16,58
2024-01-17,44
2024-01-18,56
2024-01-19,47
2024-01-20,22
2024-01-21,24
2024-01-22,33
2024-01-23,28
2024-01-24,24
2024-01-25,23
2024-01-26,19
2024-01-27,16
2024-01-28,18
2024-01-29,18
2024-01-30,18
2024-01-31,17
2024-02-01,18
2024-02-02,18
2024-02-03,16
2024-02-04,19
2024-02-05,22
2024-02-06,18
2024-02-07,17
2024-02-08,20
2024-02-09,20
2024-02-10,18
2024-02-11,20
2024-02-12,42
2024-02-13,29
2024-02-14,16
2024-02-15,21
2024-02-16,25
2024-02-17,19
2024-02-18,14
2024-02-19,15
2024-02-20,15
2024-02-21,14
2024-02-22,17
2024-02-23,16
2024-02-24,11
2024-02-25,11
2024-02-26,19
2024-02-27,27
2024-02-28,34
2024-02-29,21
2024-03-01,20
2024-03-02,16
2024-03-03,16
2024-03-04,23
2024-03-05,22
2024-03-06,20
2024-03-07,22
2024-03-08,21
2024-03-09,17
2024-03-10,14
2024-03-11,16
2024-03-12,16
2024-03-13,21
2024-03-14,34
2024-03-15,30
2024-03-16,15
2024-03-17,14
2024-03-18,18
2024-03-19,17
2024-03-20,21
2024-03-21,23
2024-03-22,26
2024-03-23,21
2024-03-24,19
2024-03-25,24
2024-03-26,22
2024-03-27,20
2024-03-28,17
2024-03-29,15
2024-03-30,14
2024-03-31,16
2024-04-01,35
2024-04-02,63
2024-04-03,40
2024-04-04,22
2024-04-05,19
2024-04-06,13
2024-04-07,14
2024-04-08,25
2024-04-09,24
2024-04-10,28
2024-04-11,26
2024-04-12,19
2024-04-13,13
2024-04-14,14
2024-04-15,19
2024-04-16,26
2024-04-17,26
2024-04-18,21
2024-04-19,19
2024-04-20,14
2024-04-21,14
2024-04-22,15
2024-04-23,16
2024-04-24,16
2024-04-25,18
2024-04-26,27
2024-04-27,29
2024-04-28,29
2024-04-29,22
2024-04-30,23
2024-05-01,20
2024-05-02,26
2024-05-03,24
2024-05-04,24
2024-05-05,21
2024-05-06,29
2024-05-07,39
2024-05-08,49
2024-05-09,42
2024-05-10,23
2024-05-11,17
2024-05-12,17
2024-05-13,27
2024-05-14,26
2024-05-15,24
2024-05-16,28
2024-05-17,26
2024-05-18,19
2024-05-19,15
2024-05-20,22
2024-05-21,27
2024-05-22,32
2024-05-23,29
2024-05-24,27
2024-05-25,24
2024-05-26,37
2024-05-27,33
2024-05-28,29
2024-05-29,22
2024-05-30,22
2024-05-31,23
2024-06-01,19
2024-06-02,19
2024-06-03,21
2024-06-04,25
2024-06-05,31
2024-06-06,26
2024-06-07,17
2024-06-08,16
2024-06-09,16
2024-06-10,20
2024-06-11,19
2024-06-12,20
2024-06-13,24
2024-06-14,23
2024-06-15,14
2024-06-16,17
2024-06-17,29
2024-06-18,30
2024-06-19,28
2024-06-20,27
2024-06-21,24
2024-06-22,24
2024-06-23,29
2024-06-24,21
2024-06-25,25
2024-06-26,26
2024-06-27,25
2024-06-28,22
2024-06-29,26
2024-06-30,32
2024-07-01,29
2024-07-02,30
2024-07-03,33
2024-07-04,30
2024-07-05,37
2024-07-06,34
2024-07-07,36
2024-07-08,54
2024-07-09,32
2024-07-10,29
2024-07-11,23
2024-07-12,24
2024-07-13,19
2024-07-14,18
2024-07-15,27
2024-07-16,31
2024-07-17,29
2024-07-18,22
2024-07-19,17
2024-07-20,17
2024-07-21,18
2024-07-22,24
2024-07-23,24
2024-07-24,23
2024-07-25,21
2024-07-26,16
2024-07-27,13
2024-07-28,18
2024-07-29,24
2024-07-30,26
2024-07-31,28
2024-08-01,27
2024-08-02,35
2024-08-03,34
2024-08-04,42
2024-08-05,61
2024-08-06,58
2024-08-07,37
2024-08-08,34
2024-08-09,31
2024-08-10,14
2024-08-11,14
2024-08-12,18
2024-08-13,16
2024-08-14,18
2024-08-15,22
2024-08-16,23
2024-08-17,23
2024-08-18,21
2024-08-19,20
2024-08-20,14
2024-08-21,13
2024-08-22,15
2024-08-23,13
2024-08-24,11
2024-08-25,13
2024-08-26,21
2024-08-27,22
2024-08-28,22
2024-08-29,26
2024-08-30,24
2024-08-31,19
2024-09-01,17
2024-09-02,13
2024-09-03,16
2024-09-04,16
2024-09-05,18
2024-09-06,22
2024-09-07,15
2024-09-08,14
2024-09-09,28
2024-09-10,33
2024-09-11,39
2024-09-12,29
2024-09-13,19
2024-09-14,13
2024-09-15,13
2024-09-16,20
