Time,inter miami
2022-08-29,4
2022-08-30,5
2022-08-31,8
2022-09-01,11
2022-09-02,4
2022-09-03,6
2022-09-04,6
2022-09-05,4
2022-09-06,4
2022-09-07,4
2022-09-08,3
2022-09-09,2
2022-09-10,9
2022-09-11,16
2022-09-12,5
2022-09-13,10
2022-09-14,36
2022-09-15,5
2022-09-16,4
2022-09-17,6
2022-09-18,22
2022-09-19,15
2022-09-20,4
2022-09-21,5
2022-09-22,5
2022-09-23,6
2022-09-24,5
2022-09-25,3
2022-09-26,3
2022-09-27,4
2022-09-28,3
2022-09-29,4
2022-09-30,9
2022-10-01,22
2022-10-02,6
2022-10-03,9
2022-10-04,11
2022-10-05,15
2022-10-06,44
2022-10-07,7
2022-10-08,7
2022-10-09,32
2022-10-10,9
2022-10-11,6
2022-10-12,6
2022-10-13,4
2022-10-14,5
2022-10-15,6
2022-10-16,7
2022-10-17,26
2022-10-18,35
2022-10-19,4
2022-10-20,3
2022-10-21,5
2022-10-22,2
2022-10-23,4
2022-10-24,2
2022-10-25,2
2022-10-26,3
2022-10-27,1
2022-10-28,2
2022-10-29,3
2022-10-30,2
2022-10-31,24
2022-11-01,12
2022-11-02,8
2022-11-03,3
2022-11-04,3
2022-11-05,4
2022-11-06,4
2022-11-07,5
2022-11-08,2
2022-11-09,2
2022-11-10,3
2022-11-11,4
2022-11-12,3
2022-11-13,2
2022-11-14,2
2022-11-15,2
2022-11-16,2
2022-11-17,4
2022-11-18,4
2022-11-19,3
2022-11-20,3
2022-11-21,4
2022-11-22,4
2022-11-23,3
2022-11-24,2
2022-11-25,4
2022-11-26,4
2022-11-27,100
2022-11-28,46
2022-11-29,16
2022-11-30,11
2022-12-01,7
2022-12-02,7
2022-12-03,9
2022-12-04,5
2022-12-05,7
2022-12-06,7
2022-12-07,4
2022-12-08,3
2022-12-09,7
2022-12-10,6
2022-12-11,4
2022-12-12,4
2022-12-13,7
2022-12-14,7
2022-12-15,6
2022-12-16,5
2022-12-17,7
2022-12-18,23
2022-12-19,13
2022-12-20,12
2022-12-21,12
2022-12-22,9
2022-12-23,5
2022-12-24,4
2022-12-25,4
2022-12-26,4
2022-12-27,5
2022-12-28,4
2022-12-29,4
2022-12-30,5
2022-12-31,5
2023-01-01,3
2023-01-02,3
2023-01-03,4
2023-01-04,5
2023-01-05,4
2023-01-06,5
2023-01-07,6
2023-01-08,4
2023-01-09,3
2023-01-10,5
2023-01-11,4
2023-01-12,4
2023-01-13,4
2023-01-14,4
2023-01-15,5
2023-01-16,3
2023-01-17,4
2023-01-18,8
2023-01-19,5
2023-01-20,5
2023-01-21,11
2023-01-22,16
2023-01-23,6
2023-01-24,6
2023-01-25,5
2023-01-26,3
2023-01-27,4
2023-01-28,5
2023-01-29,5
2023-01-30,4
2023-01-31,5
2023-02-01,5
2023-02-02,5
2023-02-03,5
2023-02-04,3
2023-02-05,5
2023-02-06,4
2023-02-07,3
2023-02-08,3
2023-02-09,3
2023-02-10,3
2023-02-11,5
2023-02-12,5
2023-02-13,4
2023-02-14,3
2023-02-15,5
2023-02-16,10
2023-02-17,8
2023-02-18,12
2023-02-19,9
2023-02-20,6
2023-02-21,7
2023-02-22,7
2023-02-23,6
2023-02-24,7
2023-02-25,17
2023-02-26,40
2023-02-27,9
2023-02-28,7
2023-03-01,5
2023-03-02,6
2023-03-03,8
2023-03-04,16
2023-03-05,46
2023-03-06,8
2023-03-07,6
2023-03-08,6
2023-03-09,8
2023-03-10,6
2023-03-11,13
2023-03-12,23
2023-03-13,6
2023-03-14,5
2023-03-15,4
2023-03-16,5
2023-03-17,4
2023-03-18,10
2023-03-19,14
2023-03-20,5
2023-03-21,5
2023-03-22,5
2023-03-23,5
2023-03-24,5
2023-03-25,18
2023-03-26,24
2023-03-27,7
2023-03-28,5
2023-03-29,4
2023-03-30,4
2023-03-31,3
2023-04-01,11
2023-04-02,18
2023-04-03,4
2023-04-04,5
2023-04-05,6
2023-04-06,5
2023-04-07,6
2023-04-08,18
2023-04-09,19
2023-04-10,7
2023-04-11,6
2023-04-12,4
2023-04-13,4
2023-04-14,4
2023-04-15,6
2023-04-16,7
2023-04-17,5
2023-04-18,4
2023-04-19,5
2023-04-20,4
2023-04-21,4
2023-04-22,7
2023-04-23,21
2023-04-24,6
2023-04-25,4
2023-04-26,10
2023-04-27,20
2023-04-28,6
2023-04-29,11
2023-04-30,17
2023-05-01,5
2023-05-02,4
2023-05-03,7
2023-05-04,7
2023-05-05,6
2023-05-06,16
2023-05-07,29
2023-05-08,7
2023-05-09,10
2023-05-10,14
2023-05-11,7
2023-05-12,6
2023-05-13,20
2023-05-14,24
2023-05-15,6
2023-05-16,8
2023-05-17,8
2023-05-18,15
2023-05-19,8
2023-05-20,16
2023-05-21,21
2023-05-22,7
2023-05-23,12
2023-05-24,16
2023-05-25,7
