Time,ai
2022-01-01,38
2022-01-02,37
2022-01-03,38
2022-01-04,47
2022-01-05,42
2022-01-06,36
2022-01-07,42
2022-01-08,37
2022-01-09,36
2022-01-10,38
2022-01-11,40
2022-01-12,41
2022-01-13,46
2022-01-14,33
2022-01-15,35
2022-01-16,32
2022-01-17,34
2022-01-18,34
2022-01-19,41
2022-01-20,38
2022-01-21,38
2022-01-22,35
2022-01-23,33
2022-01-24,50
2022-01-25,39
2022-01-26,37
2022-01-27,38
2022-01-28,42
2022-01-29,35
2022-01-30,36
2022-01-31,39
2022-02-01,43
2022-02-02,40
2022-02-03,43
2022-02-04,40
2022-02-05,36
2022-02-06,38
2022-02-07,40
2022-02-08,43
2022-02-09,44
2022-02-10,34
2022-02-11,42
2022-02-12,35
2022-02-13,34
2022-02-14,36
2022-02-15,42
2022-02-16,42
2022-02-17,41
2022-02-18,45
2022-02-19,44
2022-02-20,41
2022-02-21,40
2022-02-22,41
2022-02-23,43
2022-02-24,38
2022-02-25,37
2022-02-26,35
2022-02-27,35
2022-02-28,39
2022-03-01,39
2022-03-02,43
2022-03-03,37
2022-03-04,38
2022-03-05,35
2022-03-06,35
2022-03-07,40
2022-03-08,39
2022-03-09,37
2022-03-10,37
2022-03-11,38
2022-03-12,36
2022-03-13,36
2022-03-14,39
2022-03-15,42
2022-03-16,40
2022-03-17,39
2022-03-18,37
2022-03-19,34
2022-03-20,35
2022-03-21,36
2022-03-22,41
2022-03-23,36
2022-03-24,40
2022-03-25,36
2022-03-26,34
2022-03-27,35
2022-03-28,39
2022-03-29,41
2022-03-30,40
2022-03-31,41
2022-04-01,40
2022-04-02,35
2022-04-03,38
2022-04-04,38
2022-04-05,36
2022-04-06,42
2022-04-07,40
2022-04-08,41
2022-04-09,38
2022-04-10,37
2022-04-11,42
2022-04-12,38
2022-04-13,40
2022-04-14,41
2022-04-15,43
2022-04-16,37
2022-04-17,36
2022-04-18,46
2022-04-19,42
2022-04-20,42
2022-04-21,41
2022-04-22,39
2022-04-23,35
2022-04-24,39
2022-04-25,39
2022-04-26,45
2022-04-27,45
2022-04-28,43
2022-04-29,39
2022-04-30,35
2022-05-01,38
2022-05-02,41
2022-05-03,49
2022-05-04,41
2022-05-05,41
2022-05-06,39
2022-05-07,36
2022-05-08,42
2022-05-09,41
2022-05-10,42
2022-05-11,48
2022-05-12,46
2022-05-13,41
2022-05-14,37
2022-05-15,35
2022-05-16,40
2022-05-17,40
2022-05-18,42
2022-05-19,41
2022-05-20,38
2022-05-21,36
2022-05-22,37
2022-05-23,41
2022-05-24,41
2022-05-25,40
2022-05-26,40
2022-05-27,41
2022-05-28,35
2022-05-29,38
2022-05-30,38
2022-05-31,42
2022-06-01,44
2022-06-02,44
2022-06-03,43
2022-06-04,39
2022-06-05,43
2022-06-06,45
2022-06-07,49
2022-06-08,56
2022-06-09,53
2022-06-10,56
2022-06-11,56
2022-06-12,99
2022-06-13,100
2022-06-14,87
2022-06-15,75
2022-06-16,71
2022-06-17,63
2022-06-18,60
2022-06-19,56
2022-06-20,58
2022-06-21,57
2022-06-22,56
2022-06-23,57
2022-06-24,54
2022-06-25,50
2022-06-26,51
2022-06-27,52
2022-06-28,50
2022-06-29,55
2022-06-30,51
2022-07-01,47
2022-07-02,43
2022-07-03,48
2022-07-04,45
2022-07-05,47
2022-07-06,52
2022-07-07,50
2022-07-08,47
2022-07-09,44
2022-07-10,50
2022-07-11,52
2022-07-12,51
2022-07-13,50
2022-07-14,48
2022-07-15,50
2022-07-16,44
2022-07-17,58
2022-07-18,47
2022-07-19,52
2022-07-20,48
2022-07-21,50
2022-07-22,47
2022-07-23,44
2022-07-24,43
2022-07-25,48
2022-07-26,54
2022-07-27,54
2022-07-28,49
2022-07-29,52
2022-07-30,46
2022-07-31,53
2022-08-01,50
2022-08-02,49
2022-08-03,52
2022-08-04,52
2022-08-05,61
2022-08-06,53
2022-08-07,54
2022-08-08,63
2022-08-09,65
2022-08-10,70
2022-08-11,68
2022-08-12,64
2022-08-13,56
2022-08-14,63
2022-08-15,64
2022-08-16,60
2022-08-17,55
2022-08-18,52
2022-08-19,50
2022-08-20,49
2022-08-21,48
2022-08-22,48
2022-08-23,55
2022-08-24,61
2022-08-25,59
2022-08-26,51
2022-08-27,52
2022-08-28,53
2022-08-29,59
2022-08-30,58
2022-08-31,57
2022-09-01,63
2022-09-02,57
2022-09-03,55
2022-09-04,57
2022-09-05,56
2022-09-06,69
2022-09-07,60
2022-09-08,58
2022-09-09,52
2022-09-10,49
2022-09-11,51
2022-09-12,61
2022-09-13,61
2022-09-14,62
2022-09-15,61
2022-09-16,57
2022-09-17,52
2022-09-18,55
2022-09-19,62
2022-09-20,63
2022-09-21,62
2022-09-22,60
2022-09-23,50
2022-09-24,53
2022-09-25,53
2022-09-26,53
2022-09-27,58
