Time,ai
2025-12-11,69
2025-12-12,58
2025-12-13,49
2025-12-14,45
2025-12-15,54
2025-12-16,58
2025-12-17,60
2025-12-18,56
2025-12-19,52
2025-12-20,45
2025-12-21,45
2025-12-22,47
2025-12-23,46
2025-12-24,45
2025-12-25,41
2025-12-26,45
2025-12-27,44
2025-12-28,43
2025-12-29,49
2025-12-30,47
2025-12-31,44
2026-01-01,44
2026-01-02,48
2026-01-03,45
2026-01-04,44
2026-01-05,48
2026-01-06,54
2026-01-07,56
2026-01-08,55
2026-01-09,56
2026-01-10,47
2026-01-11,48
2026-01-12,56
2026-01-13,60
2026-01-14,59
2026-01-15,59
2026-01-16,55
2026-01-17,49
2026-01-18,48
2026-01-19,52
2026-01-20,58
2026-01-21,62
2026-01-22,60
2026-01-23,57
2026-01-24,46
2026-01-25,49
2026-01-26,57
2026-01-27,52
2026-01-28,57
2026-01-29,62
2026-01-30,62
2026-01-31,56
2026-02-01,58
2026-02-02,64
2026-02-03,65
2026-02-04,68
2026-02-05,68
2026-02-06,64
2026-02-07,53
2026-02-08,54
2026-02-09,65
2026-02-10,63
2026-02-11,63
2026-02-12,67
2026-02-13,64
2026-02-14,59
2026-02-15,61
2026-02-16,64
2026-02-17,67
2026-02-18,66
2026-02-19,68
2026-02-20,60
2026-02-21,55
2026-02-22,53
2026-02-23,68
2026-02-24,68
2026-02-25,72
2026-02-26,80
2026-02-27,81
2026-02-28,54
2026-03-01,52
2026-03-02,83
2026-03-03,90
2026-03-04,86
2026-03-05,84
2026-03-06,74
2026-03-07,57
2026-03-08,62
2026-03-09,71
2026-03-10,79
2026-03-11,76
2026-03-12,74
2026-03-13,68
2026-03-14,60
2026-03-15,61
2026-03-16,69
2026-03-17,82
2026-03-18,83
2026-03-19,77
2026-03-20,72
2026-03-21,63
2026-03-22,63
2026-03-23,74
2026-03-24,74
2026-03-25,75
2026-03-26,81
2026-03-27,75
2026-03-28,65
2026-03-29,69
2026-03-30,76
2026-03-31,76
2026-04-01,77
2026-04-02,70
2026-04-03,67
2026-04-04,57
2026-04-05,61
2026-04-06,73
2026-04-07,71
2026-04-08,77
2026-04-09,75
2026-04-10,71
2026-04-11,61
2026-04-12,62
2026-04-13,76
2026-04-14,79
2026-04-15,76
2026-04-16,79
2026-04-17,100
2026-04-18,68
2026-04-19,63
2026-04-20,73
2026-04-21,77
2026-04-22,77
2026-04-23,77
2026-04-24,71
2026-04-25,61
2026-04-26,69
2026-04-27,78
2026-04-28,74
2026-04-29,77
2026-04-30,76
2026-05-01,70
2026-05-02,62
2026-05-03,63
2026-05-04,66
2026-05-05,75
2026-05-06,80
2026-05-07,78
2026-05-08,74
2026-05-09,64
2026-05-10,63
2026-05-11,75
2026-05-12,74
2026-05-13,83
2026-05-14,74
2026-05-15,73
2026-05-16,64
2026-05-17,64
2026-05-18,73
2026-05-19,72
2026-05-20,77
2026-05-21,73
2026-05-22,81
2026-05-23,73
2026-05-24,64
2026-05-25,69
2026-05-26,71
2026-05-27,79
2026-05-28,83
2026-05-29,76
2026-05-30,68
2026-05-31,74
