Time,ai
2023-04-26,74
2023-04-27,70
2023-04-28,66
2023-04-29,57
2023-04-30,60
2023-05-01,69
2023-05-02,76
2023-05-03,72
2023-05-04,77
2023-05-05,66
2023-05-06,66
2023-05-07,64
2023-05-08,70
2023-05-09,71
2023-05-10,78
2023-05-11,71
2023-05-12,70
2023-05-13,60
2023-05-14,57
2023-05-15,73
2023-05-16,75
2023-05-17,74
2023-05-18,70
2023-05-19,70
2023-05-20,60
2023-05-21,59
2023-05-22,66
2023-05-23,70
2023-05-24,65
2023-05-25,72
2023-05-26,66
2023-05-27,55
2023-05-28,64
2023-05-29,53
2023-05-30,66
2023-05-31,70
2023-06-01,65
2023-06-02,62
2023-06-03,51
2023-06-04,53
2023-06-05,59
2023-06-06,60
2023-06-07,61
2023-06-08,61
2023-06-09,57
2023-06-10,52
2023-06-11,64
2023-06-12,68
2023-06-13,69
2023-06-14,71
2023-06-15,67
2023-06-16,60
2023-06-17,57
2023-06-18,54
2023-06-19,59
2023-06-20,62
2023-06-21,62
2023-06-22,62
2023-06-23,58
2023-06-24,50
2023-06-25,53
2023-06-26,59
2023-06-27,59
2023-06-28,60
2023-06-29,60
2023-06-30,56
2023-07-01,48
2023-07-02,49
2023-07-03,52
2023-07-04,52
2023-07-05,64
2023-07-06,58
2023-07-07,57
2023-07-08,53
2023-07-09,58
2023-07-10,66
2023-07-11,70
2023-07-12,68
2023-07-13,70
2023-07-14,66
2023-07-15,58
2023-07-16,59
2023-07-17,70
2023-07-18,69
2023-07-19,66
2023-07-20,79
2023-07-21,80
2023-07-22,55
2023-07-23,56
2023-07-24,62
2023-07-25,63
2023-07-26,66
2023-07-27,61
2023-07-28,60
2023-07-29,54
2023-07-30,51
2023-07-31,58
2023-08-01,58
2023-08-02,57
2023-08-03,57
2023-08-04,55
2023-08-05,48
2023-08-06,50
2023-08-07,58
2023-08-08,60
2023-08-09,58
2023-08-10,57
2023-08-11,58
2023-08-12,47
2023-08-13,51
2023-08-14,56
2023-08-15,60
2023-08-16,100
2023-08-17,61
2023-08-18,56
2023-08-19,50
2023-08-20,48
2023-08-21,56
2023-08-22,60
2023-08-23,62
2023-08-24,57
2023-08-25,55
2023-08-26,48
2023-08-27,53
2023-08-28,56
2023-08-29,59
2023-08-30,60
2023-08-31,60
2023-09-01,52
2023-09-02,47
2023-09-03,49
2023-09-04,53
2023-09-05,56
2023-09-06,58
2023-09-07,61
2023-09-08,55
2023-09-09,50
2023-09-10,50
2023-09-11,62
2023-09-12,62
2023-09-13,66
2023-09-14,66
2023-09-15,60
2023-09-16,49
2023-09-17,53
2023-09-18,62
2023-09-19,64
2023-09-20,63
2023-09-21,62
2023-09-22,60
2023-09-23,54
2023-09-24,55
2023-09-25,64
2023-09-26,64
2023-09-27,65
2023-09-28,65
2023-09-29,64
2023-09-30,54
2023-10-01,60
2023-10-02,71
2023-10-03,76
2023-10-04,78
2023-10-05,78
2023-10-06,71
2023-10-07,62
2023-10-08,65
2023-10-09,74
2023-10-10,72
2023-10-11,73
2023-10-12,74
2023-10-13,65
2023-10-14,60
2023-10-15,63
2023-10-16,70
2023-10-17,72
2023-10-18,71
2023-10-19,67
2023-10-20,67
2023-10-21,57
2023-10-22,60
2023-10-23,71
2023-10-24,74
2023-10-25,72
2023-10-26,71
2023-10-27,68
2023-10-28,58
2023-10-29,57
2023-10-30,74
2023-10-31,74
2023-11-01,76
2023-11-02,72
2023-11-03,73
2023-11-04,61
2023-11-05,63
2023-11-06,78
2023-11-07,77
2023-11-08,82
2023-11-09,79
2023-11-10,72
2023-11-11,62
2023-11-12,65
2023-11-13,74
2023-11-14,76
2023-11-15,78
2023-11-16,76
2023-11-17,72
2023-11-18,72
2023-11-19,64
2023-11-20,80
2023-11-21,71
2023-11-22,71
2023-11-23,62
2023-11-24,57
2023-11-25,56
2023-11-26,63
2023-11-27,75
2023-11-28,77
2023-11-29,73
2023-11-30,76
2023-12-01,74
2023-12-02,62
2023-12-03,61
2023-12-04,75
2023-12-05,78
2023-12-06,82
2023-12-07,80
2023-12-08,76
2023-12-09,74
2023-12-10,68
2023-12-11,80
2023-12-12,79
2023-12-13,78
2023-12-14,79
2023-12-15,71
2023-12-16,58
2023-12-17,58
2023-12-18,67
2023-12-19,79
2023-12-20,74
2023-12-21,73
2023-12-22,59
2023-12-23,58
2023-12-24,55
2023-12-25,49
2023-12-26,55
2023-12-27,60
2023-12-28,61
2023-12-29,60
2023-12-30,54
2023-12-31,54
2024-01-01,57
2024-01-02,64
2024-01-03,68
2024-01-04,69
2024-01-05,66
2024-01-06,59
2024-01-07,59
2024-01-08,66
2024-01-09,71
2024-01-10,73
2024-01-11,75
2024-01-12,70
2024-01-13,58
2024-01-14,58
2024-01-15,64
2024-01-16,70
2024-01-17,78
2024-01-18,74
2024-01-19,72
2024-01-20,64
