Time,popeyes
2024-08-18,61
2024-08-19,46
2024-08-20,44
2024-08-21,44
2024-08-22,44
2024-08-23,53
2024-08-24,57
2024-08-25,57
2024-08-26,43
2024-08-27,42
2024-08-28,42
2024-08-29,46
2024-08-30,51
2024-08-31,54
2024-09-01,61
2024-09-02,54
2024-09-03,41
2024-09-04,39
2024-09-05,43
2024-09-06,46
2024-09-07,60
2024-09-08,54
2024-09-09,38
2024-09-10,41
2024-09-11,40
2024-09-12,44
2024-09-13,45
2024-09-14,51
2024-09-15,51
2024-09-16,39
2024-09-17,40
2024-09-18,42
2024-09-19,45
2024-09-20,45
2024-09-21,53
2024-09-22,52
2024-09-23,37
2024-09-24,40
2024-09-25,38
2024-09-26,41
2024-09-27,43
2024-09-28,53
2024-09-29,53
2024-09-30,38
2024-10-01,38
2024-10-02,38
2024-10-03,41
2024-10-04,46
2024-10-05,52
2024-10-06,54
2024-10-07,38
2024-10-08,41
2024-10-09,41
2024-10-10,43
2024-10-11,48
2024-10-12,53
2024-10-13,56
2024-10-14,43
2024-10-15,44
2024-10-16,44
2024-10-17,44
2024-10-18,49
2024-10-19,62
2024-10-20,56
2024-10-21,41
2024-10-22,42
2024-10-23,45
2024-10-24,45
2024-10-25,52
2024-10-26,65
2024-10-27,61
2024-10-28,43
2024-10-29,45
2024-10-30,46
2024-10-31,47
2024-11-01,59
2024-11-02,59
2024-11-03,63
2024-11-04,46
2024-11-05,48
2024-11-06,33
2024-11-07,48
2024-11-08,58
2024-11-09,66
2024-11-10,63
2024-11-11,51
2024-11-12,48
2024-11-13,50
2024-11-14,50
2024-11-15,53
2024-11-16,61
2024-11-17,64
2024-11-18,51
2024-11-19,49
2024-11-20,55
2024-11-21,50
2024-11-22,58
2024-11-23,69
2024-11-24,69
2024-11-25,54
2024-11-26,61
2024-11-27,68
2024-11-28,82
2024-11-29,38
2024-11-30,45
2024-12-01,48
2024-12-02,38
2024-12-03,38
2024-12-04,39
2024-12-05,39
2024-12-06,42
2024-12-07,51
2024-12-08,52
2024-12-09,37
2024-12-10,40
2024-12-11,42
2024-12-12,43
2024-12-13,46
2024-12-14,51
2024-12-15,56
2024-12-16,39
2024-12-17,41
2024-12-18,42
2024-12-19,44
2024-12-20,50
2024-12-21,55
2024-12-22,55
2024-12-23,51
2024-12-24,62
2024-12-25,70
2024-12-26,45
2024-12-27,47
2024-12-28,51
2024-12-29,52
2024-12-30,46
2024-12-31,53
2025-01-01,62
2025-01-02,43
2025-01-03,44
2025-01-04,47
2025-01-05,49
2025-01-06,35
2025-01-07,36
2025-01-08,37
2025-01-09,40
2025-01-10,39
2025-01-11,45
2025-01-12,49
2025-01-13,34
2025-01-14,37
2025-01-15,39
2025-01-16,39
2025-01-17,43
2025-01-18,51
2025-01-19,47
2025-01-20,43
2025-01-21,40
2025-01-22,41
2025-01-23,44
2025-01-24,51
2025-01-25,68
2025-01-26,66
2025-01-27,49
2025-01-28,65
2025-01-29,72
2025-01-30,94
2025-01-31,90
2025-02-01,100
2025-02-02,79
2025-02-03,53
2025-02-04,48
2025-02-05,50
2025-02-06,50
2025-02-07,47
2025-02-08,58
2025-02-09,60
2025-02-10,37
2025-02-11,39
2025-02-12,40
2025-02-13,38
2025-02-14,42
2025-02-15,47
2025-02-16,49
2025-02-17,43
2025-02-18,40
2025-02-19,40
2025-02-20,40
2025-02-21,43
2025-02-22,52
2025-02-23,57
2025-02-24,39
2025-02-25,39
2025-02-26,39
2025-02-27,43
2025-02-28,44
2025-03-01,51
2025-03-02,53
2025-03-03,41
2025-03-04,44
2025-03-05,44
2025-03-06,41
2025-03-07,47
2025-03-08,52
2025-03-09,53
2025-03-10,39
2025-03-11,43
2025-03-12,43
2025-03-13,43
2025-03-14,49
2025-03-15,56
2025-03-16,56
2025-03-17,40
2025-03-18,37
2025-03-19,40
2025-03-20,41
2025-03-21,43
2025-03-22,52
2025-03-23,51
2025-03-24,36
2025-03-25,39
2025-03-26,41
2025-03-27,40
2025-03-28,48
2025-03-29,54
2025-03-30,52
2025-03-31,39
2025-04-01,52
2025-04-02,57
2025-04-03,57
2025-04-04,64
2025-04-05,65
2025-04-06,65
2025-04-07,51
2025-04-08,46
2025-04-09,49
2025-04-10,52
2025-04-11,57
2025-04-12,65
2025-04-13,60
2025-04-14,45
2025-04-15,44
2025-04-16,45
2025-04-17,49
2025-04-18,54
2025-04-19,58
2025-04-20,65
2025-04-21,47
2025-04-22,41
2025-04-23,40
2025-04-24,41
2025-04-25,44
2025-04-26,51
2025-04-27,54
2025-04-28,40
2025-04-29,43
2025-04-30,45
2025-05-01,46
2025-05-02,48
2025-05-03,54
2025-05-04,58
2025-05-05,40
2025-05-06,42
2025-05-07,50
2025-05-08,44
2025-05-09,45
2025-05-10,52
2025-05-11,53
2025-05-12,41
2025-05-13,41
2025-05-14,41
