Time,popeyes
2023-04-26,52
2023-04-27,53
2023-04-28,56
2023-04-29,71
2023-04-30,65
2023-05-01,55
2023-05-02,60
2023-05-03,57
2023-05-04,55
2023-05-05,61
2023-05-06,68
2023-05-07,72
2023-05-08,57
2023-05-09,53
2023-05-10,54
2023-05-11,55
2023-05-12,61
2023-05-13,70
2023-05-14,71
2023-05-15,51
2023-05-16,56
2023-05-17,54
2023-05-18,57
2023-05-19,56
2023-05-20,67
2023-05-21,69
2023-05-22,52
2023-05-23,58
2023-05-24,57
2023-05-25,60
2023-05-26,61
2023-05-27,76
2023-05-28,69
2023-05-29,68
2023-05-30,56
2023-05-31,59
2023-06-01,57
2023-06-02,63
2023-06-03,73
2023-06-04,71
2023-06-05,58
2023-06-06,56
2023-06-07,62
2023-06-08,60
2023-06-09,66
2023-06-10,72
2023-06-11,67
2023-06-12,56
2023-06-13,61
2023-06-14,60
2023-06-15,64
2023-06-16,63
2023-06-17,71
2023-06-18,77
2023-06-19,57
2023-06-20,58
2023-06-21,57
2023-06-22,55
2023-06-23,63
2023-06-24,71
2023-06-25,73
2023-06-26,56
2023-06-27,55
2023-06-28,60
2023-06-29,66
2023-06-30,62
2023-07-01,69
2023-07-02,85
2023-07-03,61
2023-07-04,84
2023-07-05,56
2023-07-06,63
2023-07-07,66
2023-07-08,72
2023-07-09,75
2023-07-10,62
2023-07-11,55
2023-07-12,59
2023-07-13,66
2023-07-14,65
2023-07-15,68
2023-07-16,72
2023-07-17,59
2023-07-18,55
2023-07-19,64
2023-07-20,61
2023-07-21,66
2023-07-22,80
2023-07-23,83
2023-07-24,79
2023-07-25,65
2023-07-26,64
2023-07-27,76
2023-07-28,68
2023-07-29,78
2023-07-30,78
2023-07-31,64
2023-08-01,61
2023-08-02,60
2023-08-03,63
2023-08-04,67
2023-08-05,73
2023-08-06,77
2023-08-07,59
2023-08-08,55
2023-08-09,56
2023-08-10,58
2023-08-11,63
2023-08-12,75
2023-08-13,76
2023-08-14,56
2023-08-15,55
2023-08-16,56
2023-08-17,64
2023-08-18,60
2023-08-19,65
2023-08-20,77
2023-08-21,55
2023-08-22,56
2023-08-23,61
2023-08-24,61
2023-08-25,64
2023-08-26,72
2023-08-27,74
2023-08-28,56
2023-08-29,61
2023-08-30,57
2023-08-31,60
2023-09-01,67
2023-09-02,73
2023-09-03,70
2023-09-04,71
2023-09-05,55
2023-09-06,53
2023-09-07,56
2023-09-08,57
2023-09-09,68
2023-09-10,69
2023-09-11,53
2023-09-12,49
2023-09-13,54
2023-09-14,54
2023-09-15,58
2023-09-16,74
2023-09-17,67
2023-09-18,50
2023-09-19,52
2023-09-20,49
2023-09-21,54
2023-09-22,59
2023-09-23,65
2023-09-24,71
2023-09-25,52
2023-09-26,53
2023-09-27,52
2023-09-28,53
2023-09-29,64
2023-09-30,69
2023-10-01,68
2023-10-02,51
2023-10-03,51
2023-10-04,51
2023-10-05,51
2023-10-06,52
2023-10-07,64
2023-10-08,70
2023-10-09,54
2023-10-10,46
2023-10-11,47
2023-10-12,53
2023-10-13,59
2023-10-14,67
2023-10-15,67
2023-10-16,49
2023-10-17,51
2023-10-18,52
2023-10-19,54
2023-10-20,60
2023-10-21,65
2023-10-22,69
2023-10-23,51
2023-10-24,55
2023-10-25,51
2023-10-26,54
2023-10-27,58
2023-10-28,65
2023-10-29,73
2023-10-30,54
2023-10-31,54
2023-11-01,62
2023-11-02,61
2023-11-03,66
2023-11-04,75
2023-11-05,79
2023-11-06,61
2023-11-07,63
2023-11-08,62
2023-11-09,67
2023-11-10,66
2023-11-11,79
2023-11-12,83
2023-11-13,64
2023-11-14,65
2023-11-15,64
2023-11-16,69
2023-11-17,72
2023-11-18,80
2023-11-19,88
2023-11-20,72
2023-11-21,79
2023-11-22,87
2023-11-23,100
2023-11-24,49
2023-11-25,55
2023-11-26,67
2023-11-27,51
2023-11-28,52
2023-11-29,53
2023-11-30,56
2023-12-01,62
2023-12-02,71
2023-12-03,67
2023-12-04,52
2023-12-05,56
2023-12-06,56
2023-12-07,55
2023-12-08,60
2023-12-09,63
2023-12-10,70
2023-12-11,53
2023-12-12,53
2023-12-13,51
2023-12-14,53
2023-12-15,58
2023-12-16,72
2023-12-17,77
2023-12-18,53
2023-12-19,54
2023-12-20,62
2023-12-21,68
2023-12-22,66
2023-12-23,77
2023-12-24,95
2023-12-25,86
2023-12-26,56
2023-12-27,52
2023-12-28,58
2023-12-29,62
2023-12-30,67
2023-12-31,74
2024-01-01,78
2024-01-02,54
2024-01-03,50
2024-01-04,56
2024-01-05,55
2024-01-06,66
2024-01-07,68
2024-01-08,48
2024-01-09,46
2024-01-10,50
2024-01-11,57
2024-01-12,52
2024-01-13,67
2024-01-14,61
2024-01-15,53
2024-01-16,48
2024-01-17,51
2024-01-18,50
2024-01-19,54
2024-01-20,69
