Time,cubs
2023-12-22,11
2023-12-23,10
2023-12-24,9
2023-12-25,9
2023-12-26,9
2023-12-27,9
2023-12-28,9
2023-12-29,9
2023-12-30,10
2023-12-31,8
2024-01-01,9
2024-01-02,8
2024-01-03,9
2024-01-04,9
2024-01-05,8
2024-01-06,9
2024-01-07,9
2024-01-08,8
2024-01-09,10
2024-01-10,15
2024-01-11,13
2024-01-12,12
2024-01-13,14
2024-01-14,11
2024-01-15,10
2024-01-16,10
2024-01-17,10
2024-01-18,10
2024-01-19,10
2024-01-20,10
2024-01-21,9
2024-01-22,10
2024-01-23,10
2024-01-24,11
2024-01-25,10
2024-01-26,9
2024-01-27,11
2024-01-28,11
2024-01-29,9
2024-01-30,11
2024-01-31,10
2024-02-01,10
2024-02-02,10
2024-02-03,10
2024-02-04,11
2024-02-05,10
2024-02-06,10
2024-02-07,10
2024-02-08,10
2024-02-09,9
2024-02-10,10
2024-02-11,9
2024-02-12,9
2024-02-13,11
2024-02-14,11
2024-02-15,11
2024-02-16,11
2024-02-17,12
2024-02-18,12
2024-02-19,12
2024-02-20,12
2024-02-21,12
2024-02-22,14
2024-02-23,23
2024-02-24,25
2024-02-25,26
2024-02-26,19
2024-02-27,18
2024-02-28,15
2024-02-29,16
2024-03-01,16
2024-03-02,17
2024-03-03,17
2024-03-04,14
2024-03-05,13
2024-03-06,14
2024-03-07,13
2024-03-08,17
2024-03-09,16
2024-03-10,16
2024-03-11,12
2024-03-12,12
2024-03-13,18
2024-03-14,14
2024-03-15,14
2024-03-16,16
2024-03-17,16
2024-03-18,12
2024-03-19,13
2024-03-20,15
2024-03-21,14
2024-03-22,14
2024-03-23,15
2024-03-24,17
2024-03-25,16
2024-03-26,16
2024-03-27,16
2024-03-28,38
2024-03-29,73
2024-03-30,35
2024-03-31,67
2024-04-01,62
2024-04-02,34
2024-04-03,50
2024-04-04,45
2024-04-05,55
2024-04-06,66
2024-04-07,83
2024-04-08,33
2024-04-09,47
2024-04-10,50
2024-04-11,29
2024-04-12,23
2024-04-13,45
2024-04-14,62
2024-04-15,27
2024-04-16,46
2024-04-17,62
2024-04-18,40
2024-04-19,52
2024-04-20,59
2024-04-21,70
2024-04-22,25
2024-04-23,27
2024-04-24,47
2024-04-25,64
2024-04-26,30
2024-04-27,64
2024-04-28,46
2024-04-29,44
2024-04-30,39
2024-05-01,35
2024-05-02,54
2024-05-03,48
2024-05-04,53
2024-05-05,55
2024-05-06,32
2024-05-07,50
2024-05-08,59
2024-05-09,24
2024-05-10,31
2024-05-11,79
2024-05-12,77
2024-05-13,29
2024-05-14,42
2024-05-15,39
2024-05-16,41
2024-05-17,61
2024-05-18,50
2024-05-19,51
2024-05-20,24
2024-05-21,28
2024-05-22,54
2024-05-23,54
2024-05-24,29
2024-05-25,64
2024-05-26,63
2024-05-27,83
2024-05-28,27
2024-05-29,47
2024-05-30,53
2024-05-31,45
2024-06-01,45
2024-06-02,100
2024-06-03,24
2024-06-04,30
2024-06-05,64
2024-06-06,63
2024-06-07,41
2024-06-08,56
2024-06-09,45
2024-06-10,23
2024-06-11,27
2024-06-12,35
2024-06-13,40
2024-06-14,54
2024-06-15,45
2024-06-16,62
2024-06-17,28
2024-06-18,46
2024-06-19,59
2024-06-20,25
2024-06-21,46
2024-06-22,42
2024-06-23,42
2024-06-24,42
2024-06-25,38
2024-06-26,32
2024-06-27,46
2024-06-28,26
2024-06-29,55
2024-06-30,40
2024-07-01,23
2024-07-02,25
2024-07-03,42
2024-07-04,68
2024-07-05,43
2024-07-06,39
2024-07-07,36
2024-07-08,21
2024-07-09,24
2024-07-10,33
2024-07-11,42
2024-07-12,36
2024-07-13,77
2024-07-14,63
2024-07-15,25
2024-07-16,16
2024-07-17,17
2024-07-18,19
2024-07-19,36
2024-07-20,30
2024-07-21,58
2024-07-22,27
2024-07-23,41
2024-07-24,58
2024-07-25,23
2024-07-26,22
2024-07-27,38
2024-07-28,62
2024-07-29,31
2024-07-30,43
2024-07-31,33
2024-08-01,32
2024-08-02,63
2024-08-03,46
2024-08-04,34
2024-08-05,44
2024-08-06,34
2024-08-07,49
2024-08-08,24
2024-08-09,24
2024-08-10,57
2024-08-11,49
2024-08-12,27
2024-08-13,34
2024-08-14,31
2024-08-15,26
2024-08-16,40
2024-08-17,43
2024-08-18,41
2024-08-19,21
2024-08-20,22
2024-08-21,32
2024-08-22,47
2024-08-23,25
2024-08-24,53
2024-08-25,40
2024-08-26,24
2024-08-27,38
2024-08-28,55
2024-08-29,27
2024-08-30,26
2024-08-31,51
2024-09-01,50
2024-09-02,39
2024-09-03,39
2024-09-04,37
2024-09-05,38
2024-09-06,40
2024-09-07,38
2024-09-08,41
2024-09-09,20
2024-09-10,35
2024-09-11,43
2024-09-12,43
2024-09-13,21
2024-09-14,36
2024-09-15,46
2024-09-16,23
