Time,cubs
2025-04-15,13
2025-04-16,15
2025-04-17,6
2025-04-18,16
2025-04-19,16
2025-04-20,18
2025-04-21,6
2025-04-22,8
2025-04-23,20
2025-04-24,14
2025-04-25,17
2025-04-26,16
2025-04-27,11
2025-04-28,12
2025-04-29,7
2025-04-30,10
2025-05-01,17
2025-05-02,9
2025-05-03,18
2025-05-04,18
2025-05-05,7
2025-05-06,13
2025-05-07,18
2025-05-08,8
2025-05-09,9
2025-05-10,13
2025-05-11,22
2025-05-12,7
2025-05-13,12
2025-05-14,14
2025-05-15,9
2025-05-16,15
2025-05-17,18
2025-05-18,17
2025-05-19,9
2025-05-20,11
2025-05-21,14
2025-05-22,6
2025-05-23,8
2025-05-24,19
2025-05-25,16
2025-05-26,15
2025-05-27,8
2025-05-28,15
2025-05-29,12
2025-05-30,13
2025-05-31,15
2025-06-01,15
2025-06-02,7
2025-06-03,8
2025-06-04,12
2025-06-05,10
2025-06-06,14
2025-06-07,20
2025-06-08,15
2025-06-09,9
2025-06-10,13
2025-06-11,15
2025-06-12,8
2025-06-13,19
2025-06-14,13
2025-06-15,15
2025-06-16,7
2025-06-17,7
2025-06-18,15
2025-06-19,14
2025-06-20,15
2025-06-21,15
2025-06-22,15
2025-06-23,7
2025-06-24,11
2025-06-25,12
2025-06-26,17
2025-06-27,8
2025-06-28,16
2025-06-29,19
2025-06-30,6
2025-07-01,7
2025-07-02,13
2025-07-03,17
2025-07-04,30
2025-07-05,22
2025-07-06,18
2025-07-07,17
2025-07-08,9
2025-07-09,12
2025-07-10,17
2025-07-11,10
2025-07-12,21
2025-07-13,18
2025-07-14,7
2025-07-15,5
2025-07-16,6
2025-07-17,5
2025-07-18,15
2025-07-19,14
2025-07-20,26
2025-07-21,9
2025-07-22,16
2025-07-23,21
2025-07-24,7
2025-07-25,10
2025-07-26,20
2025-07-27,24
2025-07-28,12
2025-07-29,19
2025-07-30,22
2025-07-31,16
2025-08-01,16
2025-08-02,19
2025-08-03,18
2025-08-04,9
2025-08-05,16
2025-08-06,20
2025-08-07,7
2025-08-08,8
2025-08-09,18
2025-08-10,20
2025-08-11,15
2025-08-12,8
2025-08-13,12
2025-08-14,17
2025-08-15,13
2025-08-16,15
2025-08-17,17
2025-08-18,18
2025-08-19,21
2025-08-20,18
2025-08-21,25
2025-08-22,7
2025-08-23,16
2025-08-24,23
2025-08-25,7
2025-08-26,7
2025-08-27,14
2025-08-28,17
2025-08-29,7
2025-08-30,15
2025-08-31,20
2025-09-01,17
2025-09-02,9
2025-09-03,13
2025-09-04,11
2025-09-05,13
2025-09-06,13
2025-09-07,12
2025-09-08,6
2025-09-09,9
2025-09-10,10
2025-09-11,9
2025-09-12,11
2025-09-13,14
2025-09-14,12
2025-09-15,7
2025-09-16,11
2025-09-17,17
2025-09-18,10
2025-09-19,13
2025-09-20,13
2025-09-21,17
2025-09-22,5
2025-09-23,7
2025-09-24,15
2025-09-25,17
2025-09-26,21
2025-09-27,17
2025-09-28,14
2025-09-29,8
2025-09-30,37
2025-10-01,46
2025-10-02,61
2025-10-03,41
2025-10-04,61
2025-10-05,19
2025-10-06,17
2025-10-07,50
2025-10-08,46
2025-10-09,50
2025-10-10,100
2025-10-11,51
2025-10-12,97
2025-10-13,5
2025-10-14,4
2025-10-15,3
2025-10-16,3
2025-10-17,2
2025-10-18,3
2025-10-19,2
2025-10-20,2
2025-10-21,2
2025-10-22,2
2025-10-23,2
2025-10-24,2
2025-10-25,2
2025-10-26,2
2025-10-27,1
2025-10-28,2
2025-10-29,2
2025-10-30,2
2025-10-31,1
2025-11-01,2
2025-11-02,3
2025-11-03,2
2025-11-04,2
2025-11-05,2
2025-11-06,2
2025-11-07,2
2025-11-08,2
2025-11-09,2
2025-11-10,1
2025-11-11,2
2025-11-12,2
2025-11-13,2
2025-11-14,2
2025-11-15,2
2025-11-16,2
2025-11-17,1
2025-11-18,2
2025-11-19,2
2025-11-20,2
2025-11-21,1
2025-11-22,2
2025-11-23,2
2025-11-24,1
2025-11-25,1
2025-11-26,2
2025-11-27,2
2025-11-28,2
2025-11-29,2
2025-11-30,2
2025-12-01,2
2025-12-02,2
2025-12-03,2
2025-12-04,2
2025-12-05,2
2025-12-06,2
2025-12-07,2
2025-12-08,2
2025-12-09,2
2025-12-10,2
2025-12-11,2
2025-12-12,2
2025-12-13,2
2025-12-14,2
2025-12-15,2
2025-12-16,2
2025-12-17,2
2025-12-18,2
2025-12-19,2
2025-12-20,2
2025-12-21,2
2025-12-22,2
2025-12-23,2
2025-12-24,2
2025-12-25,2
2025-12-26,2
2025-12-27,2
2025-12-28,2
2025-12-29,2
2025-12-30,2
2025-12-31,2
2026-01-01,2
2026-01-02,2
2026-01-03,2
2026-01-04,2
2026-01-05,2
2026-01-06,2
2026-01-07,4
2026-01-08,3
2026-01-09,4
