Time,roblox
2023-12-22,50
2023-12-23,54
2023-12-24,57
2023-12-25,100
2023-12-26,66
2023-12-27,53
2023-12-28,52
2023-12-29,50
2023-12-30,54
2023-12-31,55
2024-01-01,52
2024-01-02,49
2024-01-03,43
2024-01-04,41
2024-01-05,42
2024-01-06,51
2024-01-07,51
2024-01-08,36
2024-01-09,36
2024-01-10,35
2024-01-11,34
2024-01-12,41
2024-01-13,49
2024-01-14,51
2024-01-15,51
2024-01-16,42
2024-01-17,41
2024-01-18,37
2024-01-19,41
2024-01-20,50
2024-01-21,47
2024-01-22,40
2024-01-23,36
2024-01-24,34
2024-01-25,34
2024-01-26,37
2024-01-27,52
2024-01-28,48
2024-01-29,35
2024-01-30,34
2024-01-31,33
2024-02-01,35
2024-02-02,36
2024-02-03,49
2024-02-04,50
2024-02-05,32
2024-02-06,32
2024-02-07,32
2024-02-08,32
2024-02-09,33
2024-02-10,45
2024-02-11,49
2024-02-12,32
2024-02-13,35
2024-02-14,31
2024-02-15,33
2024-02-16,37
2024-02-17,46
2024-02-18,49
2024-02-19,46
2024-02-20,34
2024-02-21,35
2024-02-22,35
2024-02-23,36
2024-02-24,56
2024-02-25,48
2024-02-26,32
2024-02-27,32
2024-02-28,32
2024-02-29,31
2024-03-01,35
2024-03-02,46
2024-03-03,50
2024-03-04,34
2024-03-05,33
2024-03-06,32
2024-03-07,32
2024-03-08,36
2024-03-09,47
2024-03-10,47
2024-03-11,34
2024-03-12,34
2024-03-13,35
2024-03-14,34
2024-03-15,41
2024-03-16,51
2024-03-17,53
2024-03-18,35
2024-03-19,34
2024-03-20,33
2024-03-21,33
2024-03-22,35
2024-03-23,48
2024-03-24,50
2024-03-25,39
2024-03-26,36
2024-03-27,36
2024-03-28,37
2024-03-29,45
2024-03-30,48
2024-03-31,53
2024-04-01,43
2024-04-02,40
2024-04-03,36
2024-04-04,34
2024-04-05,39
2024-04-06,48
2024-04-07,53
2024-04-08,36
2024-04-09,33
2024-04-10,34
2024-04-11,31
2024-04-12,35
2024-04-13,47
2024-04-14,49
2024-04-15,34
2024-04-16,33
2024-04-17,33
2024-04-18,32
2024-04-19,36
2024-04-20,50
2024-04-21,52
2024-04-22,37
2024-04-23,32
2024-04-24,34
2024-04-25,33
2024-04-26,37
2024-04-27,47
2024-04-28,51
2024-04-29,35
2024-04-30,32
2024-05-01,32
2024-05-02,31
2024-05-03,34
2024-05-04,44
2024-05-05,50
2024-05-06,33
2024-05-07,32
2024-05-08,32
2024-05-09,33
2024-05-10,34
2024-05-11,47
2024-05-12,48
2024-05-13,37
2024-05-14,34
2024-05-15,35
2024-05-16,34
2024-05-17,35
2024-05-18,58
2024-05-19,51
2024-05-20,37
2024-05-21,37
2024-05-22,36
2024-05-23,43
2024-05-24,45
2024-05-25,52
2024-05-26,50
2024-05-27,52
2024-05-28,44
2024-05-29,41
2024-05-30,41
2024-05-31,42
2024-06-01,48
2024-06-02,49
2024-06-03,40
2024-06-04,43
2024-06-05,47
2024-06-06,49
2024-06-07,44
2024-06-08,50
2024-06-09,51
2024-06-10,47
2024-06-11,46
2024-06-12,44
2024-06-13,45
2024-06-14,46
2024-06-15,49
2024-06-16,50
2024-06-17,49
2024-06-18,46
2024-06-19,49
2024-06-20,67
2024-06-21,49
2024-06-22,51
2024-06-23,51
2024-06-24,47
2024-06-25,46
2024-06-26,47
2024-06-27,49
2024-06-28,50
2024-06-29,50
2024-06-30,52
2024-07-01,53
2024-07-02,50
2024-07-03,49
2024-07-04,50
2024-07-05,46
2024-07-06,51
2024-07-07,52
2024-07-08,51
2024-07-09,49
2024-07-10,50
2024-07-11,48
2024-07-12,50
2024-07-13,50
2024-07-14,51
2024-07-15,52
2024-07-16,52
2024-07-17,52
2024-07-18,51
2024-07-19,52
2024-07-20,56
2024-07-21,59
2024-07-22,52
2024-07-23,52
2024-07-24,51
2024-07-25,53
2024-07-26,52
2024-07-27,53
2024-07-28,54
2024-07-29,50
2024-07-30,51
2024-07-31,51
2024-08-01,53
2024-08-02,54
2024-08-03,58
2024-08-04,57
2024-08-05,50
2024-08-06,51
2024-08-07,52
2024-08-08,50
2024-08-09,52
2024-08-10,56
2024-08-11,57
2024-08-12,48
2024-08-13,46
2024-08-14,46
2024-08-15,45
2024-08-16,46
2024-08-17,56
2024-08-18,57
2024-08-19,45
2024-08-20,42
2024-08-21,40
2024-08-22,39
2024-08-23,42
2024-08-24,54
2024-08-25,56
2024-08-26,37
2024-08-27,38
2024-08-28,36
2024-08-29,38
2024-08-30,42
2024-08-31,50
2024-09-01,58
2024-09-02,57
2024-09-03,38
2024-09-04,36
2024-09-05,35
2024-09-06,38
2024-09-07,52
2024-09-08,56
2024-09-09,35
2024-09-10,35
2024-09-11,34
2024-09-12,34
2024-09-13,37
2024-09-14,51
2024-09-15,47
2024-09-16,41
