Time,roblox
2025-12-11,42
2025-12-12,51
2025-12-13,63
2025-12-14,61
2025-12-15,47
2025-12-16,44
2025-12-17,46
2025-12-18,48
2025-12-19,63
2025-12-20,62
2025-12-21,61
2025-12-22,58
2025-12-23,55
2025-12-24,63
2025-12-25,100
2025-12-26,76
2025-12-27,68
2025-12-28,63
2025-12-29,59
2025-12-30,57
2025-12-31,59
2026-01-01,58
2026-01-02,60
2026-01-03,63
2026-01-04,60
2026-01-05,47
2026-01-06,45
2026-01-07,45
2026-01-08,51
2026-01-09,46
2026-01-10,64
2026-01-11,59
2026-01-12,43
2026-01-13,42
2026-01-14,39
2026-01-15,39
2026-01-16,41
2026-01-17,54
2026-01-18,56
2026-01-19,55
2026-01-20,42
2026-01-21,39
2026-01-22,37
2026-01-23,43
2026-01-24,59
2026-01-25,65
2026-01-26,55
2026-01-27,49
2026-01-28,44
2026-01-29,40
2026-01-30,50
2026-01-31,60
2026-02-01,61
2026-02-02,43
2026-02-03,41
2026-02-04,40
2026-02-05,39
2026-02-06,42
2026-02-07,51
2026-02-08,53
2026-02-09,37
2026-02-10,38
2026-02-11,37
2026-02-12,37
2026-02-13,43
2026-02-14,57
2026-02-15,55
2026-02-16,55
2026-02-17,40
2026-02-18,38
2026-02-19,38
2026-02-20,40
2026-02-21,52
2026-02-22,55
2026-02-23,42
2026-02-24,38
2026-02-25,36
2026-02-26,35
2026-02-27,40
2026-02-28,51
2026-03-01,55
2026-03-02,40
2026-03-03,41
2026-03-04,38
2026-03-05,38
2026-03-06,39
2026-03-07,49
2026-03-08,54
2026-03-09,37
2026-03-10,38
2026-03-11,35
2026-03-12,38
2026-03-13,40
2026-03-14,51
2026-03-15,54
2026-03-16,43
2026-03-17,39
2026-03-18,41
2026-03-19,40
2026-03-20,42
2026-03-21,52
2026-03-22,55
2026-03-23,39
2026-03-24,37
2026-03-25,37
2026-03-26,38
2026-03-27,39
2026-03-28,52
2026-03-29,54
2026-03-30,39
2026-03-31,40
2026-04-01,40
2026-04-02,40
2026-04-03,46
2026-04-04,53
2026-04-05,59
2026-04-06,47
2026-04-07,41
2026-04-08,40
2026-04-09,40
2026-04-10,41
2026-04-11,53
2026-04-12,52
2026-04-13,36
2026-04-14,37
2026-04-15,35
2026-04-16,34
2026-04-17,42
2026-04-18,47
2026-04-19,49
2026-04-20,35
2026-04-21,35
2026-04-22,34
2026-04-23,34
2026-04-24,32
2026-04-25,47
2026-04-26,52
2026-04-27,36
2026-04-28,30
2026-04-29,32
2026-04-30,34
2026-05-01,39
2026-05-02,49
2026-05-03,50
2026-05-04,36
2026-05-05,33
2026-05-06,33
2026-05-07,33
2026-05-08,34
2026-05-09,46
2026-05-10,51
2026-05-11,34
2026-05-12,33
2026-05-13,32
2026-05-14,33
2026-05-15,34
2026-05-16,49
2026-05-17,49
2026-05-18,37
2026-05-19,36
2026-05-20,36
2026-05-21,38
2026-05-22,42
2026-05-23,56
2026-05-24,53
2026-05-25,53
2026-05-26,44
2026-05-27,42
2026-05-28,42
2026-05-29,44
2026-05-30,52
2026-05-31,54
