Time,staples
2023-12-22,85
2023-12-23,82
2023-12-24,71
2023-12-25,31
2023-12-26,68
2023-12-27,74
2023-12-28,75
2023-12-29,80
2023-12-30,67
2023-12-31,71
2024-01-01,73
2024-01-02,73
2024-01-03,80
2024-01-04,80
2024-01-05,73
2024-01-06,71
2024-01-07,69
2024-01-08,71
2024-01-09,71
2024-01-10,74
2024-01-11,77
2024-01-12,70
2024-01-13,63
2024-01-14,62
2024-01-15,65
2024-01-16,65
2024-01-17,73
2024-01-18,71
2024-01-19,66
2024-01-20,65
2024-01-21,64
2024-01-22,69
2024-01-23,69
2024-01-24,73
2024-01-25,68
2024-01-26,72
2024-01-27,67
2024-01-28,68
2024-01-29,74
2024-01-30,80
2024-01-31,79
2024-02-01,77
2024-02-02,74
2024-02-03,68
2024-02-04,73
2024-02-05,79
2024-02-06,73
2024-02-07,71
2024-02-08,75
2024-02-09,73
2024-02-10,69
2024-02-11,62
2024-02-12,67
2024-02-13,72
2024-02-14,70
2024-02-15,88
2024-02-16,95
2024-02-17,90
2024-02-18,90
2024-02-19,97
2024-02-20,93
2024-02-21,88
2024-02-22,82
2024-02-23,81
2024-02-24,82
2024-02-25,78
2024-02-26,87
2024-02-27,80
2024-02-28,78
2024-02-29,88
2024-03-01,75
2024-03-02,75
2024-03-03,78
2024-03-04,84
2024-03-05,75
2024-03-06,78
2024-03-07,72
2024-03-08,68
2024-03-09,69
2024-03-10,70
2024-03-11,73
2024-03-12,76
2024-03-13,74
2024-03-14,74
2024-03-15,63
2024-03-16,67
2024-03-17,66
2024-03-18,72
2024-03-19,73
2024-03-20,79
2024-03-21,71
2024-03-22,66
2024-03-23,63
2024-03-24,69
2024-03-25,73
2024-03-26,71
2024-03-27,71
2024-03-28,73
2024-03-29,68
2024-03-30,63
2024-03-31,60
2024-04-01,75
2024-04-02,74
2024-04-03,70
2024-04-04,76
2024-04-05,72
2024-04-06,75
2024-04-07,83
2024-04-08,82
2024-04-09,72
2024-04-10,74
2024-04-11,73
2024-04-12,78
2024-04-13,70
2024-04-14,74
2024-04-15,71
2024-04-16,70
2024-04-17,73
2024-04-18,71
2024-04-19,70
2024-04-20,66
2024-04-21,73
2024-04-22,73
2024-04-23,75
2024-04-24,77
2024-04-25,71
2024-04-26,75
2024-04-27,63
2024-04-28,71
2024-04-29,77
2024-04-30,70
2024-05-01,69
2024-05-02,73
2024-05-03,70
2024-05-04,85
2024-05-05,93
2024-05-06,86
2024-05-07,80
2024-05-08,78
2024-05-09,75
2024-05-10,81
2024-05-11,69
2024-05-12,65
2024-05-13,80
2024-05-14,75
2024-05-15,74
2024-05-16,70
2024-05-17,69
2024-05-18,68
2024-05-19,70
2024-05-20,76
2024-05-21,73
2024-05-22,70
2024-05-23,76
2024-05-24,80
2024-05-25,80
2024-05-26,67
2024-05-27,79
2024-05-28,77
2024-05-29,82
2024-05-30,84
2024-05-31,74
2024-06-01,70
2024-06-02,73
2024-06-03,79
2024-06-04,78
2024-06-05,74
2024-06-06,76
2024-06-07,70
2024-06-08,66
2024-06-09,71
2024-06-10,76
2024-06-11,80
2024-06-12,77
2024-06-13,79
2024-06-14,71
2024-06-15,65
2024-06-16,64
2024-06-17,81
2024-06-18,78
2024-06-19,78
2024-06-20,69
2024-06-21,74
2024-06-22,70
2024-06-23,70
2024-06-24,78
2024-06-25,73
2024-06-26,72
2024-06-27,73
2024-06-28,69
2024-06-29,66
2024-06-30,65
2024-07-01,76
2024-07-02,75
2024-07-03,73
2024-07-04,66
2024-07-05,70
2024-07-06,63
2024-07-07,70
2024-07-08,74
2024-07-09,76
2024-07-10,79
2024-07-11,77
2024-07-12,75
2024-07-13,67
2024-07-14,65
2024-07-15,77
2024-07-16,80
2024-07-17,82
2024-07-18,78
2024-07-19,73
2024-07-20,73
2024-07-21,72
2024-07-22,78
2024-07-23,78
2024-07-24,80
2024-07-25,75
2024-07-26,70
2024-07-27,67
2024-07-28,70
2024-07-29,78
2024-07-30,81
2024-07-31,79
2024-08-01,84
2024-08-02,78
2024-08-03,74
2024-08-04,79
2024-08-05,82
2024-08-06,82
2024-08-07,80
2024-08-08,86
2024-08-09,82
2024-08-10,75
2024-08-11,84
2024-08-12,90
2024-08-13,86
2024-08-14,86
2024-08-15,86
2024-08-16,77
2024-08-17,78
2024-08-18,83
2024-08-19,88
2024-08-20,93
2024-08-21,89
2024-08-22,89
2024-08-23,84
2024-08-24,83
2024-08-25,100
2024-08-26,85
2024-08-27,87
2024-08-28,86
2024-08-29,83
2024-08-30,78
2024-08-31,72
2024-09-01,82
2024-09-02,96
2024-09-03,74
2024-09-04,87
2024-09-05,82
2024-09-06,75
2024-09-07,71
2024-09-08,77
2024-09-09,83
2024-09-10,74
2024-09-11,73
2024-09-12,73
2024-09-13,66
2024-09-14,66
2024-09-15,67
2024-09-16,77
