Time,facebook marketplace
2022-08-29,57
2022-08-30,60
2022-08-31,54
2022-09-01,55
2022-09-02,53
2022-09-03,61
2022-09-04,62
2022-09-05,69
2022-09-06,57
2022-09-07,56
2022-09-08,51
2022-09-09,51
2022-09-10,55
2022-09-11,61
2022-09-12,50
2022-09-13,52
2022-09-14,53
2022-09-15,53
2022-09-16,54
2022-09-17,55
2022-09-18,58
2022-09-19,53
2022-09-20,54
2022-09-21,50
2022-09-22,51
2022-09-23,48
2022-09-24,55
2022-09-25,63
2022-09-26,53
2022-09-27,53
2022-09-28,51
2022-09-29,46
2022-09-30,54
2022-10-01,52
2022-10-02,58
2022-10-03,50
2022-10-04,50
2022-10-05,53
2022-10-06,51
2022-10-07,54
2022-10-08,55
2022-10-09,56
2022-10-10,55
2022-10-11,49
2022-10-12,51
2022-10-13,50
2022-10-14,50
2022-10-15,52
2022-10-16,57
2022-10-17,50
2022-10-18,50
2022-10-19,50
2022-10-20,50
2022-10-21,50
2022-10-22,55
2022-10-23,61
2022-10-24,50
2022-10-25,51
2022-10-26,51
2022-10-27,50
2022-10-28,47
2022-10-29,54
2022-10-30,54
2022-10-31,50
2022-11-01,48
2022-11-02,47
2022-11-03,51
2022-11-04,51
2022-11-05,57
2022-11-06,57
2022-11-07,48
2022-11-08,49
2022-11-09,45
2022-11-10,49
2022-11-11,57
2022-11-12,62
2022-11-13,63
2022-11-14,55
2022-11-15,54
2022-11-16,54
2022-11-17,52
2022-11-18,52
2022-11-19,57
2022-11-20,58
2022-11-21,53
2022-11-22,50
2022-11-23,49
2022-11-24,50
2022-11-25,56
2022-11-26,54
2022-11-27,57
2022-11-28,49
2022-11-29,52
2022-11-30,51
2022-12-01,47
2022-12-02,48
2022-12-03,52
2022-12-04,55
2022-12-05,49
2022-12-06,56
2022-12-07,53
2022-12-08,55
2022-12-09,53
2022-12-10,60
2022-12-11,64
2022-12-12,53
2022-12-13,55
2022-12-14,53
2022-12-15,54
2022-12-16,58
2022-12-17,59
2022-12-18,61
2022-12-19,57
2022-12-20,56
2022-12-21,55
2022-12-22,59
2022-12-23,58
2022-12-24,49
2022-12-25,51
2022-12-26,59
2022-12-27,59
2022-12-28,64
2022-12-29,60
2022-12-30,61
2022-12-31,64
2023-01-01,63
2023-01-02,72
2023-01-03,59
2023-01-04,70
2023-01-05,65
2023-01-06,59
2023-01-07,74
2023-01-08,75
2023-01-09,66
2023-01-10,63
2023-01-11,65
2023-01-12,65
2023-01-13,61
2023-01-14,72
2023-01-15,75
2023-01-16,75
2023-01-17,66
2023-01-18,66
2023-01-19,66
2023-01-20,61
2023-01-21,71
2023-01-22,76
2023-01-23,65
2023-01-24,67
2023-01-25,68
2023-01-26,63
2023-01-27,66
2023-01-28,71
2023-01-29,75
2023-01-30,68
2023-01-31,70
2023-02-01,66
2023-02-02,65
2023-02-03,69
2023-02-04,78
2023-02-05,82
2023-02-06,69
2023-02-07,67
2023-02-08,70
2023-02-09,66
2023-02-10,65
2023-02-11,81
2023-02-12,76
2023-02-13,62
2023-02-14,62
2023-02-15,64
2023-02-16,68
2023-02-17,71
2023-02-18,82
2023-02-19,80
2023-02-20,80
2023-02-21,73
2023-02-22,72
2023-02-23,71
2023-02-24,72
2023-02-25,91
2023-02-26,85
2023-02-27,75
2023-02-28,69
2023-03-01,67
2023-03-02,69
2023-03-03,77
2023-03-04,80
2023-03-05,89
2023-03-06,76
2023-03-07,73
2023-03-08,76
2023-03-09,71
2023-03-10,72
2023-03-11,81
2023-03-12,85
2023-03-13,72
2023-03-14,70
2023-03-15,70
2023-03-16,71
2023-03-17,72
2023-03-18,80
2023-03-19,86
2023-03-20,75
2023-03-21,74
2023-03-22,73
2023-03-23,78
2023-03-24,74
2023-03-25,84
2023-03-26,90
2023-03-27,76
2023-03-28,72
2023-03-29,75
2023-03-30,69
2023-03-31,71
2023-04-01,83
2023-04-02,89
2023-04-03,71
2023-04-04,74
2023-04-05,72
2023-04-06,76
2023-04-07,81
2023-04-08,84
2023-04-09,82
2023-04-10,77
2023-04-11,79
2023-04-12,79
2023-04-13,80
2023-04-14,75
2023-04-15,84
2023-04-16,93
2023-04-17,79
2023-04-18,74
2023-04-19,75
2023-04-20,77
2023-04-21,76
2023-04-22,91
2023-04-23,100
2023-04-24,77
2023-04-25,78
2023-04-26,77
2023-04-27,76
2023-04-28,76
2023-04-29,88
2023-04-30,94
2023-05-01,79
2023-05-02,84
2023-05-03,76
2023-05-04,70
2023-05-05,74
2023-05-06,79
2023-05-07,94
2023-05-08,81
2023-05-09,80
2023-05-10,79
2023-05-11,79
2023-05-12,78
2023-05-13,85
2023-05-14,94
2023-05-15,79
2023-05-16,81
2023-05-17,82
2023-05-18,79
2023-05-19,77
2023-05-20,92
2023-05-21,93
2023-05-22,85
2023-05-23,86
2023-05-24,82
2023-05-25,82
