Time,toyota
2023-12-22,80
2023-12-23,82
2023-12-24,69
2023-12-25,64
2023-12-26,85
2023-12-27,88
2023-12-28,88
2023-12-29,92
2023-12-30,89
2023-12-31,70
2024-01-01,68
2024-01-02,80
2024-01-03,81
2024-01-04,78
2024-01-05,80
2024-01-06,87
2024-01-07,73
2024-01-08,72
2024-01-09,69
2024-01-10,76
2024-01-11,75
2024-01-12,81
2024-01-13,85
2024-01-14,75
2024-01-15,82
2024-01-16,75
2024-01-17,77
2024-01-18,75
2024-01-19,76
2024-01-20,89
2024-01-21,81
2024-01-22,78
2024-01-23,77
2024-01-24,79
2024-01-25,76
2024-01-26,80
2024-01-27,91
2024-01-28,77
2024-01-29,77
2024-01-30,84
2024-01-31,79
2024-02-01,75
2024-02-02,77
2024-02-03,87
2024-02-04,82
2024-02-05,71
2024-02-06,74
2024-02-07,73
2024-02-08,72
2024-02-09,77
2024-02-10,89
2024-02-11,76
2024-02-12,70
2024-02-13,74
2024-02-14,71
2024-02-15,75
2024-02-16,81
2024-02-17,90
2024-02-18,83
2024-02-19,84
2024-02-20,81
2024-02-21,81
2024-02-22,79
2024-02-23,87
2024-02-24,95
2024-02-25,85
2024-02-26,82
2024-02-27,80
2024-02-28,80
2024-02-29,78
2024-03-01,80
2024-03-02,92
2024-03-03,85
2024-03-04,82
2024-03-05,76
2024-03-06,78
2024-03-07,77
2024-03-08,75
2024-03-09,90
2024-03-10,77
2024-03-11,81
2024-03-12,74
2024-03-13,78
2024-03-14,81
2024-03-15,81
2024-03-16,92
2024-03-17,82
2024-03-18,84
2024-03-19,79
2024-03-20,74
2024-03-21,75
2024-03-22,79
2024-03-23,97
2024-03-24,86
2024-03-25,80
2024-03-26,75
2024-03-27,78
2024-03-28,80
2024-03-29,83
2024-03-30,93
2024-03-31,76
2024-04-01,81
2024-04-02,73
2024-04-03,76
2024-04-04,79
2024-04-05,79
2024-04-06,86
2024-04-07,77
2024-04-08,75
2024-04-09,83
2024-04-10,94
2024-04-11,83
2024-04-12,84
2024-04-13,92
2024-04-14,83
2024-04-15,79
2024-04-16,81
2024-04-17,80
2024-04-18,79
2024-04-19,82
2024-04-20,93
2024-04-21,86
2024-04-22,81
2024-04-23,82
2024-04-24,79
2024-04-25,80
2024-04-26,85
2024-04-27,90
2024-04-28,82
2024-04-29,79
2024-04-30,80
2024-05-01,75
2024-05-02,78
2024-05-03,80
2024-05-04,89
2024-05-05,80
2024-05-06,78
2024-05-07,74
2024-05-08,77
2024-05-09,75
2024-05-10,79
2024-05-11,86
2024-05-12,80
2024-05-13,83
2024-05-14,82
2024-05-15,83
2024-05-16,77
2024-05-17,82
2024-05-18,88
2024-05-19,82
2024-05-20,85
2024-05-21,87
2024-05-22,81
2024-05-23,85
2024-05-24,83
2024-05-25,92
2024-05-26,77
2024-05-27,83
2024-05-28,79
2024-05-29,80
2024-05-30,80
2024-05-31,85
2024-06-01,90
2024-06-02,81
2024-06-03,85
2024-06-04,81
2024-06-05,82
2024-06-06,84
2024-06-07,85
2024-06-08,89
2024-06-09,82
2024-06-10,88
2024-06-11,83
2024-06-12,82
2024-06-13,80
2024-06-14,85
2024-06-15,95
2024-06-16,80
2024-06-17,89
2024-06-18,88
2024-06-19,84
2024-06-20,81
2024-06-21,87
2024-06-22,91
2024-06-23,85
2024-06-24,86
2024-06-25,86
2024-06-26,79
2024-06-27,83
2024-06-28,81
2024-06-29,94
2024-06-30,81
2024-07-01,86
2024-07-02,87
2024-07-03,84
2024-07-04,78
2024-07-05,85
2024-07-06,89
2024-07-07,77
2024-07-08,87
2024-07-09,85
2024-07-10,83
2024-07-11,82
2024-07-12,88
2024-07-13,91
2024-07-14,72
2024-07-15,82
2024-07-16,78
2024-07-17,81
2024-07-18,81
2024-07-19,82
2024-07-20,93
2024-07-21,81
2024-07-22,86
2024-07-23,87
2024-07-24,83
2024-07-25,85
2024-07-26,86
2024-07-27,89
2024-07-28,84
2024-07-29,86
2024-07-30,88
2024-07-31,82
2024-08-01,85
2024-08-02,85
2024-08-03,92
2024-08-04,81
2024-08-05,82
2024-08-06,79
2024-08-07,83
2024-08-08,83
2024-08-09,81
2024-08-10,94
2024-08-11,86
2024-08-12,87
2024-08-13,83
2024-08-14,85
2024-08-15,85
2024-08-16,88
2024-08-17,100
2024-08-18,85
2024-08-19,82
2024-08-20,83
2024-08-21,83
2024-08-22,84
2024-08-23,82
2024-08-24,97
2024-08-25,83
2024-08-26,81
2024-08-27,79
2024-08-28,81
2024-08-29,78
2024-08-30,84
2024-08-31,92
2024-09-01,82
2024-09-02,84
2024-09-03,77
2024-09-04,78
2024-09-05,76
2024-09-06,82
2024-09-07,85
2024-09-08,75
2024-09-09,78
2024-09-10,72
2024-09-11,70
2024-09-12,77
2024-09-13,77
2024-09-14,83
2024-09-15,71
2024-09-16,78
