Time,avatar 2
2022-01-01,11
2022-01-02,13
2022-01-03,10
2022-01-04,11
2022-01-05,9
2022-01-06,7
2022-01-07,7
2022-01-08,10
2022-01-09,15
2022-01-10,7
2022-01-11,7
2022-01-12,6
2022-01-13,8
2022-01-14,6
2022-01-15,9
2022-01-16,11
2022-01-17,8
2022-01-18,8
2022-01-19,8
2022-01-20,8
2022-01-21,6
2022-01-22,13
2022-01-23,10
2022-01-24,7
2022-01-25,6
2022-01-26,6
2022-01-27,6
2022-01-28,7
2022-01-29,9
2022-01-30,10
2022-01-31,6
2022-02-01,5
2022-02-02,6
2022-02-03,8
2022-02-04,8
2022-02-05,13
2022-02-06,11
2022-02-07,11
2022-02-08,6
2022-02-09,5
2022-02-10,4
2022-02-11,5
2022-02-12,6
2022-02-13,7
2022-02-14,6
2022-02-15,6
2022-02-16,5
2022-02-17,5
2022-02-18,6
2022-02-19,12
2022-02-20,9
2022-02-21,6
2022-02-22,6
2022-02-23,5
2022-02-24,4
2022-02-25,5
2022-02-26,8
2022-02-27,10
2022-02-28,5
2022-03-01,5
2022-03-02,4
2022-03-03,5
2022-03-04,5
2022-03-05,7
2022-03-06,7
2022-03-07,7
2022-03-08,6
2022-03-09,4
2022-03-10,8
2022-03-11,6
2022-03-12,7
2022-03-13,8
2022-03-14,5
2022-03-15,5
2022-03-16,5
2022-03-17,5
2022-03-18,8
2022-03-19,9
2022-03-20,8
2022-03-21,7
2022-03-22,8
2022-03-23,7
2022-03-24,7
2022-03-25,6
2022-03-26,9
2022-03-27,10
2022-03-28,6
2022-03-29,6
2022-03-30,6
2022-03-31,5
2022-04-01,5
2022-04-02,7
2022-04-03,9
2022-04-04,6
2022-04-05,6
2022-04-06,5
2022-04-07,5
2022-04-08,5
2022-04-09,6
2022-04-10,8
2022-04-11,6
2022-04-12,5
2022-04-13,5
2022-04-14,6
2022-04-15,6
2022-04-16,6
2022-04-17,8
2022-04-18,6
2022-04-19,5
2022-04-20,6
2022-04-21,6
2022-04-22,5
2022-04-23,8
2022-04-24,8
2022-04-25,6
2022-04-26,6
2022-04-27,14
2022-04-28,50
2022-04-29,21
2022-04-30,22
2022-05-01,24
2022-05-02,15
2022-05-03,14
2022-05-04,13
2022-05-05,13
2022-05-06,27
2022-05-07,33
2022-05-08,33
2022-05-09,71
2022-05-10,70
2022-05-11,42
2022-05-12,30
2022-05-13,24
2022-05-14,25
2022-05-15,25
2022-05-16,17
2022-05-17,15
2022-05-18,13
2022-05-19,12
2022-05-20,12
2022-05-21,15
2022-05-22,16
2022-05-23,12
2022-05-24,10
2022-05-25,8
2022-05-26,9
2022-05-27,10
2022-05-28,12
2022-05-29,11
2022-05-30,12
2022-05-31,9
2022-06-01,7
2022-06-02,7
2022-06-03,8
2022-06-04,10
2022-06-05,13
2022-06-06,10
2022-06-07,8
2022-06-08,8
2022-06-09,9
2022-06-10,8
2022-06-11,11
2022-06-12,12
2022-06-13,9
2022-06-14,8
2022-06-15,8
2022-06-16,8
2022-06-17,8
2022-06-18,12
2022-06-19,15
2022-06-20,11
2022-06-21,9
2022-06-22,8
2022-06-23,8
2022-06-24,8
2022-06-25,9
2022-06-26,10
2022-06-27,8
2022-06-28,8
2022-06-29,8
2022-06-30,8
2022-07-01,9
2022-07-02,10
2022-07-03,12
2022-07-04,14
2022-07-05,15
2022-07-06,14
2022-07-07,11
2022-07-08,11
2022-07-09,13
2022-07-10,12
2022-07-11,10
2022-07-12,8
2022-07-13,9
2022-07-14,8
2022-07-15,8
2022-07-16,10
2022-07-17,12
2022-07-18,8
2022-07-19,8
2022-07-20,7
2022-07-21,8
2022-07-22,8
2022-07-23,10
2022-07-24,13
2022-07-25,10
2022-07-26,8
2022-07-27,7
2022-07-28,7
2022-07-29,7
2022-07-30,7
2022-07-31,10
2022-08-01,7
2022-08-02,7
2022-08-03,6
2022-08-04,6
2022-08-05,6
2022-08-06,7
2022-08-07,10
2022-08-08,8
2022-08-09,8
2022-08-10,7
2022-08-11,7
2022-08-12,7
2022-08-13,8
2022-08-14,9
2022-08-15,7
2022-08-16,6
2022-08-17,6
2022-08-18,5
2022-08-19,5
2022-08-20,7
2022-08-21,9
2022-08-22,6
2022-08-23,9
2022-08-24,11
2022-08-25,7
2022-08-26,6
2022-08-27,8
2022-08-28,9
2022-08-29,6
2022-08-30,5
2022-08-31,6
2022-09-01,6
2022-09-02,8
2022-09-03,16
2022-09-04,20
2022-09-05,16
2022-09-06,11
2022-09-07,8
2022-09-08,7
2022-09-09,9
2022-09-10,17
2022-09-11,26
2022-09-12,36
2022-09-13,16
2022-09-14,19
2022-09-15,19
2022-09-16,27
2022-09-17,26
2022-09-18,46
2022-09-19,34
2022-09-20,39
2022-09-21,33
2022-09-22,46
2022-09-23,82
2022-09-24,100
2022-09-25,76
2022-09-26,42
2022-09-27,31
